|dates|Hickory_Missouri_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Hickory_Missouri_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Hickory_Missouri_UnitedStates.Male_Total_Population.data|Hickory_Missouri_UnitedStates.Male_Total_Population.missing|Hickory_Missouri_UnitedStates.Female_Total_Population.data|Hickory_Missouri_UnitedStates.Female_Total_Population.missing|Hickory_Missouri_UnitedStates.MaleAndFemale_Under18_Population.data|Hickory_Missouri_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-10-18|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-10-19|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-10-20|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-10-21|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-10-22|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-10-23|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-10-24|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-10-25|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-10-26|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-10-27|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-10-28|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-10-29|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-10-30|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-10-31|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-11-01|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-11-02|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-11-03|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-11-04|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-11-05|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-11-06|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-11-07|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-11-08|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-11-09|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-11-10|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-11-11|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-11-12|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-11-13|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-11-14|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-11-15|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-11-16|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-11-17|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-11-18|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-11-19|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-11-20|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-11-21|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-11-22|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-11-23|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-11-24|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-11-25|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-11-26|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-11-27|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-11-28|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-11-29|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-11-30|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-12-01|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-12-02|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-12-03|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-12-04|3117.0|0|4700.0|0|4809.0|0|1633.0|0
0|2021-12-05|3117.0|0|4700.0|0|4809.0|0|1633.0|0
