|dates|Harrison_Texas_UnitedStates.JHU_ConfirmedCases.data|Harrison_Texas_UnitedStates.JHU_ConfirmedCases.missing|Harrison_Texas_UnitedStates.NYT_ConfirmedCases.data|Harrison_Texas_UnitedStates.NYT_ConfirmedCases.missing|Harrison_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Harrison_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Harrison_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Harrison_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|9073.0|0|9073.0|0|173.0|0|0.0|100
0|2021-10-18|9073.0|0|9073.0|0|173.0|0|0.0|100
0|2021-10-19|9091.0|0|9091.0|0|173.0|0|0.0|100
0|2021-10-20|9097.0|0|9097.0|0|174.0|0|0.0|100
0|2021-10-21|9103.0|0|9103.0|0|175.0|0|0.0|100
0|2021-10-22|9114.0|0|9114.0|0|176.0|0|0.0|100
0|2021-10-23|9114.0|0|9114.0|0|177.0|0|0.0|100
0|2021-10-24|9120.0|0|9120.0|0|177.0|0|0.0|100
0|2021-10-25|9120.0|0|9120.0|0|177.0|0|0.0|100
0|2021-10-26|9131.0|0|9131.0|0|177.0|0|0.0|100
0|2021-10-27|9134.0|0|9134.0|0|177.0|0|0.0|100
0|2021-10-28|9143.0|0|9143.0|0|177.0|0|0.0|100
0|2021-10-29|9148.0|0|9148.0|0|178.0|0|0.0|100
0|2021-10-30|9168.0|0|9168.0|0|178.0|0|0.0|100
0|2021-10-31|9168.0|0|9168.0|0|178.0|0|0.0|100
0|2021-11-01|9168.0|0|9168.0|0|179.0|0|0.0|100
0|2021-11-02|9182.0|0|9182.0|0|179.0|0|0.0|100
0|2021-11-03|9183.0|0|9183.0|0|179.0|0|0.0|100
0|2021-11-04|9186.0|0|9186.0|0|179.0|0|0.0|100
0|2021-11-05|9189.0|0|9189.0|0|179.0|0|0.0|100
0|2021-11-06|9192.0|0|9192.0|0|180.0|0|0.0|100
0|2021-11-07|9192.0|0|9192.0|0|180.0|0|0.0|100
0|2021-11-08|9192.0|0|9192.0|0|180.0|0|0.0|100
0|2021-11-09|9206.0|0|9206.0|0|180.0|0|0.0|100
0|2021-11-10|9206.0|0|9206.0|0|180.0|0|0.0|100
0|2021-11-11|9210.0|0|9210.0|0|180.0|0|0.0|100
0|2021-11-12|9212.0|0|9212.0|0|181.0|0|0.0|100
0|2021-11-13|9214.0|0|9214.0|0|184.0|0|0.0|100
0|2021-11-14|9214.0|0|9214.0|0|184.0|0|0.0|100
0|2021-11-15|9214.0|0|9214.0|0|184.0|0|0.0|100
0|2021-11-16|9214.0|0|9214.0|0|184.0|0|0.0|100
0|2021-11-17|9214.0|0|9214.0|0|184.0|0|0.0|100
0|2021-11-18|9214.0|0|9214.0|0|184.0|0|0.0|100
