|dates|Shelby_Tennessee_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.data|Shelby_Tennessee_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.missing|Shelby_Tennessee_UnitedStates.NYT_ConfirmedDeaths.data|Shelby_Tennessee_UnitedStates.NYT_ConfirmedDeaths.missing|Shelby_Tennessee_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.data|Shelby_Tennessee_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.missing|Shelby_Tennessee_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.data|Shelby_Tennessee_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.missing
0|2021-10-17|0.0|100|2194.0|0|0.0|100|0.0|100
0|2021-10-18|0.0|100|2203.0|0|0.0|100|0.0|100
0|2021-10-19|0.0|100|2211.0|0|0.0|100|0.0|100
0|2021-10-20|0.0|100|2220.0|0|0.0|100|0.0|100
0|2021-10-21|0.0|100|2229.0|0|0.0|100|0.0|100
0|2021-10-22|0.0|100|2236.0|0|0.0|100|0.0|100
0|2021-10-23|0.0|100|2236.0|0|0.0|100|0.0|100
0|2021-10-24|0.0|100|2236.0|0|0.0|100|0.0|100
0|2021-10-25|0.0|100|2236.0|0|0.0|100|0.0|100
0|2021-10-26|0.0|100|2238.0|0|0.0|100|0.0|100
0|2021-10-27|0.0|100|2246.0|0|0.0|100|0.0|100
0|2021-10-28|0.0|100|2255.0|0|0.0|100|0.0|100
0|2021-10-29|0.0|100|2256.0|0|0.0|100|0.0|100
0|2021-10-30|0.0|100|2256.0|0|0.0|100|0.0|100
0|2021-10-31|0.0|100|2256.0|0|0.0|100|0.0|100
0|2021-11-01|0.0|100|2256.0|0|0.0|100|0.0|100
0|2021-11-02|0.0|100|2267.0|0|0.0|100|0.0|100
0|2021-11-03|0.0|100|2269.0|0|0.0|100|0.0|100
0|2021-11-04|0.0|100|2273.0|0|0.0|100|0.0|100
0|2021-11-05|0.0|100|2276.0|0|0.0|100|0.0|100
0|2021-11-06|0.0|100|2276.0|0|0.0|100|0.0|100
0|2021-11-07|0.0|100|2276.0|0|0.0|100|0.0|100
0|2021-11-08|0.0|100|2276.0|0|0.0|100|0.0|100
0|2021-11-09|0.0|100|2288.0|0|0.0|100|0.0|100
0|2021-11-10|0.0|100|2291.0|0|0.0|100|0.0|100
0|2021-11-11|0.0|100|2291.0|0|0.0|100|0.0|100
0|2021-11-12|0.0|100|2298.0|0|0.0|100|0.0|100
0|2021-11-13|0.0|100|2298.0|0|0.0|100|0.0|100
0|2021-11-14|0.0|100|2298.0|0|0.0|100|0.0|100
0|2021-11-15|0.0|100|2298.0|0|0.0|100|0.0|100
0|2021-11-16|0.0|100|2305.0|0|0.0|100|0.0|100
0|2021-11-17|0.0|100|2307.0|0|0.0|100|0.0|100
0|2021-11-18|0.0|100|2307.0|0|0.0|100|0.0|100
0|2021-11-19|0.0|100|2307.0|0|0.0|100|0.0|100
0|2021-11-20|0.0|100|2307.0|0|0.0|100|0.0|100
0|2021-11-21|0.0|100|2307.0|0|0.0|100|0.0|100
0|2021-11-22|0.0|100|2312.0|0|0.0|100|0.0|100
0|2021-11-23|0.0|100|2321.0|0|0.0|100|0.0|100
0|2021-11-24|0.0|100|2327.0|0|0.0|100|0.0|100
0|2021-11-25|0.0|100|2327.0|0|0.0|100|0.0|100
0|2021-11-26|0.0|100|2327.0|0|0.0|100|0.0|100
