|dates|Putnam_Indiana_UnitedStates.JHU_ConfirmedCases.data|Putnam_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Putnam_Indiana_UnitedStates.NYT_ConfirmedCases.data|Putnam_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Putnam_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Putnam_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Putnam_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Putnam_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5734.0|0|5746.0|0|77.0|0|0.0|100
0|2021-10-18|5753.0|0|5765.0|0|77.0|0|0.0|100
0|2021-10-19|5762.0|0|5774.0|0|78.0|0|0.0|100
0|2021-10-20|5776.0|0|5788.0|0|78.0|0|0.0|100
0|2021-10-21|5800.0|0|5812.0|0|78.0|0|0.0|100
0|2021-10-22|5812.0|0|5824.0|0|78.0|0|0.0|100
0|2021-10-23|5812.0|0|5824.0|0|78.0|0|0.0|100
0|2021-10-24|5812.0|0|5824.0|0|78.0|0|0.0|100
0|2021-10-25|5841.0|0|5853.0|0|79.0|0|0.0|100
0|2021-10-26|5848.0|0|5860.0|0|79.0|0|0.0|100
0|2021-10-27|5859.0|0|5871.0|0|80.0|0|0.0|100
0|2021-10-28|5870.0|0|5882.0|0|80.0|0|0.0|100
0|2021-10-29|5883.0|0|5895.0|0|80.0|0|0.0|100
0|2021-10-30|5883.0|0|5895.0|0|80.0|0|0.0|100
0|2021-10-31|5883.0|0|5895.0|0|80.0|0|0.0|100
0|2021-11-01|5898.0|0|5910.0|0|80.0|0|0.0|100
0|2021-11-02|5906.0|0|5918.0|0|80.0|0|0.0|100
0|2021-11-03|5924.0|0|5936.0|0|80.0|0|0.0|100
0|2021-11-04|5943.0|0|5955.0|0|81.0|0|0.0|100
0|2021-11-05|5964.0|0|5976.0|0|81.0|0|0.0|100
0|2021-11-06|5964.0|0|5976.0|0|81.0|0|0.0|100
0|2021-11-07|5964.0|0|5976.0|0|81.0|0|0.0|100
