|dates|St.Lucie_Florida_UnitedStates.MaleAndFemale_AtLeast65_Population.data|St.Lucie_Florida_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|St.Lucie_Florida_UnitedStates.Male_Total_Population.data|St.Lucie_Florida_UnitedStates.Male_Total_Population.missing|St.Lucie_Florida_UnitedStates.Female_Total_Population.data|St.Lucie_Florida_UnitedStates.Female_Total_Population.missing|St.Lucie_Florida_UnitedStates.MaleAndFemale_Under18_Population.data|St.Lucie_Florida_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-10-18|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-10-19|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-10-20|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-10-21|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-10-22|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-10-23|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-10-24|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-10-25|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-10-26|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-10-27|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-10-28|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-10-29|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-10-30|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-10-31|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-11-01|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-11-02|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-11-03|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-11-04|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-11-05|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-11-06|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-11-07|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-11-08|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-11-09|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-11-10|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-11-11|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-11-12|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-11-13|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-11-14|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-11-15|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-11-16|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-11-17|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-11-18|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-11-19|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-11-20|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-11-21|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-11-22|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-11-23|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-11-24|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-11-25|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-11-26|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-11-27|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-11-28|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-11-29|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-11-30|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-12-01|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-12-02|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-12-03|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-12-04|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-12-05|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-12-06|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-12-07|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-12-08|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-12-09|77503.0|0|156975.0|0|164153.0|0|63294.0|0
0|2021-12-10|77503.0|0|156975.0|0|164153.0|0|63294.0|0
