|dates|Boone_Arkansas_UnitedStates.JHU_ConfirmedCases.data|Boone_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|Boone_Arkansas_UnitedStates.NYT_ConfirmedCases.data|Boone_Arkansas_UnitedStates.NYT_ConfirmedCases.missing|Boone_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|Boone_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|Boone_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|Boone_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|6164.0|0|6164.0|0|126.0|0|0.0|100
0|2021-10-18|6166.0|0|6166.0|0|126.0|0|0.0|100
0|2021-10-19|6177.0|0|6177.0|0|126.0|0|0.0|100
0|2021-10-20|6185.0|0|6185.0|0|126.0|0|0.0|100
0|2021-10-21|6191.0|0|6191.0|0|126.0|0|0.0|100
0|2021-10-22|6199.0|0|6199.0|0|126.0|0|0.0|100
0|2021-10-23|6205.0|0|6205.0|0|126.0|0|0.0|100
0|2021-10-24|6205.0|0|6205.0|0|126.0|0|0.0|100
0|2021-10-25|6205.0|0|6205.0|0|126.0|0|0.0|100
0|2021-10-26|6218.0|0|6218.0|0|126.0|0|0.0|100
0|2021-10-27|6225.0|0|6225.0|0|126.0|0|0.0|100
0|2021-10-28|6234.0|0|6234.0|0|126.0|0|0.0|100
0|2021-10-29|6242.0|0|6242.0|0|127.0|0|0.0|100
0|2021-10-30|6249.0|0|6249.0|0|127.0|0|0.0|100
0|2021-10-31|6249.0|0|6249.0|0|127.0|0|0.0|100
0|2021-11-01|6251.0|0|6251.0|0|127.0|0|0.0|100
0|2021-11-02|6255.0|0|6255.0|0|127.0|0|0.0|100
0|2021-11-03|6262.0|0|6262.0|0|128.0|0|0.0|100
0|2021-11-04|6268.0|0|6268.0|0|128.0|0|0.0|100
0|2021-11-05|6273.0|0|6273.0|0|128.0|0|0.0|100
0|2021-11-06|6275.0|0|6275.0|0|128.0|0|0.0|100
0|2021-11-07|6277.0|0|6277.0|0|128.0|0|0.0|100
0|2021-11-08|6277.0|0|6281.0|0|128.0|0|0.0|100
0|2021-11-09|6283.0|0|6283.0|0|128.0|0|0.0|100
0|2021-11-10|6283.0|0|6290.0|0|128.0|0|0.0|100
0|2021-11-11|6298.0|0|6298.0|0|128.0|0|0.0|100
0|2021-11-12|6302.0|0|6302.0|0|128.0|0|0.0|100
0|2021-11-13|6311.0|0|6311.0|0|129.0|0|0.0|100
0|2021-11-14|6315.0|0|6315.0|0|129.0|0|0.0|100
0|2021-11-15|6317.0|0|6317.0|0|129.0|0|0.0|100
0|2021-11-16|6332.0|0|6332.0|0|130.0|0|0.0|100
0|2021-11-17|6337.0|0|6337.0|0|130.0|0|0.0|100
0|2021-11-18|6353.0|0|6353.0|0|130.0|0|0.0|100
0|2021-11-19|6365.0|0|6365.0|0|130.0|0|0.0|100
0|2021-11-20|6373.0|0|6373.0|0|130.0|0|0.0|100
0|2021-11-21|6375.0|0|6375.0|0|130.0|0|0.0|100
0|2021-11-22|6382.0|0|6382.0|0|130.0|0|0.0|100
0|2021-11-23|6399.0|0|6399.0|0|130.0|0|0.0|100
0|2021-11-24|6405.0|0|6405.0|0|131.0|0|0.0|100
0|2021-11-25|6414.0|0|6414.0|0|131.0|0|0.0|100
0|2021-11-26|6421.0|0|6421.0|0|131.0|0|0.0|100
0|2021-11-27|6431.0|0|6431.0|0|131.0|0|0.0|100
0|2021-11-28|6441.0|0|6441.0|0|131.0|0|0.0|100
0|2021-11-29|6446.0|0|6446.0|0|131.0|0|0.0|100
0|2021-11-30|6446.0|0|6466.0|0|131.0|0|0.0|100
0|2021-12-01|6474.0|0|6474.0|0|131.0|0|0.0|100
0|2021-12-02|6515.0|0|6515.0|0|132.0|0|0.0|100
0|2021-12-03|6529.0|0|6529.0|0|132.0|0|0.0|100
0|2021-12-04|6553.0|0|6553.0|0|132.0|0|0.0|100
0|2021-12-05|6560.0|0|6560.0|0|132.0|0|0.0|100
0|2021-12-06|6571.0|0|6571.0|0|132.0|0|0.0|100
0|2021-12-07|6594.0|0|6594.0|0|132.0|0|0.0|100
0|2021-12-08|6614.0|0|6614.0|0|132.0|0|0.0|100
0|2021-12-09|6628.0|0|6628.0|0|132.0|0|0.0|100
0|2021-12-10|6661.0|0|6661.0|0|132.0|0|0.0|100
0|2021-12-11|6682.0|0|6682.0|0|132.0|0|0.0|100
0|2021-12-12|6688.0|0|6688.0|0|132.0|0|0.0|100
0|2021-12-13|6698.0|0|6698.0|0|133.0|0|0.0|100
0|2021-12-14|6698.0|0|6712.0|0|133.0|0|0.0|100
0|2021-12-15|6740.0|0|6740.0|0|133.0|0|0.0|100
0|2021-12-16|6749.0|0|6749.0|0|133.0|0|0.0|100
0|2021-12-17|6766.0|0|6766.0|0|133.0|0|0.0|100
0|2021-12-18|6779.0|0|6779.0|0|133.0|0|0.0|100
0|2021-12-19|6783.0|0|6783.0|0|133.0|0|0.0|100
0|2021-12-20|6797.0|0|6797.0|0|134.0|0|0.0|100
0|2021-12-21|6810.0|0|6810.0|0|134.0|0|0.0|100
0|2021-12-22|6821.0|0|6821.0|0|134.0|0|0.0|100
0|2021-12-23|6844.0|0|6844.0|0|134.0|0|0.0|100
0|2021-12-24|6852.0|0|6852.0|0|134.0|0|0.0|100
0|2021-12-25|6857.0|0|6857.0|0|135.0|0|0.0|100
0|2021-12-26|6859.0|0|6859.0|0|135.0|0|0.0|100
0|2021-12-27|6866.0|0|6866.0|0|136.0|0|0.0|100
0|2021-12-28|6891.0|0|6891.0|0|136.0|0|0.0|100
0|2021-12-29|6905.0|0|6905.0|0|137.0|0|0.0|100
0|2021-12-30|6959.0|0|6959.0|0|139.0|0|0.0|100
0|2021-12-31|6979.0|0|6979.0|0|139.0|0|0.0|100
0|2022-01-01|6997.0|0|6997.0|0|141.0|0|0.0|100
0|2022-01-02|7010.0|0|7010.0|0|142.0|0|0.0|100
0|2022-01-03|7032.0|0|7032.0|0|142.0|0|0.0|100
0|2022-01-04|7075.0|0|7075.0|0|142.0|0|0.0|100
0|2022-01-05|7151.0|0|7151.0|0|142.0|0|0.0|100
0|2022-01-06|7197.0|0|7197.0|0|142.0|0|0.0|100
0|2022-01-07|7254.0|0|7254.0|0|142.0|0|0.0|100
0|2022-01-08|7295.0|0|7295.0|0|142.0|0|0.0|100
0|2022-01-09|7295.0|0|7295.0|0|142.0|0|0.0|100
0|2022-01-10|7341.0|0|7341.0|0|142.0|0|0.0|100
0|2022-01-11|7414.0|0|7414.0|0|142.0|0|0.0|100
0|2022-01-12|7503.0|0|7503.0|0|142.0|0|0.0|100
0|2022-01-13|7503.0|0|7624.0|0|142.0|0|0.0|100
0|2022-01-14|7727.0|0|7727.0|0|143.0|0|0.0|100
0|2022-01-15|7861.0|0|7861.0|0|144.0|0|0.0|100
0|2022-01-16|7899.0|0|7899.0|0|144.0|0|0.0|100
0|2022-01-17|7939.0|0|0.0|100|144.0|0|0.0|100
