|dates|Starke_Indiana_UnitedStates.JHU_ConfirmedCases.data|Starke_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Starke_Indiana_UnitedStates.NYT_ConfirmedCases.data|Starke_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Starke_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Starke_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Starke_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Starke_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3108.0|0|3111.0|0|68.0|0|0.0|100
0|2021-10-18|3133.0|0|3136.0|0|69.0|0|0.0|100
0|2021-10-19|3140.0|0|3143.0|0|69.0|0|0.0|100
0|2021-10-20|3155.0|0|3158.0|0|70.0|0|0.0|100
0|2021-10-21|3164.0|0|3167.0|0|70.0|0|0.0|100
0|2021-10-22|3171.0|0|3174.0|0|71.0|0|0.0|100
0|2021-10-23|3171.0|0|3174.0|0|71.0|0|0.0|100
0|2021-10-24|3171.0|0|3174.0|0|71.0|0|0.0|100
0|2021-10-25|3191.0|0|3194.0|0|71.0|0|0.0|100
0|2021-10-26|3198.0|0|3201.0|0|71.0|0|0.0|100
0|2021-10-27|3209.0|0|3212.0|0|71.0|0|0.0|100
0|2021-10-28|3225.0|0|3228.0|0|71.0|0|0.0|100
0|2021-10-29|3234.0|0|3237.0|0|71.0|0|0.0|100
0|2021-10-30|3234.0|0|3237.0|0|71.0|0|0.0|100
0|2021-10-31|3234.0|0|3237.0|0|71.0|0|0.0|100
0|2021-11-01|3249.0|0|3252.0|0|71.0|0|0.0|100
0|2021-11-02|3253.0|0|3256.0|0|72.0|0|0.0|100
0|2021-11-03|3266.0|0|3269.0|0|72.0|0|0.0|100
0|2021-11-04|3270.0|0|3273.0|0|72.0|0|0.0|100
0|2021-11-05|3273.0|0|3276.0|0|72.0|0|0.0|100
0|2021-11-06|3273.0|0|3276.0|0|72.0|0|0.0|100
0|2021-11-07|3273.0|0|3276.0|0|72.0|0|0.0|100
