|dates|Arlington_Virginia_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Arlington_Virginia_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Arlington_Virginia_UnitedStates.Male_Total_Population.data|Arlington_Virginia_UnitedStates.Male_Total_Population.missing|Arlington_Virginia_UnitedStates.Female_Total_Population.data|Arlington_Virginia_UnitedStates.Female_Total_Population.missing|Arlington_Virginia_UnitedStates.MaleAndFemale_Under18_Population.data|Arlington_Virginia_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-10-18|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-10-19|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-10-20|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-10-21|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-10-22|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-10-23|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-10-24|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-10-25|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-10-26|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-10-27|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-10-28|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-10-29|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-10-30|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-10-31|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-11-01|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-11-02|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-11-03|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-11-04|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-11-05|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-11-06|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-11-07|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-11-08|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-11-09|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-11-10|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-11-11|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-11-12|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-11-13|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-11-14|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-11-15|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-11-16|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-11-17|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-11-18|25209.0|0|119009.0|0|118512.0|0|42959.0|0
0|2021-11-19|25209.0|0|119009.0|0|118512.0|0|42959.0|0
