|dates|Baraga_Michigan_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Baraga_Michigan_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Baraga_Michigan_UnitedStates.Male_Total_Population.data|Baraga_Michigan_UnitedStates.Male_Total_Population.missing|Baraga_Michigan_UnitedStates.Female_Total_Population.data|Baraga_Michigan_UnitedStates.Female_Total_Population.missing|Baraga_Michigan_UnitedStates.MaleAndFemale_Under18_Population.data|Baraga_Michigan_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-10-18|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-10-19|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-10-20|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-10-21|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-10-22|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-10-23|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-10-24|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-10-25|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-10-26|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-10-27|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-10-28|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-10-29|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-10-30|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-10-31|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-11-01|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-11-02|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-11-03|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-11-04|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-11-05|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-11-06|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-11-07|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-11-08|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-11-09|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-11-10|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-11-11|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-11-12|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-11-13|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-11-14|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-11-15|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-11-16|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-11-17|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-11-18|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-11-19|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-11-20|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-11-21|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-11-22|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-11-23|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-11-24|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-11-25|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-11-26|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-11-27|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-11-28|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-11-29|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-11-30|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-12-01|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-12-02|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-12-03|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-12-04|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-12-05|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-12-06|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-12-07|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-12-08|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-12-09|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-12-10|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-12-11|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-12-12|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-12-13|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-12-14|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-12-15|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-12-16|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-12-17|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-12-18|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-12-19|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-12-20|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-12-21|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-12-22|1840.0|0|4586.0|0|3734.0|0|1457.0|0
0|2021-12-23|1840.0|0|4586.0|0|3734.0|0|1457.0|0
