|dates|Oldham_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Oldham_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Oldham_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Oldham_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Oldham_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Oldham_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Oldham_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Oldham_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|9940.0|0|9940.0|0|91.0|0|0.0|100
0|2021-10-18|9973.0|0|9973.0|0|91.0|0|0.0|100
0|2021-10-19|9985.0|0|9985.0|0|93.0|0|0.0|100
0|2021-10-20|10009.0|0|10009.0|0|93.0|0|0.0|100
0|2021-10-21|10077.0|0|10077.0|0|93.0|0|0.0|100
0|2021-10-22|10087.0|0|10087.0|0|93.0|0|0.0|100
0|2021-10-23|10087.0|0|10087.0|0|93.0|0|0.0|100
0|2021-10-24|10087.0|0|10087.0|0|93.0|0|0.0|100
0|2021-10-25|10114.0|0|10114.0|0|93.0|0|0.0|100
0|2021-10-26|10120.0|0|10120.0|0|93.0|0|0.0|100
0|2021-10-27|10135.0|0|10135.0|0|93.0|0|0.0|100
0|2021-10-28|10146.0|0|10146.0|0|93.0|0|0.0|100
0|2021-10-29|10161.0|0|10161.0|0|93.0|0|0.0|100
0|2021-10-30|10161.0|0|10161.0|0|93.0|0|0.0|100
0|2021-10-31|10161.0|0|10161.0|0|93.0|0|0.0|100
0|2021-11-01|10177.0|0|10177.0|0|93.0|0|0.0|100
0|2021-11-02|10194.0|0|10194.0|0|93.0|0|0.0|100
0|2021-11-03|10209.0|0|10209.0|0|93.0|0|0.0|100
0|2021-11-04|10227.0|0|10227.0|0|93.0|0|0.0|100
0|2021-11-05|10245.0|0|10245.0|0|95.0|0|0.0|100
0|2021-11-06|10245.0|0|10245.0|0|95.0|0|0.0|100
0|2021-11-07|10245.0|0|10245.0|0|95.0|0|0.0|100
0|2021-11-08|10249.0|0|10249.0|0|95.0|0|0.0|100
0|2021-11-09|10268.0|0|10268.0|0|95.0|0|0.0|100
0|2021-11-10|10268.0|0|10278.0|0|95.0|0|0.0|100
0|2021-11-11|10278.0|0|10278.0|0|95.0|0|0.0|100
