|dates|OutofGA_Georgia_UnitedStates.JHU_ConfirmedCases.data|OutofGA_Georgia_UnitedStates.JHU_ConfirmedCases.missing|OutofGA_Georgia_UnitedStates.NYT_ConfirmedCases.data|OutofGA_Georgia_UnitedStates.NYT_ConfirmedCases.missing|OutofGA_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|OutofGA_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|OutofGA_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|OutofGA_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|42888.0|0|0.0|100|963.0|0|0.0|100
0|2021-10-18|42971.0|0|0.0|100|968.0|0|0.0|100
0|2021-10-19|43020.0|0|0.0|100|972.0|0|0.0|100
0|2021-10-20|42931.0|0|0.0|100|979.0|0|0.0|100
0|2021-10-21|42937.0|0|0.0|100|988.0|0|0.0|100
0|2021-10-22|42861.0|0|0.0|100|1006.0|0|0.0|100
0|2021-10-23|42861.0|0|0.0|100|1006.0|0|0.0|100
0|2021-10-24|42861.0|0|0.0|100|1006.0|0|0.0|100
0|2021-10-25|42900.0|0|0.0|100|1008.0|0|0.0|100
0|2021-10-26|42915.0|0|0.0|100|1012.0|0|0.0|100
0|2021-10-27|42955.0|0|0.0|100|1020.0|0|0.0|100
0|2021-10-28|42952.0|0|0.0|100|1023.0|0|0.0|100
0|2021-10-29|42973.0|0|0.0|100|1027.0|0|0.0|100
0|2021-10-30|42973.0|0|0.0|100|1027.0|0|0.0|100
0|2021-10-31|42973.0|0|0.0|100|1027.0|0|0.0|100
0|2021-11-01|42761.0|0|0.0|100|1032.0|0|0.0|100
0|2021-11-02|42761.0|0|0.0|100|1032.0|0|0.0|100
0|2021-11-03|42486.0|0|0.0|100|1043.0|0|0.0|100
0|2021-11-04|42386.0|0|0.0|100|1048.0|0|0.0|100
0|2021-11-05|42313.0|0|0.0|100|1053.0|0|0.0|100
0|2021-11-06|42313.0|0|0.0|100|1053.0|0|0.0|100
0|2021-11-07|42313.0|0|0.0|100|1053.0|0|0.0|100
0|2021-11-08|42313.0|0|0.0|100|1053.0|0|0.0|100
0|2021-11-09|42092.0|0|0.0|100|1067.0|0|0.0|100
0|2021-11-10|42092.0|0|0.0|100|1067.0|0|0.0|100
0|2021-11-11|41951.0|0|0.0|100|1071.0|0|0.0|100
0|2021-11-12|41725.0|0|0.0|100|1079.0|0|0.0|100
0|2021-11-13|41725.0|0|0.0|100|1079.0|0|0.0|100
0|2021-11-14|41725.0|0|0.0|100|1079.0|0|0.0|100
0|2021-11-15|41678.0|0|0.0|100|1080.0|0|0.0|100
0|2021-11-16|41635.0|0|0.0|100|1083.0|0|0.0|100
0|2021-11-17|41612.0|0|0.0|100|1092.0|0|0.0|100
0|2021-11-18|41603.0|0|0.0|100|1096.0|0|0.0|100
0|2021-11-19|41639.0|0|0.0|100|1105.0|0|0.0|100
0|2021-11-20|41639.0|0|0.0|100|1105.0|0|0.0|100
0|2021-11-21|41639.0|0|0.0|100|1105.0|0|0.0|100
0|2021-11-22|41704.0|0|0.0|100|1113.0|0|0.0|100
0|2021-11-23|41730.0|0|0.0|100|1117.0|0|0.0|100
0|2021-11-24|41765.0|0|0.0|100|1120.0|0|0.0|100
0|2021-11-25|41765.0|0|0.0|100|1120.0|0|0.0|100
0|2021-11-26|41765.0|0|0.0|100|1120.0|0|0.0|100
0|2021-11-27|41765.0|0|0.0|100|1120.0|0|0.0|100
0|2021-11-28|41765.0|0|0.0|100|1120.0|0|0.0|100
