|dates|Jefferson_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Jefferson_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Jefferson_Montana_UnitedStates.Male_Total_Population.data|Jefferson_Montana_UnitedStates.Male_Total_Population.missing|Jefferson_Montana_UnitedStates.Female_Total_Population.data|Jefferson_Montana_UnitedStates.Female_Total_Population.missing|Jefferson_Montana_UnitedStates.MaleAndFemale_Under18_Population.data|Jefferson_Montana_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-10-18|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-10-19|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-10-20|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-10-21|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-10-22|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-10-23|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-10-24|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-10-25|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-10-26|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-10-27|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-10-28|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-10-29|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-10-30|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-10-31|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-11-01|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-11-02|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-11-03|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-11-04|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-11-05|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-11-06|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-11-07|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-11-08|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-11-09|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-11-10|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-11-11|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-11-12|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-11-13|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-11-14|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-11-15|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-11-16|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-11-17|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-11-18|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-11-19|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-11-20|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-11-21|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-11-22|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-11-23|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-11-24|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-11-25|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-11-26|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-11-27|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-11-28|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-11-29|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-11-30|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-12-01|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-12-02|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-12-03|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-12-04|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-12-05|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-12-06|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-12-07|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-12-08|2594.0|0|6111.0|0|5986.0|0|2466.0|0
0|2021-12-09|2594.0|0|6111.0|0|5986.0|0|2466.0|0
