|dates|Clarendon_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Clarendon_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Clarendon_SouthCarolina_UnitedStates.NYT_ConfirmedCases.data|Clarendon_SouthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Clarendon_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Clarendon_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Clarendon_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Clarendon_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4993.0|0|4993.0|0|135.0|0|0.0|100
0|2021-10-18|5022.0|0|5022.0|0|135.0|0|0.0|100
0|2021-10-19|5023.0|0|5023.0|0|135.0|0|0.0|100
0|2021-10-20|5029.0|0|5029.0|0|135.0|0|0.0|100
0|2021-10-21|5040.0|0|5040.0|0|135.0|0|0.0|100
0|2021-10-22|5050.0|0|5050.0|0|135.0|0|0.0|100
0|2021-10-23|5050.0|0|5050.0|0|135.0|0|0.0|100
0|2021-10-24|5050.0|0|5050.0|0|135.0|0|0.0|100
0|2021-10-25|5062.0|0|5062.0|0|136.0|0|0.0|100
0|2021-10-26|5064.0|0|5064.0|0|136.0|0|0.0|100
0|2021-10-27|5075.0|0|5075.0|0|136.0|0|0.0|100
0|2021-10-28|5078.0|0|5078.0|0|136.0|0|0.0|100
0|2021-10-29|5081.0|0|5081.0|0|136.0|0|0.0|100
0|2021-10-30|5081.0|0|5081.0|0|136.0|0|0.0|100
0|2021-10-31|5081.0|0|5081.0|0|136.0|0|0.0|100
0|2021-11-01|5099.0|0|5099.0|0|136.0|0|0.0|100
0|2021-11-02|5102.0|0|5102.0|0|136.0|0|0.0|100
0|2021-11-03|5104.0|0|5104.0|0|136.0|0|0.0|100
0|2021-11-04|5109.0|0|5109.0|0|136.0|0|0.0|100
0|2021-11-05|5115.0|0|5115.0|0|136.0|0|0.0|100
0|2021-11-06|5115.0|0|5115.0|0|136.0|0|0.0|100
0|2021-11-07|5115.0|0|5115.0|0|136.0|0|0.0|100
0|2021-11-08|5133.0|0|5133.0|0|136.0|0|0.0|100
0|2021-11-09|5135.0|0|5135.0|0|136.0|0|0.0|100
0|2021-11-10|5141.0|0|5141.0|0|136.0|0|0.0|100
0|2021-11-11|5141.0|0|5141.0|0|136.0|0|0.0|100
0|2021-11-12|5140.0|0|5140.0|0|136.0|0|0.0|100
0|2021-11-13|5140.0|0|5140.0|0|136.0|0|0.0|100
0|2021-11-14|5140.0|0|5140.0|0|136.0|0|0.0|100
0|2021-11-15|5142.0|0|5142.0|0|136.0|0|0.0|100
0|2021-11-16|5142.0|0|5142.0|0|136.0|0|0.0|100
0|2021-11-17|5141.0|0|5141.0|0|136.0|0|0.0|100
0|2021-11-18|5148.0|0|5148.0|0|136.0|0|0.0|100
0|2021-11-19|5150.0|0|5150.0|0|136.0|0|0.0|100
0|2021-11-20|5150.0|0|5150.0|0|136.0|0|0.0|100
0|2021-11-21|5150.0|0|5150.0|0|136.0|0|0.0|100
0|2021-11-22|5165.0|0|5165.0|0|136.0|0|0.0|100
0|2021-11-23|5165.0|0|5165.0|0|136.0|0|0.0|100
0|2021-11-24|5167.0|0|5167.0|0|136.0|0|0.0|100
0|2021-11-25|5167.0|0|5167.0|0|136.0|0|0.0|100
0|2021-11-26|5167.0|0|5168.0|0|136.0|0|0.0|100
0|2021-11-27|5168.0|0|5168.0|0|136.0|0|0.0|100
0|2021-11-28|5168.0|0|5168.0|0|136.0|0|0.0|100
0|2021-11-29|5184.0|0|5184.0|0|136.0|0|0.0|100
