|dates|Austin_Texas_UnitedStates.JHU_ConfirmedCases.data|Austin_Texas_UnitedStates.JHU_ConfirmedCases.missing|Austin_Texas_UnitedStates.NYT_ConfirmedCases.data|Austin_Texas_UnitedStates.NYT_ConfirmedCases.missing|Austin_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Austin_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Austin_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Austin_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3446.0|0|3446.0|0|51.0|0|0.0|100
0|2021-10-18|3449.0|0|3449.0|0|51.0|0|0.0|100
0|2021-10-19|3452.0|0|3452.0|0|51.0|0|0.0|100
0|2021-10-20|3457.0|0|3457.0|0|51.0|0|0.0|100
0|2021-10-21|3457.0|0|3457.0|0|51.0|0|0.0|100
0|2021-10-22|3464.0|0|3464.0|0|51.0|0|0.0|100
0|2021-10-23|3479.0|0|3479.0|0|51.0|0|0.0|100
0|2021-10-24|3484.0|0|3484.0|0|51.0|0|0.0|100
0|2021-10-25|3485.0|0|3485.0|0|51.0|0|0.0|100
0|2021-10-26|3489.0|0|3489.0|0|52.0|0|0.0|100
0|2021-10-27|3499.0|0|3499.0|0|52.0|0|0.0|100
0|2021-10-28|3509.0|0|3509.0|0|52.0|0|0.0|100
0|2021-10-29|3518.0|0|3518.0|0|52.0|0|0.0|100
0|2021-10-30|3525.0|0|3525.0|0|52.0|0|0.0|100
0|2021-10-31|3530.0|0|3530.0|0|52.0|0|0.0|100
0|2021-11-01|3533.0|0|3533.0|0|52.0|0|0.0|100
0|2021-11-02|3536.0|0|3536.0|0|53.0|0|0.0|100
0|2021-11-03|3540.0|0|3540.0|0|53.0|0|0.0|100
0|2021-11-04|3549.0|0|3549.0|0|53.0|0|0.0|100
0|2021-11-05|3570.0|0|3570.0|0|53.0|0|0.0|100
0|2021-11-06|3575.0|0|3575.0|0|54.0|0|0.0|100
0|2021-11-07|3581.0|0|3581.0|0|54.0|0|0.0|100
0|2021-11-08|3586.0|0|3586.0|0|54.0|0|0.0|100
0|2021-11-09|3587.0|0|3587.0|0|54.0|0|0.0|100
0|2021-11-10|3587.0|0|3587.0|0|54.0|0|0.0|100
0|2021-11-11|3596.0|0|3596.0|0|56.0|0|0.0|100
0|2021-11-12|3602.0|0|3602.0|0|56.0|0|0.0|100
0|2021-11-13|3611.0|0|3611.0|0|56.0|0|0.0|100
0|2021-11-14|3611.0|0|3611.0|0|56.0|0|0.0|100
0|2021-11-15|3613.0|0|3613.0|0|56.0|0|0.0|100
0|2021-11-16|3615.0|0|3615.0|0|56.0|0|0.0|100
0|2021-11-17|3618.0|0|3618.0|0|56.0|0|0.0|100
0|2021-11-18|3620.0|0|3620.0|0|56.0|0|0.0|100
0|2021-11-19|3625.0|0|3625.0|0|56.0|0|0.0|100
0|2021-11-20|3629.0|0|3629.0|0|56.0|0|0.0|100
0|2021-11-21|3631.0|0|3631.0|0|56.0|0|0.0|100
0|2021-11-22|3631.0|0|3631.0|0|56.0|0|0.0|100
0|2021-11-23|3631.0|0|3631.0|0|56.0|0|0.0|100
0|2021-11-24|3638.0|0|3638.0|0|56.0|0|0.0|100
0|2021-11-25|3638.0|0|3638.0|0|56.0|0|0.0|100
0|2021-11-26|3638.0|0|3638.0|0|56.0|0|0.0|100
0|2021-11-27|3638.0|0|3638.0|0|56.0|0|0.0|100
0|2021-11-28|3638.0|0|3638.0|0|56.0|0|0.0|100
0|2021-11-29|3642.0|0|3642.0|0|56.0|0|0.0|100
0|2021-11-30|3646.0|0|3646.0|0|56.0|0|0.0|100
0|2021-12-01|3651.0|0|3651.0|0|56.0|0|0.0|100
0|2021-12-02|3653.0|0|3653.0|0|56.0|0|0.0|100
0|2021-12-03|3657.0|0|3657.0|0|56.0|0|0.0|100
0|2021-12-04|3660.0|0|3660.0|0|56.0|0|0.0|100
0|2021-12-05|3664.0|0|3664.0|0|56.0|0|0.0|100
0|2021-12-06|3665.0|0|3665.0|0|56.0|0|0.0|100
0|2021-12-07|3672.0|0|3672.0|0|56.0|0|0.0|100
0|2021-12-08|3683.0|0|3683.0|0|56.0|0|0.0|100
0|2021-12-09|3693.0|0|3693.0|0|56.0|0|0.0|100
0|2021-12-10|3715.0|0|3715.0|0|56.0|0|0.0|100
0|2021-12-11|3722.0|0|3722.0|0|56.0|0|0.0|100
0|2021-12-12|3724.0|0|3724.0|0|56.0|0|0.0|100
0|2021-12-13|3726.0|0|3726.0|0|56.0|0|0.0|100
0|2021-12-14|3726.0|0|3732.0|0|56.0|0|0.0|100
0|2021-12-15|3750.0|0|3750.0|0|56.0|0|0.0|100
0|2021-12-16|3774.0|0|3774.0|0|56.0|0|0.0|100
0|2021-12-17|3781.0|0|3781.0|0|57.0|0|0.0|100
0|2021-12-18|3792.0|0|3792.0|0|57.0|0|0.0|100
0|2021-12-19|3796.0|0|3796.0|0|57.0|0|0.0|100
0|2021-12-20|3800.0|0|3800.0|0|57.0|0|0.0|100
0|2021-12-21|3823.0|0|3823.0|0|57.0|0|0.0|100
0|2021-12-22|3832.0|0|3832.0|0|57.0|0|0.0|100
0|2021-12-23|3852.0|0|3852.0|0|57.0|0|0.0|100
0|2021-12-24|3852.0|0|3852.0|0|57.0|0|0.0|100
0|2021-12-25|3852.0|0|3852.0|0|57.0|0|0.0|100
0|2021-12-26|3852.0|0|3852.0|0|57.0|0|0.0|100
0|2021-12-27|3887.0|0|3887.0|0|57.0|0|0.0|100
0|2021-12-28|3905.0|0|3905.0|0|57.0|0|0.0|100
0|2021-12-29|3917.0|0|3917.0|0|57.0|0|0.0|100
0|2021-12-30|3927.0|0|3927.0|0|57.0|0|0.0|100
0|2021-12-31|3927.0|0|3927.0|0|57.0|0|0.0|100
0|2022-01-01|3927.0|0|3927.0|0|57.0|0|0.0|100
0|2022-01-02|3927.0|0|3927.0|0|57.0|0|0.0|100
0|2022-01-03|4058.0|0|4058.0|0|57.0|0|0.0|100
0|2022-01-04|4132.0|0|4132.0|0|58.0|0|0.0|100
0|2022-01-05|4171.0|0|4171.0|0|58.0|0|0.0|100
0|2022-01-06|4198.0|0|4198.0|0|58.0|0|0.0|100
0|2022-01-07|4243.0|0|4243.0|0|58.0|0|0.0|100
0|2022-01-08|4264.0|0|4264.0|0|58.0|0|0.0|100
0|2022-01-09|4291.0|0|4291.0|0|58.0|0|0.0|100
0|2022-01-10|4312.0|0|4312.0|0|58.0|0|0.0|100
0|2022-01-11|4343.0|0|4343.0|0|58.0|0|0.0|100
0|2022-01-12|4384.0|0|4384.0|0|58.0|0|0.0|100
0|2022-01-13|4384.0|0|4436.0|0|58.0|0|0.0|100
0|2022-01-14|4436.0|0|4539.0|0|58.0|0|0.0|100
0|2022-01-15|4590.0|0|4590.0|0|58.0|0|0.0|100
0|2022-01-16|4628.0|0|4628.0|0|58.0|0|0.0|100
0|2022-01-17|4676.0|0|0.0|100|58.0|0|0.0|100
