|dates|St.Tammany_Louisiana_UnitedStates.JHU_ConfirmedCases.data|St.Tammany_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|St.Tammany_Louisiana_UnitedStates.NYT_ConfirmedCases.data|St.Tammany_Louisiana_UnitedStates.NYT_ConfirmedCases.missing|St.Tammany_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|St.Tammany_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|St.Tammany_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|St.Tammany_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|43240.0|0|43240.0|0|710.0|0|0.0|100
0|2021-10-18|43296.0|0|43296.0|0|712.0|0|0.0|100
0|2021-10-19|43315.0|0|43315.0|0|713.0|0|0.0|100
0|2021-10-20|43342.0|0|43342.0|0|715.0|0|0.0|100
0|2021-10-21|43370.0|0|43370.0|0|715.0|0|0.0|100
0|2021-10-22|43411.0|0|43411.0|0|716.0|0|0.0|100
0|2021-10-23|43411.0|0|43411.0|0|716.0|0|0.0|100
0|2021-10-24|43411.0|0|43411.0|0|716.0|0|0.0|100
0|2021-10-25|43462.0|0|43462.0|0|720.0|0|0.0|100
0|2021-10-26|43485.0|0|43485.0|0|720.0|0|0.0|100
0|2021-10-27|43523.0|0|43523.0|0|721.0|0|0.0|100
0|2021-10-28|43557.0|0|43557.0|0|723.0|0|0.0|100
0|2021-10-29|43568.0|0|43568.0|0|724.0|0|0.0|100
0|2021-10-30|43568.0|0|43568.0|0|724.0|0|0.0|100
0|2021-10-31|43568.0|0|43568.0|0|724.0|0|0.0|100
0|2021-11-01|43642.0|0|43642.0|0|724.0|0|0.0|100
0|2021-11-02|43661.0|0|43661.0|0|724.0|0|0.0|100
0|2021-11-03|43703.0|0|43703.0|0|725.0|0|0.0|100
0|2021-11-04|43739.0|0|43739.0|0|726.0|0|0.0|100
0|2021-11-05|43762.0|0|43762.0|0|727.0|0|0.0|100
0|2021-11-06|43762.0|0|43762.0|0|727.0|0|0.0|100
0|2021-11-07|43762.0|0|43762.0|0|727.0|0|0.0|100
0|2021-11-08|43810.0|0|43810.0|0|728.0|0|0.0|100
0|2021-11-09|43840.0|0|43840.0|0|729.0|0|0.0|100
0|2021-11-10|43870.0|0|43870.0|0|730.0|0|0.0|100
0|2021-11-11|43870.0|0|43870.0|0|730.0|0|0.0|100
0|2021-11-12|43919.0|0|43919.0|0|730.0|0|0.0|100
0|2021-11-13|43919.0|0|43919.0|0|730.0|0|0.0|100
0|2021-11-14|43919.0|0|43919.0|0|730.0|0|0.0|100
0|2021-11-15|43973.0|0|43973.0|0|731.0|0|0.0|100
0|2021-11-16|44003.0|0|44003.0|0|731.0|0|0.0|100
0|2021-11-17|44026.0|0|44026.0|0|731.0|0|0.0|100
0|2021-11-18|44049.0|0|44049.0|0|732.0|0|0.0|100
0|2021-11-19|44074.0|0|44074.0|0|733.0|0|0.0|100
0|2021-11-20|44074.0|0|44074.0|0|733.0|0|0.0|100
0|2021-11-21|44074.0|0|44074.0|0|733.0|0|0.0|100
0|2021-11-22|44114.0|0|44114.0|0|733.0|0|0.0|100
0|2021-11-23|44141.0|0|44141.0|0|733.0|0|0.0|100
0|2021-11-24|44165.0|0|44165.0|0|733.0|0|0.0|100
0|2021-11-25|44165.0|0|44165.0|0|733.0|0|0.0|100
0|2021-11-26|44165.0|0|44165.0|0|733.0|0|0.0|100
0|2021-11-27|44165.0|0|44165.0|0|733.0|0|0.0|100
0|2021-11-28|44165.0|0|44165.0|0|733.0|0|0.0|100
0|2021-11-29|44242.0|0|44242.0|0|734.0|0|0.0|100
0|2021-11-30|44307.0|0|44307.0|0|735.0|0|0.0|100
0|2021-12-01|44372.0|0|44372.0|0|735.0|0|0.0|100
0|2021-12-02|44408.0|0|44408.0|0|735.0|0|0.0|100
0|2021-12-03|44437.0|0|44437.0|0|736.0|0|0.0|100
0|2021-12-04|44437.0|0|44437.0|0|736.0|0|0.0|100
0|2021-12-05|44437.0|0|44437.0|0|736.0|0|0.0|100
0|2021-12-06|44488.0|0|44488.0|0|736.0|0|0.0|100
0|2021-12-07|44525.0|0|44525.0|0|736.0|0|0.0|100
0|2021-12-08|44565.0|0|44565.0|0|737.0|0|0.0|100
0|2021-12-09|44599.0|0|44599.0|0|737.0|0|0.0|100
0|2021-12-10|44620.0|0|44620.0|0|738.0|0|0.0|100
0|2021-12-11|44620.0|0|44620.0|0|738.0|0|0.0|100
0|2021-12-12|44620.0|0|44620.0|0|738.0|0|0.0|100
0|2021-12-13|44687.0|0|44687.0|0|738.0|0|0.0|100
0|2021-12-14|44687.0|0|44725.0|0|738.0|0|0.0|100
0|2021-12-15|44776.0|0|44776.0|0|738.0|0|0.0|100
0|2021-12-16|44866.0|0|44866.0|0|738.0|0|0.0|100
0|2021-12-17|44938.0|0|44938.0|0|738.0|0|0.0|100
0|2021-12-18|44938.0|0|44938.0|0|738.0|0|0.0|100
0|2021-12-19|44938.0|0|44938.0|0|738.0|0|0.0|100
0|2021-12-20|45102.0|0|45102.0|0|738.0|0|0.0|100
0|2021-12-21|45181.0|0|45181.0|0|738.0|0|0.0|100
0|2021-12-22|45334.0|0|45334.0|0|738.0|0|0.0|100
0|2021-12-23|45523.0|0|45523.0|0|738.0|0|0.0|100
0|2021-12-24|45523.0|0|45523.0|0|738.0|0|0.0|100
0|2021-12-25|45523.0|0|45523.0|0|738.0|0|0.0|100
0|2021-12-26|45523.0|0|45523.0|0|738.0|0|0.0|100
0|2021-12-27|46280.0|0|46280.0|0|740.0|0|0.0|100
0|2021-12-28|46615.0|0|46615.0|0|739.0|0|0.0|100
0|2021-12-29|47113.0|0|47113.0|0|739.0|0|0.0|100
0|2021-12-30|47807.0|0|47807.0|0|739.0|0|0.0|100
0|2021-12-31|47807.0|0|47807.0|0|739.0|0|0.0|100
0|2022-01-01|47807.0|0|47807.0|0|739.0|0|0.0|100
0|2022-01-02|47807.0|0|47807.0|0|739.0|0|0.0|100
0|2022-01-03|50121.0|0|50121.0|0|739.0|0|0.0|100
0|2022-01-04|50641.0|0|50641.0|0|740.0|0|0.0|100
0|2022-01-05|51263.0|0|51263.0|0|742.0|0|0.0|100
0|2022-01-06|52080.0|0|52080.0|0|741.0|0|0.0|100
0|2022-01-07|52884.0|0|52884.0|0|743.0|0|0.0|100
0|2022-01-08|52884.0|0|52884.0|0|743.0|0|0.0|100
0|2022-01-09|52884.0|0|52884.0|0|743.0|0|0.0|100
0|2022-01-10|54928.0|0|54928.0|0|744.0|0|0.0|100
0|2022-01-11|55677.0|0|55677.0|0|746.0|0|0.0|100
0|2022-01-12|55677.0|0|55677.0|0|748.0|0|0.0|100
0|2022-01-13|55677.0|0|55677.0|0|748.0|0|0.0|100
0|2022-01-14|58119.0|0|58119.0|0|748.0|0|0.0|100
0|2022-01-15|58119.0|0|58119.0|0|748.0|0|0.0|100
0|2022-01-16|58119.0|0|58119.0|0|748.0|0|0.0|100
0|2022-01-17|58119.0|0|0.0|100|748.0|0|0.0|100
