|dates|Bledsoe_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Bledsoe_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Bledsoe_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Bledsoe_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Bledsoe_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Bledsoe_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Bledsoe_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Bledsoe_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3455.0|0|3455.0|0|17.0|0|0.0|100
0|2021-10-18|3471.0|0|3471.0|0|17.0|0|0.0|100
0|2021-10-19|3473.0|0|3473.0|0|17.0|0|0.0|100
0|2021-10-20|3477.0|0|3477.0|0|17.0|0|0.0|100
0|2021-10-21|3479.0|0|3479.0|0|17.0|0|0.0|100
0|2021-10-22|3479.0|0|3479.0|0|18.0|0|0.0|100
0|2021-10-23|3479.0|0|3479.0|0|18.0|0|0.0|100
0|2021-10-24|3479.0|0|3479.0|0|18.0|0|0.0|100
0|2021-10-25|3479.0|0|3479.0|0|18.0|0|0.0|100
0|2021-10-26|3485.0|0|3485.0|0|18.0|0|0.0|100
0|2021-10-27|3486.0|0|3486.0|0|18.0|0|0.0|100
0|2021-10-28|3491.0|0|3491.0|0|18.0|0|0.0|100
0|2021-10-29|3494.0|0|3494.0|0|18.0|0|0.0|100
0|2021-10-30|3494.0|0|3494.0|0|18.0|0|0.0|100
0|2021-10-31|3494.0|0|3494.0|0|18.0|0|0.0|100
0|2021-11-01|3494.0|0|3494.0|0|18.0|0|0.0|100
0|2021-11-02|3503.0|0|3503.0|0|18.0|0|0.0|100
0|2021-11-03|3502.0|0|3502.0|0|18.0|0|0.0|100
0|2021-11-04|3506.0|0|3506.0|0|18.0|0|0.0|100
0|2021-11-05|3509.0|0|3509.0|0|18.0|0|0.0|100
0|2021-11-06|3509.0|0|3509.0|0|18.0|0|0.0|100
0|2021-11-07|3509.0|0|3509.0|0|18.0|0|0.0|100
0|2021-11-08|3509.0|0|3509.0|0|18.0|0|0.0|100
0|2021-11-09|3514.0|0|3514.0|0|18.0|0|0.0|100
0|2021-11-10|3515.0|0|3515.0|0|18.0|0|0.0|100
0|2021-11-11|3515.0|0|3515.0|0|18.0|0|0.0|100
0|2021-11-12|3519.0|0|3519.0|0|18.0|0|0.0|100
0|2021-11-13|3519.0|0|3519.0|0|18.0|0|0.0|100
0|2021-11-14|3519.0|0|3519.0|0|18.0|0|0.0|100
