|dates|Bedford_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Bedford_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Bedford_Pennsylvania_UnitedStates.NYT_ConfirmedCases.data|Bedford_Pennsylvania_UnitedStates.NYT_ConfirmedCases.missing|Bedford_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Bedford_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Bedford_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Bedford_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|6531.0|0|6531.0|0|160.0|0|0.0|100
0|2021-10-18|6543.0|0|6543.0|0|160.0|0|0.0|100
0|2021-10-19|6567.0|0|6567.0|0|161.0|0|0.0|100
0|2021-10-20|6595.0|0|6595.0|0|162.0|0|0.0|100
0|2021-10-21|6629.0|0|6629.0|0|166.0|0|0.0|100
0|2021-10-22|6662.0|0|6662.0|0|167.0|0|0.0|100
0|2021-10-23|6688.0|0|6688.0|0|169.0|0|0.0|100
0|2021-10-24|6704.0|0|6704.0|0|169.0|0|0.0|100
0|2021-10-25|6708.0|0|6708.0|0|169.0|0|0.0|100
0|2021-10-26|6725.0|0|6725.0|0|169.0|0|0.0|100
0|2021-10-27|6743.0|0|6743.0|0|170.0|0|0.0|100
0|2021-10-28|6765.0|0|6765.0|0|170.0|0|0.0|100
0|2021-10-29|6800.0|0|6800.0|0|171.0|0|0.0|100
0|2021-10-30|6828.0|0|6828.0|0|171.0|0|0.0|100
0|2021-10-31|6856.0|0|6856.0|0|171.0|0|0.0|100
0|2021-11-01|6856.0|0|6856.0|0|171.0|0|0.0|100
0|2021-11-02|6893.0|0|6893.0|0|172.0|0|0.0|100
0|2021-11-03|6910.0|0|6910.0|0|175.0|0|0.0|100
0|2021-11-04|6951.0|0|6951.0|0|175.0|0|0.0|100
0|2021-11-05|6989.0|0|6989.0|0|175.0|0|0.0|100
0|2021-11-06|7023.0|0|7023.0|0|176.0|0|0.0|100
0|2021-11-07|7035.0|0|7035.0|0|176.0|0|0.0|100
0|2021-11-08|7049.0|0|7049.0|0|176.0|0|0.0|100
0|2021-11-09|7060.0|0|7060.0|0|177.0|0|0.0|100
0|2021-11-10|7060.0|0|7077.0|0|177.0|0|0.0|100
0|2021-11-11|7135.0|0|7135.0|0|178.0|0|0.0|100
0|2021-11-12|7157.0|0|7157.0|0|179.0|0|0.0|100
0|2021-11-13|7268.0|0|7268.0|0|180.0|0|0.0|100
0|2021-11-14|7308.0|0|7308.0|0|180.0|0|0.0|100
0|2021-11-15|7315.0|0|7315.0|0|181.0|0|0.0|100
0|2021-11-16|7345.0|0|7345.0|0|184.0|0|0.0|100
0|2021-11-17|7369.0|0|7369.0|0|184.0|0|0.0|100
0|2021-11-18|7412.0|0|7412.0|0|184.0|0|0.0|100
0|2021-11-19|7465.0|0|7465.0|0|185.0|0|0.0|100
0|2021-11-20|7511.0|0|7511.0|0|187.0|0|0.0|100
