|dates|Hale_Texas_UnitedStates.JHU_ConfirmedCases.data|Hale_Texas_UnitedStates.JHU_ConfirmedCases.missing|Hale_Texas_UnitedStates.NYT_ConfirmedCases.data|Hale_Texas_UnitedStates.NYT_ConfirmedCases.missing|Hale_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Hale_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Hale_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Hale_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|7820.0|0|7820.0|0|185.0|0|0.0|100
0|2021-10-18|7820.0|0|7820.0|0|185.0|0|0.0|100
0|2021-10-19|7820.0|0|7820.0|0|185.0|0|0.0|100
0|2021-10-20|7842.0|0|7842.0|0|185.0|0|0.0|100
0|2021-10-21|7842.0|0|7842.0|0|187.0|0|0.0|100
0|2021-10-22|7842.0|0|7842.0|0|187.0|0|0.0|100
0|2021-10-23|7875.0|0|7875.0|0|187.0|0|0.0|100
0|2021-10-24|7875.0|0|7875.0|0|187.0|0|0.0|100
0|2021-10-25|7875.0|0|7875.0|0|187.0|0|0.0|100
0|2021-10-26|7894.0|0|7894.0|0|187.0|0|0.0|100
0|2021-10-27|7894.0|0|7894.0|0|187.0|0|0.0|100
0|2021-10-28|7894.0|0|7894.0|0|188.0|0|0.0|100
0|2021-10-29|7923.0|0|7923.0|0|189.0|0|0.0|100
0|2021-10-30|7923.0|0|7923.0|0|189.0|0|0.0|100
0|2021-10-31|7923.0|0|7923.0|0|190.0|0|0.0|100
0|2021-11-01|7923.0|0|7923.0|0|190.0|0|0.0|100
0|2021-11-02|7923.0|0|7923.0|0|190.0|0|0.0|100
0|2021-11-03|7986.0|0|7986.0|0|190.0|0|0.0|100
0|2021-11-04|7986.0|0|7986.0|0|190.0|0|0.0|100
0|2021-11-05|7986.0|0|7986.0|0|190.0|0|0.0|100
0|2021-11-06|8012.0|0|8012.0|0|190.0|0|0.0|100
0|2021-11-07|8012.0|0|8012.0|0|190.0|0|0.0|100
0|2021-11-08|8012.0|0|8012.0|0|190.0|0|0.0|100
0|2021-11-09|8012.0|0|8012.0|0|190.0|0|0.0|100
0|2021-11-10|8012.0|0|8012.0|0|190.0|0|0.0|100
0|2021-11-11|8027.0|0|8027.0|0|190.0|0|0.0|100
0|2021-11-12|8027.0|0|8027.0|0|191.0|0|0.0|100
0|2021-11-13|8055.0|0|8055.0|0|191.0|0|0.0|100
0|2021-11-14|8055.0|0|8055.0|0|191.0|0|0.0|100
0|2021-11-15|8055.0|0|8055.0|0|191.0|0|0.0|100
0|2021-11-16|8082.0|0|8082.0|0|191.0|0|0.0|100
0|2021-11-17|8082.0|0|8082.0|0|192.0|0|0.0|100
0|2021-11-18|8082.0|0|8082.0|0|193.0|0|0.0|100
0|2021-11-19|8082.0|0|8082.0|0|194.0|0|0.0|100
0|2021-11-20|8100.0|0|8100.0|0|194.0|0|0.0|100
0|2021-11-21|8100.0|0|8100.0|0|194.0|0|0.0|100
