|dates|Harrison_Ohio_UnitedStates.JHU_ConfirmedCases.data|Harrison_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Harrison_Ohio_UnitedStates.NYT_ConfirmedCases.data|Harrison_Ohio_UnitedStates.NYT_ConfirmedCases.missing|Harrison_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Harrison_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Harrison_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Harrison_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1782.0|0|1782.0|0|48.0|0|0.0|100
0|2021-10-18|1782.0|0|1782.0|0|48.0|0|0.0|100
0|2021-10-19|1787.0|0|1787.0|0|48.0|0|0.0|100
0|2021-10-20|1794.0|0|1794.0|0|48.0|0|0.0|100
0|2021-10-21|1801.0|0|1801.0|0|48.0|0|0.0|100
0|2021-10-22|1814.0|0|1814.0|0|48.0|0|0.0|100
0|2021-10-23|1821.0|0|1821.0|0|48.0|0|0.0|100
0|2021-10-24|1825.0|0|1825.0|0|48.0|0|0.0|100
0|2021-10-25|1826.0|0|1826.0|0|48.0|0|0.0|100
0|2021-10-26|1832.0|0|1832.0|0|48.0|0|0.0|100
0|2021-10-27|1837.0|0|1837.0|0|48.0|0|0.0|100
0|2021-10-28|1843.0|0|1843.0|0|48.0|0|0.0|100
0|2021-10-29|1848.0|0|1848.0|0|48.0|0|0.0|100
0|2021-10-30|1853.0|0|1853.0|0|48.0|0|0.0|100
0|2021-10-31|1855.0|0|1855.0|0|48.0|0|0.0|100
0|2021-11-01|1861.0|0|1861.0|0|48.0|0|0.0|100
0|2021-11-02|1867.0|0|1867.0|0|48.0|0|0.0|100
0|2021-11-03|1873.0|0|1873.0|0|48.0|0|0.0|100
0|2021-11-04|1878.0|0|1878.0|0|48.0|0|0.0|100
0|2021-11-05|1885.0|0|1885.0|0|48.0|0|0.0|100
0|2021-11-06|1891.0|0|1891.0|0|48.0|0|0.0|100
0|2021-11-07|1894.0|0|1894.0|0|48.0|0|0.0|100
0|2021-11-08|1897.0|0|1897.0|0|48.0|0|0.0|100
0|2021-11-09|1907.0|0|1907.0|0|49.0|0|0.0|100
0|2021-11-10|1907.0|0|1919.0|0|49.0|0|0.0|100
0|2021-11-11|1927.0|0|1927.0|0|49.0|0|0.0|100
0|2021-11-12|1934.0|0|1934.0|0|49.0|0|0.0|100
0|2021-11-13|1938.0|0|1938.0|0|49.0|0|0.0|100
0|2021-11-14|1942.0|0|1942.0|0|49.0|0|0.0|100
0|2021-11-15|1942.0|0|1942.0|0|49.0|0|0.0|100
0|2021-11-16|1957.0|0|1957.0|0|49.0|0|0.0|100
0|2021-11-17|1964.0|0|1964.0|0|49.0|0|0.0|100
0|2021-11-18|1971.0|0|1971.0|0|49.0|0|0.0|100
0|2021-11-19|1980.0|0|1980.0|0|50.0|0|0.0|100
0|2021-11-20|1987.0|0|1987.0|0|50.0|0|0.0|100
0|2021-11-21|2000.0|0|2000.0|0|50.0|0|0.0|100
0|2021-11-22|2002.0|0|2002.0|0|50.0|0|0.0|100
0|2021-11-23|2010.0|0|2010.0|0|51.0|0|0.0|100
0|2021-11-24|2025.0|0|2025.0|0|51.0|0|0.0|100
0|2021-11-25|2025.0|0|2025.0|0|51.0|0|0.0|100
0|2021-11-26|2035.0|0|2035.0|0|52.0|0|0.0|100
0|2021-11-27|2040.0|0|2040.0|0|52.0|0|0.0|100
0|2021-11-28|2046.0|0|2046.0|0|52.0|0|0.0|100
0|2021-11-29|2051.0|0|2051.0|0|52.0|0|0.0|100
0|2021-11-30|2069.0|0|2069.0|0|53.0|0|0.0|100
0|2021-12-01|2090.0|0|2090.0|0|53.0|0|0.0|100
0|2021-12-02|2109.0|0|2109.0|0|53.0|0|0.0|100
0|2021-12-03|2109.0|0|2131.0|0|53.0|0|0.0|100
0|2021-12-04|2146.0|0|2146.0|0|53.0|0|0.0|100
