|dates|Decatur_Indiana_UnitedStates.JHU_ConfirmedCases.data|Decatur_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Decatur_Indiana_UnitedStates.NYT_ConfirmedCases.data|Decatur_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Decatur_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Decatur_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Decatur_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Decatur_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4118.0|0|4177.0|0|101.0|0|0.0|100
0|2021-10-18|4133.0|0|4192.0|0|101.0|0|0.0|100
0|2021-10-19|4139.0|0|4198.0|0|101.0|0|0.0|100
0|2021-10-20|4152.0|0|4211.0|0|102.0|0|0.0|100
0|2021-10-21|4164.0|0|4223.0|0|102.0|0|0.0|100
0|2021-10-22|4169.0|0|4228.0|0|102.0|0|0.0|100
0|2021-10-23|4169.0|0|4228.0|0|102.0|0|0.0|100
0|2021-10-24|4169.0|0|4228.0|0|102.0|0|0.0|100
0|2021-10-25|4177.0|0|4236.0|0|104.0|0|0.0|100
0|2021-10-26|4182.0|0|4242.0|0|105.0|0|0.0|100
0|2021-10-27|4184.0|0|4245.0|0|105.0|0|0.0|100
0|2021-10-28|4188.0|0|4249.0|0|105.0|0|0.0|100
0|2021-10-29|4198.0|0|4259.0|0|105.0|0|0.0|100
0|2021-10-30|4198.0|0|4259.0|0|105.0|0|0.0|100
0|2021-10-31|4198.0|0|4259.0|0|105.0|0|0.0|100
0|2021-11-01|4208.0|0|4269.0|0|105.0|0|0.0|100
0|2021-11-02|4211.0|0|4272.0|0|105.0|0|0.0|100
0|2021-11-03|4222.0|0|4282.0|0|105.0|0|0.0|100
0|2021-11-04|4231.0|0|4292.0|0|105.0|0|0.0|100
0|2021-11-05|4239.0|0|4300.0|0|105.0|0|0.0|100
0|2021-11-06|4239.0|0|4300.0|0|105.0|0|0.0|100
0|2021-11-07|4239.0|0|4300.0|0|105.0|0|0.0|100
0|2021-11-08|4254.0|0|4315.0|0|105.0|0|0.0|100
0|2021-11-09|4264.0|0|4325.0|0|105.0|0|0.0|100
0|2021-11-10|4264.0|0|4343.0|0|105.0|0|0.0|100
0|2021-11-11|4308.0|0|4370.0|0|105.0|0|0.0|100
0|2021-11-12|4320.0|0|4383.0|0|107.0|0|0.0|100
0|2021-11-13|4320.0|0|4383.0|0|107.0|0|0.0|100
0|2021-11-14|4320.0|0|4383.0|0|107.0|0|0.0|100
0|2021-11-15|4356.0|0|4419.0|0|107.0|0|0.0|100
0|2021-11-16|4365.0|0|4428.0|0|107.0|0|0.0|100
0|2021-11-17|4384.0|0|4447.0|0|107.0|0|0.0|100
0|2021-11-18|4395.0|0|4458.0|0|108.0|0|0.0|100
0|2021-11-19|4426.0|0|4489.0|0|108.0|0|0.0|100
0|2021-11-20|4426.0|0|4489.0|0|108.0|0|0.0|100
0|2021-11-21|4426.0|0|4489.0|0|108.0|0|0.0|100
0|2021-11-22|4455.0|0|4518.0|0|108.0|0|0.0|100
