|dates|Niobrara_Wyoming_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Niobrara_Wyoming_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Niobrara_Wyoming_UnitedStates.Male_Total_Population.data|Niobrara_Wyoming_UnitedStates.Male_Total_Population.missing|Niobrara_Wyoming_UnitedStates.Female_Total_Population.data|Niobrara_Wyoming_UnitedStates.Female_Total_Population.missing|Niobrara_Wyoming_UnitedStates.MaleAndFemale_Under18_Population.data|Niobrara_Wyoming_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2021-10-18|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2021-10-19|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2021-10-20|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2021-10-21|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2021-10-22|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2021-10-23|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2021-10-24|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2021-10-25|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2021-10-26|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2021-10-27|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2021-10-28|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2021-10-29|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2021-10-30|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2021-10-31|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2021-11-01|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2021-11-02|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2021-11-03|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2021-11-04|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2021-11-05|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2021-11-06|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2021-11-07|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2021-11-08|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2021-11-09|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2021-11-10|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2021-11-11|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2021-11-12|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2021-11-13|540.0|0|1091.0|0|1297.0|0|424.0|0
0|2021-11-14|540.0|0|1091.0|0|1297.0|0|424.0|0
