|dates|Jones_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Jones_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Jones_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Jones_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Jones_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Jones_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Jones_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Jones_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1297.0|0|1297.0|0|29.0|0|0.0|100
0|2021-10-18|1306.0|0|1306.0|0|29.0|0|0.0|100
0|2021-10-19|1310.0|0|1310.0|0|29.0|0|0.0|100
0|2021-10-20|1313.0|0|1313.0|0|29.0|0|0.0|100
0|2021-10-21|1314.0|0|1314.0|0|31.0|0|0.0|100
0|2021-10-22|1320.0|0|1320.0|0|31.0|0|0.0|100
0|2021-10-23|1320.0|0|1320.0|0|31.0|0|0.0|100
0|2021-10-24|1320.0|0|1320.0|0|31.0|0|0.0|100
0|2021-10-25|1336.0|0|1336.0|0|31.0|0|0.0|100
0|2021-10-26|1333.0|0|1333.0|0|31.0|0|0.0|100
0|2021-10-27|1334.0|0|1334.0|0|31.0|0|0.0|100
0|2021-10-28|1343.0|0|1343.0|0|34.0|0|0.0|100
0|2021-10-29|1351.0|0|1351.0|0|34.0|0|0.0|100
0|2021-10-30|1351.0|0|1351.0|0|34.0|0|0.0|100
0|2021-10-31|1351.0|0|1351.0|0|34.0|0|0.0|100
0|2021-11-01|1354.0|0|1354.0|0|34.0|0|0.0|100
0|2021-11-02|1354.0|0|1354.0|0|34.0|0|0.0|100
0|2021-11-03|1362.0|0|1362.0|0|34.0|0|0.0|100
0|2021-11-04|1366.0|0|1366.0|0|34.0|0|0.0|100
0|2021-11-05|1367.0|0|1367.0|0|34.0|0|0.0|100
0|2021-11-06|1367.0|0|1367.0|0|34.0|0|0.0|100
0|2021-11-07|1367.0|0|1367.0|0|34.0|0|0.0|100
0|2021-11-08|1369.0|0|1369.0|0|34.0|0|0.0|100
