|dates|Imperial_California_UnitedStates.JHU_ConfirmedCases.data|Imperial_California_UnitedStates.JHU_ConfirmedCases.missing|Imperial_California_UnitedStates.NYT_ConfirmedCases.data|Imperial_California_UnitedStates.NYT_ConfirmedCases.missing|Imperial_California_UnitedStates.JHU_ConfirmedDeaths.data|Imperial_California_UnitedStates.JHU_ConfirmedDeaths.missing|Imperial_California_UnitedStates.JHU_ConfirmedRecoveries.data|Imperial_California_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|35800.0|0|35642.0|0|764.0|0|0.0|100
0|2021-10-18|35843.0|0|35794.0|0|764.0|0|0.0|100
0|2021-10-19|35918.0|0|35832.0|0|764.0|0|0.0|100
0|2021-10-20|35993.0|0|35906.0|0|764.0|0|0.0|100
0|2021-10-21|36073.0|0|35999.0|0|766.0|0|0.0|100
0|2021-10-22|36080.0|0|36071.0|0|766.0|0|0.0|100
0|2021-10-23|36081.0|0|36071.0|0|766.0|0|0.0|100
0|2021-10-24|36084.0|0|36071.0|0|766.0|0|0.0|100
0|2021-10-25|36281.0|0|36071.0|0|766.0|0|0.0|100
0|2021-10-26|36338.0|0|36262.0|0|766.0|0|0.0|100
0|2021-10-27|36401.0|0|36306.0|0|766.0|0|0.0|100
0|2021-10-28|36493.0|0|36373.0|0|766.0|0|0.0|100
0|2021-10-29|36498.0|0|36461.0|0|766.0|0|0.0|100
0|2021-10-30|36498.0|0|36461.0|0|766.0|0|0.0|100
0|2021-10-31|36676.0|0|36461.0|0|766.0|0|0.0|100
0|2021-11-01|36690.0|0|36639.0|0|766.0|0|0.0|100
0|2021-11-02|36719.0|0|36647.0|0|766.0|0|0.0|100
0|2021-11-03|36750.0|0|36676.0|0|766.0|0|0.0|100
0|2021-11-04|36819.0|0|36752.0|0|766.0|0|0.0|100
0|2021-11-05|36821.0|0|36821.0|0|766.0|0|0.0|100
0|2021-11-06|36821.0|0|36821.0|0|766.0|0|0.0|100
0|2021-11-07|36821.0|0|36821.0|0|766.0|0|0.0|100
0|2021-11-08|37024.0|0|37024.0|0|766.0|0|0.0|100
0|2021-11-09|37040.0|0|37040.0|0|766.0|0|0.0|100
0|2021-11-10|37101.0|0|37101.0|0|766.0|0|0.0|100
0|2021-11-11|37252.0|0|37252.0|0|766.0|0|0.0|100
0|2021-11-12|37252.0|0|37252.0|0|766.0|0|0.0|100
0|2021-11-13|37398.0|0|37398.0|0|766.0|0|0.0|100
0|2021-11-14|37398.0|0|37398.0|0|766.0|0|0.0|100
0|2021-11-15|37486.0|0|37486.0|0|766.0|0|0.0|100
0|2021-11-16|37538.0|0|37538.0|0|766.0|0|0.0|100
0|2021-11-17|37585.0|0|37585.0|0|766.0|0|0.0|100
0|2021-11-18|37773.0|0|37773.0|0|766.0|0|0.0|100
