|dates|Pushmataha_Oklahoma_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Pushmataha_Oklahoma_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Pushmataha_Oklahoma_UnitedStates.Male_Total_Population.data|Pushmataha_Oklahoma_UnitedStates.Male_Total_Population.missing|Pushmataha_Oklahoma_UnitedStates.Female_Total_Population.data|Pushmataha_Oklahoma_UnitedStates.Female_Total_Population.missing|Pushmataha_Oklahoma_UnitedStates.MaleAndFemale_Under18_Population.data|Pushmataha_Oklahoma_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|2572.0|0|5489.0|0|5690.0|0|2477.0|0
0|2021-10-18|2572.0|0|5489.0|0|5690.0|0|2477.0|0
0|2021-10-19|2572.0|0|5489.0|0|5690.0|0|2477.0|0
0|2021-10-20|2572.0|0|5489.0|0|5690.0|0|2477.0|0
0|2021-10-21|2572.0|0|5489.0|0|5690.0|0|2477.0|0
0|2021-10-22|2572.0|0|5489.0|0|5690.0|0|2477.0|0
0|2021-10-23|2572.0|0|5489.0|0|5690.0|0|2477.0|0
0|2021-10-24|2572.0|0|5489.0|0|5690.0|0|2477.0|0
0|2021-10-25|2572.0|0|5489.0|0|5690.0|0|2477.0|0
0|2021-10-26|2572.0|0|5489.0|0|5690.0|0|2477.0|0
0|2021-10-27|2572.0|0|5489.0|0|5690.0|0|2477.0|0
0|2021-10-28|2572.0|0|5489.0|0|5690.0|0|2477.0|0
0|2021-10-29|2572.0|0|5489.0|0|5690.0|0|2477.0|0
0|2021-10-30|2572.0|0|5489.0|0|5690.0|0|2477.0|0
0|2021-10-31|2572.0|0|5489.0|0|5690.0|0|2477.0|0
0|2021-11-01|2572.0|0|5489.0|0|5690.0|0|2477.0|0
0|2021-11-02|2572.0|0|5489.0|0|5690.0|0|2477.0|0
0|2021-11-03|2572.0|0|5489.0|0|5690.0|0|2477.0|0
0|2021-11-04|2572.0|0|5489.0|0|5690.0|0|2477.0|0
0|2021-11-05|2572.0|0|5489.0|0|5690.0|0|2477.0|0
0|2021-11-06|2572.0|0|5489.0|0|5690.0|0|2477.0|0
0|2021-11-07|2572.0|0|5489.0|0|5690.0|0|2477.0|0
0|2021-11-08|2572.0|0|5489.0|0|5690.0|0|2477.0|0
0|2021-11-09|2572.0|0|5489.0|0|5690.0|0|2477.0|0
0|2021-11-10|2572.0|0|5489.0|0|5690.0|0|2477.0|0
0|2021-11-11|2572.0|0|5489.0|0|5690.0|0|2477.0|0
0|2021-11-12|2572.0|0|5489.0|0|5690.0|0|2477.0|0
0|2021-11-13|2572.0|0|5489.0|0|5690.0|0|2477.0|0
0|2021-11-14|2572.0|0|5489.0|0|5690.0|0|2477.0|0
0|2021-11-15|2572.0|0|5489.0|0|5690.0|0|2477.0|0
0|2021-11-16|2572.0|0|5489.0|0|5690.0|0|2477.0|0
0|2021-11-17|2572.0|0|5489.0|0|5690.0|0|2477.0|0
0|2021-11-18|2572.0|0|5489.0|0|5690.0|0|2477.0|0
0|2021-11-19|2572.0|0|5489.0|0|5690.0|0|2477.0|0
0|2021-11-20|2572.0|0|5489.0|0|5690.0|0|2477.0|0
