|dates|ElPaso_Colorado_UnitedStates.JHU_ConfirmedCases.data|ElPaso_Colorado_UnitedStates.JHU_ConfirmedCases.missing|ElPaso_Colorado_UnitedStates.NYT_ConfirmedCases.data|ElPaso_Colorado_UnitedStates.NYT_ConfirmedCases.missing|ElPaso_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|ElPaso_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|ElPaso_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|ElPaso_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|97085.0|0|97085.0|0|1062.0|0|0.0|100
0|2021-10-18|97962.0|0|97962.0|0|1068.0|0|0.0|100
0|2021-10-19|98319.0|0|98319.0|0|1075.0|0|0.0|100
0|2021-10-20|98645.0|0|98645.0|0|1080.0|0|0.0|100
0|2021-10-21|99178.0|0|99178.0|0|1085.0|0|0.0|100
0|2021-10-22|99562.0|0|99562.0|0|1092.0|0|0.0|100
0|2021-10-23|99562.0|0|99562.0|0|1092.0|0|0.0|100
0|2021-10-24|99562.0|0|99562.0|0|1092.0|0|0.0|100
0|2021-10-25|100438.0|0|100438.0|0|1096.0|0|0.0|100
0|2021-10-26|100825.0|0|100825.0|0|1095.0|0|0.0|100
0|2021-10-27|101403.0|0|101403.0|0|1097.0|0|0.0|100
0|2021-10-28|102007.0|0|102007.0|0|1100.0|0|0.0|100
0|2021-10-29|102508.0|0|102508.0|0|1101.0|0|0.0|100
0|2021-10-30|102508.0|0|102508.0|0|1101.0|0|0.0|100
0|2021-10-31|102508.0|0|102508.0|0|1101.0|0|0.0|100
0|2021-11-01|103484.0|0|103484.0|0|1124.0|0|0.0|100
0|2021-11-02|103867.0|0|103867.0|0|1134.0|0|0.0|100
0|2021-11-03|104284.0|0|104284.0|0|1138.0|0|0.0|100
0|2021-11-04|104902.0|0|104902.0|0|1150.0|0|0.0|100
0|2021-11-05|105341.0|0|105341.0|0|1154.0|0|0.0|100
0|2021-11-06|105341.0|0|105341.0|0|1154.0|0|0.0|100
0|2021-11-07|105341.0|0|105341.0|0|1154.0|0|0.0|100
0|2021-11-08|106489.0|0|106489.0|0|1167.0|0|0.0|100
0|2021-11-09|106790.0|0|106790.0|0|1166.0|0|0.0|100
0|2021-11-10|106790.0|0|107376.0|0|1166.0|0|0.0|100
0|2021-11-11|107863.0|0|107863.0|0|1177.0|0|0.0|100
0|2021-11-12|108268.0|0|108268.0|0|1180.0|0|0.0|100
0|2021-11-13|108268.0|0|108268.0|0|1180.0|0|0.0|100
0|2021-11-14|108268.0|0|108268.0|0|1180.0|0|0.0|100
0|2021-11-15|109261.0|0|109261.0|0|1192.0|0|0.0|100
0|2021-11-16|109702.0|0|109702.0|0|1200.0|0|0.0|100
0|2021-11-17|110230.0|0|110230.0|0|1205.0|0|0.0|100
0|2021-11-18|110712.0|0|110712.0|0|1207.0|0|0.0|100
0|2021-11-19|111222.0|0|111222.0|0|1216.0|0|0.0|100
0|2021-11-20|111222.0|0|111222.0|0|1216.0|0|0.0|100
0|2021-11-21|111222.0|0|111222.0|0|1216.0|0|0.0|100
0|2021-11-22|112103.0|0|112103.0|0|1226.0|0|0.0|100
0|2021-11-23|112452.0|0|112452.0|0|1235.0|0|0.0|100
0|2021-11-24|112824.0|0|112824.0|0|1237.0|0|0.0|100
0|2021-11-25|113223.0|0|113223.0|0|1239.0|0|0.0|100
0|2021-11-26|113381.0|0|113223.0|0|1242.0|0|0.0|100
0|2021-11-27|113381.0|0|113223.0|0|1242.0|0|0.0|100
0|2021-11-28|113381.0|0|113381.0|0|1242.0|0|0.0|100
0|2021-11-29|114089.0|0|114089.0|0|1244.0|0|0.0|100
0|2021-11-30|114089.0|0|114464.0|0|1244.0|0|0.0|100
0|2021-12-01|114989.0|0|114989.0|0|1262.0|0|0.0|100
0|2021-12-02|115397.0|0|115397.0|0|1267.0|0|0.0|100
0|2021-12-03|115802.0|0|115600.0|0|1267.0|0|0.0|100
0|2021-12-04|115802.0|0|115802.0|0|1267.0|0|0.0|100
0|2021-12-05|115802.0|0|115802.0|0|1267.0|0|0.0|100
0|2021-12-06|116459.0|0|116459.0|0|1275.0|0|0.0|100
0|2021-12-07|116876.0|0|116876.0|0|1288.0|0|0.0|100
0|2021-12-08|117219.0|0|117219.0|0|1290.0|0|0.0|100
0|2021-12-09|117551.0|0|117551.0|0|1298.0|0|0.0|100
0|2021-12-10|117803.0|0|117803.0|0|1310.0|0|0.0|100
0|2021-12-11|117803.0|0|117803.0|0|1310.0|0|0.0|100
0|2021-12-12|117803.0|0|117803.0|0|1310.0|0|0.0|100
0|2021-12-13|118247.0|0|118247.0|0|1317.0|0|0.0|100
0|2021-12-14|118247.0|0|118518.0|0|1317.0|0|0.0|100
0|2021-12-15|118806.0|0|118806.0|0|1342.0|0|0.0|100
0|2021-12-16|119116.0|0|119116.0|0|1347.0|0|0.0|100
0|2021-12-17|119329.0|0|119329.0|0|1351.0|0|0.0|100
0|2021-12-18|119329.0|0|119329.0|0|1351.0|0|0.0|100
0|2021-12-19|119329.0|0|119329.0|0|1351.0|0|0.0|100
0|2021-12-20|119772.0|0|119772.0|0|1355.0|0|0.0|100
0|2021-12-21|120057.0|0|120057.0|0|1363.0|0|0.0|100
0|2021-12-22|120465.0|0|120465.0|0|1369.0|0|0.0|100
0|2021-12-23|120891.0|0|120891.0|0|1375.0|0|0.0|100
0|2021-12-24|121281.0|0|121281.0|0|1379.0|0|0.0|100
0|2021-12-25|121281.0|0|121281.0|0|1379.0|0|0.0|100
0|2021-12-26|121281.0|0|121281.0|0|1379.0|0|0.0|100
0|2021-12-27|122201.0|0|122201.0|0|1379.0|0|0.0|100
0|2021-12-28|122792.0|0|122792.0|0|1387.0|0|0.0|100
0|2021-12-29|123610.0|0|123610.0|0|1393.0|0|0.0|100
0|2021-12-30|124649.0|0|124649.0|0|1399.0|0|0.0|100
0|2021-12-31|125644.0|0|125644.0|0|1404.0|0|0.0|100
