|dates|SanJoaquin_California_UnitedStates.BLS_EmployedPopulation.data|SanJoaquin_California_UnitedStates.BLS_EmployedPopulation.missing|SanJoaquin_California_UnitedStates.BLS_UnemployedPopulation.data|SanJoaquin_California_UnitedStates.BLS_UnemployedPopulation.missing|SanJoaquin_California_UnitedStates.BLS_UnemploymentRate.data|SanJoaquin_California_UnitedStates.BLS_UnemploymentRate.missing|SanJoaquin_California_UnitedStates.BLS_LaborForcePopulation.data|SanJoaquin_California_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|306398.0|0|27911.0|0|8.348862878355055|0|334309.0|0
0|2021-10-18|306398.0|0|27911.0|0|8.348862878355055|0|334309.0|0
0|2021-10-19|306398.0|0|27911.0|0|8.348862878355055|0|334309.0|0
0|2021-10-20|306398.0|0|27911.0|0|8.348862878355055|0|334309.0|0
0|2021-10-21|306398.0|0|27911.0|0|8.348862878355055|0|334309.0|0
0|2021-10-22|306398.0|0|27911.0|0|8.348862878355055|0|334309.0|0
0|2021-10-23|306398.0|0|27911.0|0|8.348862878355055|0|334309.0|0
0|2021-10-24|306398.0|0|27911.0|0|8.348862878355055|0|334309.0|0
0|2021-10-25|306398.0|0|27911.0|0|8.348862878355055|0|334309.0|0
0|2021-10-26|306398.0|0|27911.0|0|8.348862878355055|0|334309.0|0
0|2021-10-27|306398.0|0|27911.0|0|8.348862878355055|0|334309.0|0
0|2021-10-28|306398.0|0|27911.0|0|8.348862878355055|0|334309.0|0
0|2021-10-29|306398.0|0|27911.0|0|8.348862878355055|0|334309.0|0
0|2021-10-30|306398.0|0|27911.0|0|8.348862878355055|0|334309.0|0
0|2021-10-31|306398.0|0|27911.0|0|8.348862878355055|0|334309.0|0
0|2021-11-01|306398.0|0|27911.0|0|8.348862878355055|0|334309.0|0
0|2021-11-02|306398.0|0|27911.0|0|8.348862878355055|0|334309.0|0
0|2021-11-03|306398.0|0|27911.0|0|8.348862878355055|0|334309.0|0
