|dates|DeSoto_Florida_UnitedStates.JHU_ConfirmedCases.data|DeSoto_Florida_UnitedStates.JHU_ConfirmedCases.missing|DeSoto_Florida_UnitedStates.NYT_ConfirmedCases.data|DeSoto_Florida_UnitedStates.NYT_ConfirmedCases.missing|DeSoto_Florida_UnitedStates.JHU_ConfirmedDeaths.data|DeSoto_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|DeSoto_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|DeSoto_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|6868.0|0|6841.0|0|97.0|0|0.0|100
0|2021-10-18|6868.0|0|6841.0|0|97.0|0|0.0|100
0|2021-10-19|6868.0|0|6841.0|0|97.0|0|0.0|100
0|2021-10-20|6868.0|0|6841.0|0|97.0|0|0.0|100
0|2021-10-21|6868.0|0|6841.0|0|97.0|0|0.0|100
0|2021-10-22|6898.0|0|6871.0|0|97.0|0|0.0|100
0|2021-10-23|6898.0|0|6871.0|0|97.0|0|0.0|100
0|2021-10-24|6898.0|0|6871.0|0|97.0|0|0.0|100
0|2021-10-25|6898.0|0|6871.0|0|97.0|0|0.0|100
0|2021-10-26|6898.0|0|6871.0|0|97.0|0|0.0|100
0|2021-10-27|6898.0|0|6871.0|0|97.0|0|0.0|100
0|2021-10-28|6898.0|0|6871.0|0|97.0|0|0.0|100
0|2021-10-29|6921.0|0|6894.0|0|97.0|0|0.0|100
0|2021-10-30|6921.0|0|6894.0|0|97.0|0|0.0|100
0|2021-10-31|6921.0|0|6894.0|0|97.0|0|0.0|100
0|2021-11-01|6921.0|0|6894.0|0|97.0|0|0.0|100
0|2021-11-02|6921.0|0|6894.0|0|97.0|0|0.0|100
0|2021-11-03|6921.0|0|6894.0|0|97.0|0|0.0|100
0|2021-11-04|6921.0|0|6894.0|0|97.0|0|0.0|100
0|2021-11-05|6941.0|0|6914.0|0|97.0|0|0.0|100
0|2021-11-06|6941.0|0|6914.0|0|97.0|0|0.0|100
0|2021-11-07|6941.0|0|6914.0|0|97.0|0|0.0|100
0|2021-11-08|6941.0|0|6914.0|0|97.0|0|0.0|100
0|2021-11-09|6941.0|0|6914.0|0|97.0|0|0.0|100
0|2021-11-10|6941.0|0|6914.0|0|97.0|0|0.0|100
0|2021-11-11|6941.0|0|6914.0|0|97.0|0|0.0|100
0|2021-11-12|6960.0|0|6933.0|0|97.0|0|0.0|100
0|2021-11-13|6960.0|0|6933.0|0|97.0|0|0.0|100
0|2021-11-14|6960.0|0|6933.0|0|97.0|0|0.0|100
0|2021-11-15|6960.0|0|6933.0|0|97.0|0|0.0|100
0|2021-11-16|6960.0|0|6933.0|0|97.0|0|0.0|100
0|2021-11-17|6960.0|0|6933.0|0|97.0|0|0.0|100
0|2021-11-18|6960.0|0|6933.0|0|97.0|0|0.0|100
0|2021-11-19|6974.0|0|6947.0|0|97.0|0|0.0|100
0|2021-11-20|6974.0|0|6947.0|0|97.0|0|0.0|100
0|2021-11-21|6974.0|0|6947.0|0|97.0|0|0.0|100
