|dates|Franklin_Washington_UnitedStates.JHU_ConfirmedCases.data|Franklin_Washington_UnitedStates.JHU_ConfirmedCases.missing|Franklin_Washington_UnitedStates.NYT_ConfirmedCases.data|Franklin_Washington_UnitedStates.NYT_ConfirmedCases.missing|Franklin_Washington_UnitedStates.JHU_ConfirmedDeaths.data|Franklin_Washington_UnitedStates.JHU_ConfirmedDeaths.missing|Franklin_Washington_UnitedStates.JHU_ConfirmedRecoveries.data|Franklin_Washington_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|19811.0|0|19811.0|0|178.0|0|0.0|100
0|2021-10-18|19811.0|0|19811.0|0|178.0|0|0.0|100
0|2021-10-19|19942.0|0|19942.0|0|180.0|0|0.0|100
0|2021-10-20|19986.0|0|19986.0|0|180.0|0|0.0|100
0|2021-10-21|20010.0|0|20010.0|0|180.0|0|0.0|100
0|2021-10-22|20037.0|0|20037.0|0|177.0|0|0.0|100
0|2021-10-23|20037.0|0|20037.0|0|177.0|0|0.0|100
0|2021-10-24|20037.0|0|20037.0|0|177.0|0|0.0|100
0|2021-10-25|20100.0|0|20100.0|0|177.0|0|0.0|100
0|2021-10-26|20120.0|0|20120.0|0|177.0|0|0.0|100
0|2021-10-27|20134.0|0|20134.0|0|177.0|0|0.0|100
0|2021-10-28|20171.0|0|20171.0|0|177.0|0|0.0|100
0|2021-10-29|20182.0|0|20182.0|0|178.0|0|0.0|100
0|2021-10-30|20182.0|0|20182.0|0|178.0|0|0.0|100
0|2021-10-31|20182.0|0|20182.0|0|178.0|0|0.0|100
0|2021-11-01|20246.0|0|20246.0|0|178.0|0|0.0|100
0|2021-11-02|20257.0|0|20257.0|0|178.0|0|0.0|100
0|2021-11-03|20284.0|0|20284.0|0|179.0|0|0.0|100
0|2021-11-04|20311.0|0|20311.0|0|179.0|0|0.0|100
0|2021-11-05|20329.0|0|20329.0|0|179.0|0|0.0|100
0|2021-11-06|20329.0|0|20329.0|0|179.0|0|0.0|100
0|2021-11-07|20329.0|0|20329.0|0|179.0|0|0.0|100
0|2021-11-08|20395.0|0|20395.0|0|180.0|0|0.0|100
