|dates|Richland_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Richland_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Richland_SouthCarolina_UnitedStates.NYT_ConfirmedCases.data|Richland_SouthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Richland_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Richland_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Richland_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Richland_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|68074.0|0|68074.0|0|749.0|0|0.0|100
0|2021-10-18|68317.0|0|68317.0|0|752.0|0|0.0|100
0|2021-10-19|68372.0|0|68372.0|0|752.0|0|0.0|100
0|2021-10-20|68431.0|0|68431.0|0|753.0|0|0.0|100
0|2021-10-21|68487.0|0|68487.0|0|753.0|0|0.0|100
0|2021-10-22|68566.0|0|68566.0|0|753.0|0|0.0|100
0|2021-10-23|68566.0|0|68566.0|0|753.0|0|0.0|100
0|2021-10-24|68566.0|0|68566.0|0|753.0|0|0.0|100
0|2021-10-25|68731.0|0|68731.0|0|756.0|0|0.0|100
0|2021-10-26|68768.0|0|68768.0|0|756.0|0|0.0|100
0|2021-10-27|68801.0|0|68801.0|0|759.0|0|0.0|100
0|2021-10-28|68863.0|0|68863.0|0|760.0|0|0.0|100
0|2021-10-29|68971.0|0|68971.0|0|761.0|0|0.0|100
0|2021-10-30|68971.0|0|68971.0|0|761.0|0|0.0|100
0|2021-10-31|68971.0|0|68971.0|0|761.0|0|0.0|100
0|2021-11-01|69101.0|0|69101.0|0|764.0|0|0.0|100
0|2021-11-02|69134.0|0|69134.0|0|765.0|0|0.0|100
0|2021-11-03|69170.0|0|69170.0|0|767.0|0|0.0|100
0|2021-11-04|69247.0|0|69247.0|0|767.0|0|0.0|100
0|2021-11-05|69303.0|0|69303.0|0|768.0|0|0.0|100
0|2021-11-06|69303.0|0|69303.0|0|768.0|0|0.0|100
0|2021-11-07|69303.0|0|69303.0|0|768.0|0|0.0|100
0|2021-11-08|69407.0|0|69407.0|0|769.0|0|0.0|100
0|2021-11-09|69426.0|0|69426.0|0|769.0|0|0.0|100
0|2021-11-10|69450.0|0|69450.0|0|771.0|0|0.0|100
0|2021-11-11|69450.0|0|69450.0|0|771.0|0|0.0|100
0|2021-11-12|69563.0|0|69563.0|0|774.0|0|0.0|100
0|2021-11-13|69563.0|0|69563.0|0|774.0|0|0.0|100
0|2021-11-14|69563.0|0|69563.0|0|774.0|0|0.0|100
0|2021-11-15|69692.0|0|69692.0|0|776.0|0|0.0|100
0|2021-11-16|69719.0|0|69719.0|0|777.0|0|0.0|100
0|2021-11-17|69725.0|0|69725.0|0|776.0|0|0.0|100
0|2021-11-18|69802.0|0|69802.0|0|776.0|0|0.0|100
0|2021-11-19|69864.0|0|69864.0|0|776.0|0|0.0|100
0|2021-11-20|69864.0|0|69864.0|0|776.0|0|0.0|100
0|2021-11-21|69864.0|0|69864.0|0|776.0|0|0.0|100
0|2021-11-22|70016.0|0|70016.0|0|778.0|0|0.0|100
0|2021-11-23|70038.0|0|70038.0|0|778.0|0|0.0|100
0|2021-11-24|70053.0|0|70053.0|0|780.0|0|0.0|100
0|2021-11-25|70053.0|0|70053.0|0|780.0|0|0.0|100
0|2021-11-26|70094.0|0|70094.0|0|781.0|0|0.0|100
0|2021-11-27|70094.0|0|70094.0|0|781.0|0|0.0|100
0|2021-11-28|70094.0|0|70094.0|0|781.0|0|0.0|100
0|2021-11-29|70200.0|0|70200.0|0|782.0|0|0.0|100
0|2021-11-30|70222.0|0|70222.0|0|783.0|0|0.0|100
