|dates|Nuckolls_Nebraska_UnitedStates.JHU_ConfirmedCases.data|Nuckolls_Nebraska_UnitedStates.JHU_ConfirmedCases.missing|Nuckolls_Nebraska_UnitedStates.NYT_ConfirmedCases.data|Nuckolls_Nebraska_UnitedStates.NYT_ConfirmedCases.missing|Nuckolls_Nebraska_UnitedStates.JHU_ConfirmedDeaths.data|Nuckolls_Nebraska_UnitedStates.JHU_ConfirmedDeaths.missing|Nuckolls_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.data|Nuckolls_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|536.0|0|536.0|0|11.0|0|0.0|100
0|2021-10-18|546.0|0|546.0|0|11.0|0|0.0|100
0|2021-10-19|546.0|0|546.0|0|11.0|0|0.0|100
0|2021-10-20|553.0|0|553.0|0|11.0|0|0.0|100
0|2021-10-21|557.0|0|557.0|0|11.0|0|0.0|100
0|2021-10-22|557.0|0|557.0|0|11.0|0|0.0|100
0|2021-10-23|557.0|0|557.0|0|11.0|0|0.0|100
0|2021-10-24|557.0|0|557.0|0|11.0|0|0.0|100
0|2021-10-25|557.0|0|557.0|0|11.0|0|0.0|100
0|2021-10-26|557.0|0|557.0|0|11.0|0|0.0|100
0|2021-10-27|580.0|0|580.0|0|11.0|0|0.0|100
0|2021-10-28|580.0|0|580.0|0|11.0|0|0.0|100
0|2021-10-29|580.0|0|582.0|0|11.0|0|0.0|100
0|2021-10-30|580.0|0|582.0|0|11.0|0|0.0|100
0|2021-10-31|580.0|0|589.0|0|11.0|0|0.0|100
0|2021-11-01|580.0|0|595.0|0|11.0|0|0.0|100
0|2021-11-02|580.0|0|595.0|0|11.0|0|0.0|100
0|2021-11-03|609.0|0|609.0|0|11.0|0|0.0|100
0|2021-11-04|609.0|0|609.0|0|11.0|0|0.0|100
0|2021-11-05|609.0|0|609.0|0|11.0|0|0.0|100
0|2021-11-06|609.0|0|609.0|0|11.0|0|0.0|100
0|2021-11-07|609.0|0|609.0|0|11.0|0|0.0|100
0|2021-11-08|634.0|0|634.0|0|11.0|0|0.0|100
0|2021-11-09|637.0|0|637.0|0|11.0|0|0.0|100
0|2021-11-10|646.0|0|646.0|0|11.0|0|0.0|100
