|dates|Lonoke_Arkansas_UnitedStates.JHU_ConfirmedCases.data|Lonoke_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|Lonoke_Arkansas_UnitedStates.NYT_ConfirmedCases.data|Lonoke_Arkansas_UnitedStates.NYT_ConfirmedCases.missing|Lonoke_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|Lonoke_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|Lonoke_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|Lonoke_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|11830.0|0|11830.0|0|174.0|0|0.0|100
0|2021-10-18|11834.0|0|11834.0|0|174.0|0|0.0|100
0|2021-10-19|11851.0|0|11851.0|0|175.0|0|0.0|100
0|2021-10-20|11862.0|0|11862.0|0|174.0|0|0.0|100
0|2021-10-21|11879.0|0|11879.0|0|174.0|0|0.0|100
0|2021-10-22|11899.0|0|11899.0|0|175.0|0|0.0|100
0|2021-10-23|11915.0|0|11915.0|0|175.0|0|0.0|100
0|2021-10-24|11921.0|0|11921.0|0|175.0|0|0.0|100
0|2021-10-25|11924.0|0|11924.0|0|175.0|0|0.0|100
0|2021-10-26|11932.0|0|11932.0|0|175.0|0|0.0|100
0|2021-10-27|11948.0|0|11948.0|0|175.0|0|0.0|100
0|2021-10-28|11966.0|0|11966.0|0|175.0|0|0.0|100
0|2021-10-29|11983.0|0|11983.0|0|176.0|0|0.0|100
0|2021-10-30|11992.0|0|11992.0|0|176.0|0|0.0|100
0|2021-10-31|11992.0|0|11992.0|0|176.0|0|0.0|100
0|2021-11-01|11995.0|0|11995.0|0|176.0|0|0.0|100
0|2021-11-02|12006.0|0|12006.0|0|176.0|0|0.0|100
0|2021-11-03|12023.0|0|12023.0|0|176.0|0|0.0|100
0|2021-11-04|12032.0|0|12032.0|0|176.0|0|0.0|100
0|2021-11-05|12046.0|0|12046.0|0|176.0|0|0.0|100
0|2021-11-06|12048.0|0|12048.0|0|176.0|0|0.0|100
0|2021-11-07|12053.0|0|12053.0|0|176.0|0|0.0|100
0|2021-11-08|12053.0|0|12057.0|0|176.0|0|0.0|100
0|2021-11-09|12064.0|0|12064.0|0|176.0|0|0.0|100
0|2021-11-10|12064.0|0|12088.0|0|176.0|0|0.0|100
0|2021-11-11|12105.0|0|12105.0|0|175.0|0|0.0|100
0|2021-11-12|12123.0|0|12123.0|0|175.0|0|0.0|100
0|2021-11-13|12133.0|0|12133.0|0|175.0|0|0.0|100
0|2021-11-14|12139.0|0|12139.0|0|175.0|0|0.0|100
0|2021-11-15|12141.0|0|12141.0|0|175.0|0|0.0|100
0|2021-11-16|12163.0|0|12163.0|0|175.0|0|0.0|100
0|2021-11-17|12184.0|0|12184.0|0|175.0|0|0.0|100
0|2021-11-18|12212.0|0|12212.0|0|175.0|0|0.0|100
0|2021-11-19|12225.0|0|12225.0|0|176.0|0|0.0|100
0|2021-11-20|12252.0|0|12252.0|0|176.0|0|0.0|100
0|2021-11-21|12259.0|0|12259.0|0|176.0|0|0.0|100
0|2021-11-22|12267.0|0|12267.0|0|176.0|0|0.0|100
0|2021-11-23|12282.0|0|12282.0|0|176.0|0|0.0|100
0|2021-11-24|12295.0|0|12295.0|0|176.0|0|0.0|100
0|2021-11-25|12308.0|0|12308.0|0|176.0|0|0.0|100
0|2021-11-26|12314.0|0|12314.0|0|176.0|0|0.0|100
0|2021-11-27|12334.0|0|12334.0|0|176.0|0|0.0|100
0|2021-11-28|12347.0|0|12347.0|0|176.0|0|0.0|100
0|2021-11-29|12347.0|0|12347.0|0|176.0|0|0.0|100
0|2021-11-30|12347.0|0|12371.0|0|176.0|0|0.0|100
0|2021-12-01|12393.0|0|12393.0|0|176.0|0|0.0|100
0|2021-12-02|12428.0|0|12428.0|0|176.0|0|0.0|100
0|2021-12-03|12474.0|0|12474.0|0|176.0|0|0.0|100
0|2021-12-04|12505.0|0|12505.0|0|176.0|0|0.0|100
0|2021-12-05|12515.0|0|12515.0|0|176.0|0|0.0|100
0|2021-12-06|12519.0|0|12519.0|0|176.0|0|0.0|100
0|2021-12-07|12552.0|0|12552.0|0|176.0|0|0.0|100
0|2021-12-08|12570.0|0|12570.0|0|176.0|0|0.0|100
0|2021-12-09|12592.0|0|12592.0|0|176.0|0|0.0|100
0|2021-12-10|12631.0|0|12631.0|0|177.0|0|0.0|100
0|2021-12-11|12653.0|0|12653.0|0|177.0|0|0.0|100
0|2021-12-12|12663.0|0|12663.0|0|177.0|0|0.0|100
0|2021-12-13|12669.0|0|12669.0|0|177.0|0|0.0|100
0|2021-12-14|12669.0|0|12680.0|0|177.0|0|0.0|100
