|dates|Martin_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Martin_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Martin_Texas_UnitedStates.Male_Total_Population.data|Martin_Texas_UnitedStates.Male_Total_Population.missing|Martin_Texas_UnitedStates.Female_Total_Population.data|Martin_Texas_UnitedStates.Female_Total_Population.missing|Martin_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Martin_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-10-18|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-10-19|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-10-20|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-10-21|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-10-22|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-10-23|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-10-24|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-10-25|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-10-26|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-10-27|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-10-28|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-10-29|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-10-30|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-10-31|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-11-01|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-11-02|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-11-03|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-11-04|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-11-05|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-11-06|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-11-07|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-11-08|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-11-09|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-11-10|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-11-11|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-11-12|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-11-13|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-11-14|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-11-15|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-11-16|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-11-17|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-11-18|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-11-19|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-11-20|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-11-21|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-11-22|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-11-23|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-11-24|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-11-25|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-11-26|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-11-27|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-11-28|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-11-29|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-11-30|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-12-01|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-12-02|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-12-03|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-12-04|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-12-05|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-12-06|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-12-07|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-12-08|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-12-09|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-12-10|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-12-11|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-12-12|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-12-13|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-12-14|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-12-15|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-12-16|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-12-17|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-12-18|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-12-19|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-12-20|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-12-21|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-12-22|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-12-23|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-12-24|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-12-25|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-12-26|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-12-27|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-12-28|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-12-29|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-12-30|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2021-12-31|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2022-01-01|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2022-01-02|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2022-01-03|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2022-01-04|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2022-01-05|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2022-01-06|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2022-01-07|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2022-01-08|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2022-01-09|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2022-01-10|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2022-01-11|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2022-01-12|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2022-01-13|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2022-01-14|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2022-01-15|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2022-01-16|648.0|0|2911.0|0|2842.0|0|1789.0|0
0|2022-01-17|648.0|0|2911.0|0|2842.0|0|1789.0|0
