|dates|Antelope_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Antelope_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Antelope_Nebraska_UnitedStates.Male_Total_Population.data|Antelope_Nebraska_UnitedStates.Male_Total_Population.missing|Antelope_Nebraska_UnitedStates.Female_Total_Population.data|Antelope_Nebraska_UnitedStates.Female_Total_Population.missing|Antelope_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|Antelope_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|1493.0|0|3184.0|0|3152.0|0|1511.0|0
0|2021-10-18|1493.0|0|3184.0|0|3152.0|0|1511.0|0
0|2021-10-19|1493.0|0|3184.0|0|3152.0|0|1511.0|0
0|2021-10-20|1493.0|0|3184.0|0|3152.0|0|1511.0|0
0|2021-10-21|1493.0|0|3184.0|0|3152.0|0|1511.0|0
0|2021-10-22|1493.0|0|3184.0|0|3152.0|0|1511.0|0
0|2021-10-23|1493.0|0|3184.0|0|3152.0|0|1511.0|0
0|2021-10-24|1493.0|0|3184.0|0|3152.0|0|1511.0|0
0|2021-10-25|1493.0|0|3184.0|0|3152.0|0|1511.0|0
0|2021-10-26|1493.0|0|3184.0|0|3152.0|0|1511.0|0
0|2021-10-27|1493.0|0|3184.0|0|3152.0|0|1511.0|0
0|2021-10-28|1493.0|0|3184.0|0|3152.0|0|1511.0|0
0|2021-10-29|1493.0|0|3184.0|0|3152.0|0|1511.0|0
0|2021-10-30|1493.0|0|3184.0|0|3152.0|0|1511.0|0
0|2021-10-31|1493.0|0|3184.0|0|3152.0|0|1511.0|0
0|2021-11-01|1493.0|0|3184.0|0|3152.0|0|1511.0|0
0|2021-11-02|1493.0|0|3184.0|0|3152.0|0|1511.0|0
0|2021-11-03|1493.0|0|3184.0|0|3152.0|0|1511.0|0
0|2021-11-04|1493.0|0|3184.0|0|3152.0|0|1511.0|0
0|2021-11-05|1493.0|0|3184.0|0|3152.0|0|1511.0|0
0|2021-11-06|1493.0|0|3184.0|0|3152.0|0|1511.0|0
0|2021-11-07|1493.0|0|3184.0|0|3152.0|0|1511.0|0
0|2021-11-08|1493.0|0|3184.0|0|3152.0|0|1511.0|0
0|2021-11-09|1493.0|0|3184.0|0|3152.0|0|1511.0|0
0|2021-11-10|1493.0|0|3184.0|0|3152.0|0|1511.0|0
0|2021-11-11|1493.0|0|3184.0|0|3152.0|0|1511.0|0
0|2021-11-12|1493.0|0|3184.0|0|3152.0|0|1511.0|0
0|2021-11-13|1493.0|0|3184.0|0|3152.0|0|1511.0|0
0|2021-11-14|1493.0|0|3184.0|0|3152.0|0|1511.0|0
0|2021-11-15|1493.0|0|3184.0|0|3152.0|0|1511.0|0
0|2021-11-16|1493.0|0|3184.0|0|3152.0|0|1511.0|0
0|2021-11-17|1493.0|0|3184.0|0|3152.0|0|1511.0|0
0|2021-11-18|1493.0|0|3184.0|0|3152.0|0|1511.0|0
0|2021-11-19|1493.0|0|3184.0|0|3152.0|0|1511.0|0
0|2021-11-20|1493.0|0|3184.0|0|3152.0|0|1511.0|0
0|2021-11-21|1493.0|0|3184.0|0|3152.0|0|1511.0|0
0|2021-11-22|1493.0|0|3184.0|0|3152.0|0|1511.0|0
0|2021-11-23|1493.0|0|3184.0|0|3152.0|0|1511.0|0
0|2021-11-24|1493.0|0|3184.0|0|3152.0|0|1511.0|0
0|2021-11-25|1493.0|0|3184.0|0|3152.0|0|1511.0|0
0|2021-11-26|1493.0|0|3184.0|0|3152.0|0|1511.0|0
0|2021-11-27|1493.0|0|3184.0|0|3152.0|0|1511.0|0
0|2021-11-28|1493.0|0|3184.0|0|3152.0|0|1511.0|0
0|2021-11-29|1493.0|0|3184.0|0|3152.0|0|1511.0|0
