|dates|Henrico_Virginia_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Henrico_Virginia_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Henrico_Virginia_UnitedStates.Male_Total_Population.data|Henrico_Virginia_UnitedStates.Male_Total_Population.missing|Henrico_Virginia_UnitedStates.Female_Total_Population.data|Henrico_Virginia_UnitedStates.Female_Total_Population.missing|Henrico_Virginia_UnitedStates.MaleAndFemale_Under18_Population.data|Henrico_Virginia_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-10-18|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-10-19|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-10-20|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-10-21|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-10-22|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-10-23|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-10-24|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-10-25|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-10-26|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-10-27|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-10-28|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-10-29|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-10-30|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-10-31|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-11-01|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-11-02|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-11-03|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-11-04|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-11-05|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-11-06|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-11-07|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-11-08|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-11-09|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-11-10|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-11-11|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-11-12|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-11-13|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-11-14|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-11-15|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-11-16|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-11-17|51045.0|0|156230.0|0|173031.0|0|74272.0|0
0|2021-11-18|51045.0|0|156230.0|0|173031.0|0|74272.0|0
