|dates|Newport_RhodeIsland_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Newport_RhodeIsland_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Newport_RhodeIsland_UnitedStates.Male_Total_Population.data|Newport_RhodeIsland_UnitedStates.Male_Total_Population.missing|Newport_RhodeIsland_UnitedStates.Female_Total_Population.data|Newport_RhodeIsland_UnitedStates.Female_Total_Population.missing|Newport_RhodeIsland_UnitedStates.MaleAndFemale_Under18_Population.data|Newport_RhodeIsland_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-10-18|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-10-19|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-10-20|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-10-21|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-10-22|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-10-23|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-10-24|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-10-25|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-10-26|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-10-27|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-10-28|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-10-29|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-10-30|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-10-31|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-11-01|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-11-02|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-11-03|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-11-04|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-11-05|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-11-06|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-11-07|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-11-08|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-11-09|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-11-10|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-11-11|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-11-12|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-11-13|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-11-14|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-11-15|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-11-16|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-11-17|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-11-18|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-11-19|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-11-20|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-11-21|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-11-22|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-11-23|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-11-24|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-11-25|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-11-26|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-11-27|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-11-28|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-11-29|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-11-30|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-12-01|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-12-02|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-12-03|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-12-04|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-12-05|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-12-06|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-12-07|18315.0|0|40769.0|0|41773.0|0|13954.0|0
0|2021-12-08|18315.0|0|40769.0|0|41773.0|0|13954.0|0
