|dates|Atoka_Oklahoma_UnitedStates.JHU_ConfirmedCases.data|Atoka_Oklahoma_UnitedStates.JHU_ConfirmedCases.missing|Atoka_Oklahoma_UnitedStates.NYT_ConfirmedCases.data|Atoka_Oklahoma_UnitedStates.NYT_ConfirmedCases.missing|Atoka_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.data|Atoka_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.missing|Atoka_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.data|Atoka_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2698.0|0|2698.0|0|30.0|0|0.0|100
0|2021-10-18|2698.0|0|2698.0|0|30.0|0|0.0|100
0|2021-10-19|2698.0|0|2698.0|0|30.0|0|0.0|100
0|2021-10-20|2724.0|0|2724.0|0|32.0|0|0.0|100
0|2021-10-21|2724.0|0|2724.0|0|32.0|0|0.0|100
0|2021-10-22|2724.0|0|2724.0|0|32.0|0|0.0|100
0|2021-10-23|2724.0|0|2724.0|0|32.0|0|0.0|100
0|2021-10-24|2724.0|0|2724.0|0|32.0|0|0.0|100
0|2021-10-25|2724.0|0|2724.0|0|32.0|0|0.0|100
0|2021-10-26|2724.0|0|2724.0|0|32.0|0|0.0|100
0|2021-10-27|2748.0|0|2748.0|0|34.0|0|0.0|100
0|2021-10-28|2748.0|0|2748.0|0|34.0|0|0.0|100
0|2021-10-29|2748.0|0|2748.0|0|34.0|0|0.0|100
0|2021-10-30|2748.0|0|2748.0|0|34.0|0|0.0|100
0|2021-10-31|2748.0|0|2748.0|0|34.0|0|0.0|100
0|2021-11-01|2748.0|0|2748.0|0|34.0|0|0.0|100
0|2021-11-02|2748.0|0|2748.0|0|34.0|0|0.0|100
0|2021-11-03|2790.0|0|2790.0|0|35.0|0|0.0|100
0|2021-11-04|2790.0|0|2790.0|0|35.0|0|0.0|100
0|2021-11-05|2790.0|0|2790.0|0|35.0|0|0.0|100
0|2021-11-06|2790.0|0|2790.0|0|35.0|0|0.0|100
0|2021-11-07|2790.0|0|2790.0|0|35.0|0|0.0|100
0|2021-11-08|2790.0|0|2790.0|0|35.0|0|0.0|100
0|2021-11-09|2790.0|0|2790.0|0|35.0|0|0.0|100
