|dates|Williamson_Tennessee_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Williamson_Tennessee_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Williamson_Tennessee_UnitedStates.Male_Total_Population.data|Williamson_Tennessee_UnitedStates.Male_Total_Population.missing|Williamson_Tennessee_UnitedStates.Female_Total_Population.data|Williamson_Tennessee_UnitedStates.Female_Total_Population.missing|Williamson_Tennessee_UnitedStates.MaleAndFemale_Under18_Population.data|Williamson_Tennessee_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|30480.0|0|113699.0|0|118030.0|0|63088.0|0
0|2021-10-18|30480.0|0|113699.0|0|118030.0|0|63088.0|0
0|2021-10-19|30480.0|0|113699.0|0|118030.0|0|63088.0|0
0|2021-10-20|30480.0|0|113699.0|0|118030.0|0|63088.0|0
0|2021-10-21|30480.0|0|113699.0|0|118030.0|0|63088.0|0
0|2021-10-22|30480.0|0|113699.0|0|118030.0|0|63088.0|0
0|2021-10-23|30480.0|0|113699.0|0|118030.0|0|63088.0|0
0|2021-10-24|30480.0|0|113699.0|0|118030.0|0|63088.0|0
0|2021-10-25|30480.0|0|113699.0|0|118030.0|0|63088.0|0
0|2021-10-26|30480.0|0|113699.0|0|118030.0|0|63088.0|0
0|2021-10-27|30480.0|0|113699.0|0|118030.0|0|63088.0|0
0|2021-10-28|30480.0|0|113699.0|0|118030.0|0|63088.0|0
0|2021-10-29|30480.0|0|113699.0|0|118030.0|0|63088.0|0
0|2021-10-30|30480.0|0|113699.0|0|118030.0|0|63088.0|0
0|2021-10-31|30480.0|0|113699.0|0|118030.0|0|63088.0|0
0|2021-11-01|30480.0|0|113699.0|0|118030.0|0|63088.0|0
0|2021-11-02|30480.0|0|113699.0|0|118030.0|0|63088.0|0
0|2021-11-03|30480.0|0|113699.0|0|118030.0|0|63088.0|0
0|2021-11-04|30480.0|0|113699.0|0|118030.0|0|63088.0|0
0|2021-11-05|30480.0|0|113699.0|0|118030.0|0|63088.0|0
0|2021-11-06|30480.0|0|113699.0|0|118030.0|0|63088.0|0
0|2021-11-07|30480.0|0|113699.0|0|118030.0|0|63088.0|0
0|2021-11-08|30480.0|0|113699.0|0|118030.0|0|63088.0|0
0|2021-11-09|30480.0|0|113699.0|0|118030.0|0|63088.0|0
0|2021-11-10|30480.0|0|113699.0|0|118030.0|0|63088.0|0
0|2021-11-11|30480.0|0|113699.0|0|118030.0|0|63088.0|0
0|2021-11-12|30480.0|0|113699.0|0|118030.0|0|63088.0|0
