|dates|Suwannee_Florida_UnitedStates.JHU_ConfirmedCases.data|Suwannee_Florida_UnitedStates.JHU_ConfirmedCases.missing|Suwannee_Florida_UnitedStates.NYT_ConfirmedCases.data|Suwannee_Florida_UnitedStates.NYT_ConfirmedCases.missing|Suwannee_Florida_UnitedStates.JHU_ConfirmedDeaths.data|Suwannee_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|Suwannee_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|Suwannee_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|9181.0|0|9152.0|0|140.0|0|0.0|100
0|2021-10-18|9181.0|0|9152.0|0|140.0|0|0.0|100
0|2021-10-19|9181.0|0|9152.0|0|140.0|0|0.0|100
0|2021-10-20|9181.0|0|9152.0|0|140.0|0|0.0|100
0|2021-10-21|9181.0|0|9152.0|0|140.0|0|0.0|100
0|2021-10-22|9204.0|0|9175.0|0|140.0|0|0.0|100
0|2021-10-23|9204.0|0|9175.0|0|140.0|0|0.0|100
0|2021-10-24|9204.0|0|9175.0|0|140.0|0|0.0|100
0|2021-10-25|9204.0|0|9175.0|0|140.0|0|0.0|100
0|2021-10-26|9204.0|0|9175.0|0|140.0|0|0.0|100
0|2021-10-27|9204.0|0|9175.0|0|140.0|0|0.0|100
0|2021-10-28|9204.0|0|9175.0|0|140.0|0|0.0|100
0|2021-10-29|9231.0|0|9202.0|0|140.0|0|0.0|100
0|2021-10-30|9231.0|0|9202.0|0|140.0|0|0.0|100
0|2021-10-31|9231.0|0|9202.0|0|140.0|0|0.0|100
0|2021-11-01|9231.0|0|9202.0|0|140.0|0|0.0|100
0|2021-11-02|9231.0|0|9202.0|0|140.0|0|0.0|100
0|2021-11-03|9231.0|0|9202.0|0|140.0|0|0.0|100
0|2021-11-04|9231.0|0|9202.0|0|140.0|0|0.0|100
0|2021-11-05|9250.0|0|9221.0|0|140.0|0|0.0|100
0|2021-11-06|9250.0|0|9221.0|0|140.0|0|0.0|100
0|2021-11-07|9250.0|0|9221.0|0|140.0|0|0.0|100
0|2021-11-08|9250.0|0|9221.0|0|140.0|0|0.0|100
0|2021-11-09|9250.0|0|9221.0|0|140.0|0|0.0|100
0|2021-11-10|9250.0|0|9221.0|0|140.0|0|0.0|100
0|2021-11-11|9250.0|0|9221.0|0|140.0|0|0.0|100
0|2021-11-12|9268.0|0|9239.0|0|140.0|0|0.0|100
0|2021-11-13|9268.0|0|9239.0|0|140.0|0|0.0|100
0|2021-11-14|9268.0|0|9239.0|0|140.0|0|0.0|100
0|2021-11-15|9268.0|0|9239.0|0|140.0|0|0.0|100
0|2021-11-16|9268.0|0|9239.0|0|140.0|0|0.0|100
0|2021-11-17|9268.0|0|9239.0|0|140.0|0|0.0|100
0|2021-11-18|9268.0|0|9239.0|0|140.0|0|0.0|100
0|2021-11-19|9288.0|0|9259.0|0|140.0|0|0.0|100
0|2021-11-20|9288.0|0|9259.0|0|140.0|0|0.0|100
0|2021-11-21|9288.0|0|9259.0|0|140.0|0|0.0|100
0|2021-11-22|9288.0|0|9259.0|0|140.0|0|0.0|100
0|2021-11-23|9288.0|0|9259.0|0|140.0|0|0.0|100
0|2021-11-24|9288.0|0|9259.0|0|140.0|0|0.0|100
0|2021-11-25|9288.0|0|9259.0|0|140.0|0|0.0|100
0|2021-11-26|9288.0|0|9259.0|0|140.0|0|0.0|100
0|2021-11-27|9288.0|0|9259.0|0|140.0|0|0.0|100
0|2021-11-28|9288.0|0|9259.0|0|140.0|0|0.0|100
0|2021-11-29|9288.0|0|9259.0|0|140.0|0|0.0|100
0|2021-11-30|9296.0|0|9267.0|0|140.0|0|0.0|100
0|2021-12-01|9296.0|0|9267.0|0|140.0|0|0.0|100
0|2021-12-02|9296.0|0|9267.0|0|140.0|0|0.0|100
0|2021-12-03|9309.0|0|9280.0|0|140.0|0|0.0|100
0|2021-12-04|9309.0|0|9280.0|0|140.0|0|0.0|100
0|2021-12-05|9309.0|0|9280.0|0|140.0|0|0.0|100
0|2021-12-06|9309.0|0|9280.0|0|140.0|0|0.0|100
0|2021-12-07|9309.0|0|9280.0|0|140.0|0|0.0|100
0|2021-12-08|9309.0|0|9280.0|0|140.0|0|0.0|100
0|2021-12-09|9309.0|0|9280.0|0|140.0|0|0.0|100
0|2021-12-10|9326.0|0|9297.0|0|140.0|0|0.0|100
0|2021-12-11|9326.0|0|9297.0|0|140.0|0|0.0|100
0|2021-12-12|9326.0|0|9297.0|0|140.0|0|0.0|100
0|2021-12-13|9326.0|0|9297.0|0|140.0|0|0.0|100
0|2021-12-14|9326.0|0|9297.0|0|140.0|0|0.0|100
0|2021-12-15|9326.0|0|9297.0|0|140.0|0|0.0|100
0|2021-12-16|9326.0|0|9297.0|0|140.0|0|0.0|100
0|2021-12-17|9336.0|0|9307.0|0|140.0|0|0.0|100
0|2021-12-18|9336.0|0|9307.0|0|140.0|0|0.0|100
0|2021-12-19|9336.0|0|9307.0|0|140.0|0|0.0|100
0|2021-12-20|9336.0|0|9307.0|0|140.0|0|0.0|100
0|2021-12-21|9336.0|0|9307.0|0|140.0|0|0.0|100
0|2021-12-22|9336.0|0|9307.0|0|140.0|0|0.0|100
0|2021-12-23|9336.0|0|9307.0|0|140.0|0|0.0|100
0|2021-12-24|9336.0|0|9337.0|0|140.0|0|0.0|100
0|2021-12-25|9366.0|0|9337.0|0|140.0|0|0.0|100
0|2021-12-26|9366.0|0|9337.0|0|140.0|0|0.0|100
