|dates|Sumner_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Sumner_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Sumner_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Sumner_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Sumner_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Sumner_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Sumner_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Sumner_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|33846.0|0|33846.0|0|404.0|0|0.0|100
0|2021-10-18|33940.0|0|33940.0|0|404.0|0|0.0|100
0|2021-10-19|33979.0|0|33979.0|0|404.0|0|0.0|100
0|2021-10-20|34034.0|0|34034.0|0|404.0|0|0.0|100
0|2021-10-21|34051.0|0|34051.0|0|405.0|0|0.0|100
0|2021-10-22|34088.0|0|34088.0|0|405.0|0|0.0|100
0|2021-10-23|34088.0|0|34088.0|0|405.0|0|0.0|100
0|2021-10-24|34088.0|0|34088.0|0|405.0|0|0.0|100
0|2021-10-25|34088.0|0|34088.0|0|405.0|0|0.0|100
0|2021-10-26|34189.0|0|34189.0|0|407.0|0|0.0|100
0|2021-10-27|34223.0|0|34223.0|0|408.0|0|0.0|100
0|2021-10-28|34256.0|0|34256.0|0|408.0|0|0.0|100
0|2021-10-29|34283.0|0|34283.0|0|408.0|0|0.0|100
0|2021-10-30|34283.0|0|34283.0|0|408.0|0|0.0|100
0|2021-10-31|34283.0|0|34283.0|0|408.0|0|0.0|100
0|2021-11-01|34283.0|0|34283.0|0|408.0|0|0.0|100
0|2021-11-02|34365.0|0|34365.0|0|409.0|0|0.0|100
0|2021-11-03|34418.0|0|34418.0|0|409.0|0|0.0|100
0|2021-11-04|34452.0|0|34452.0|0|409.0|0|0.0|100
0|2021-11-05|34483.0|0|34483.0|0|410.0|0|0.0|100
0|2021-11-06|34483.0|0|34483.0|0|410.0|0|0.0|100
0|2021-11-07|34483.0|0|34483.0|0|410.0|0|0.0|100
0|2021-11-08|34483.0|0|34483.0|0|410.0|0|0.0|100
0|2021-11-09|34567.0|0|34567.0|0|412.0|0|0.0|100
0|2021-11-10|34606.0|0|34606.0|0|415.0|0|0.0|100
0|2021-11-11|34606.0|0|34606.0|0|415.0|0|0.0|100
0|2021-11-12|34671.0|0|34671.0|0|415.0|0|0.0|100
0|2021-11-13|34671.0|0|34671.0|0|415.0|0|0.0|100
0|2021-11-14|34671.0|0|34671.0|0|415.0|0|0.0|100
0|2021-11-15|34747.0|0|34747.0|0|416.0|0|0.0|100
