|dates|Bradley_Tennessee_UnitedStates.BLS_EmployedPopulation.data|Bradley_Tennessee_UnitedStates.BLS_EmployedPopulation.missing|Bradley_Tennessee_UnitedStates.BLS_UnemployedPopulation.data|Bradley_Tennessee_UnitedStates.BLS_UnemployedPopulation.missing|Bradley_Tennessee_UnitedStates.BLS_UnemploymentRate.data|Bradley_Tennessee_UnitedStates.BLS_UnemploymentRate.missing|Bradley_Tennessee_UnitedStates.BLS_LaborForcePopulation.data|Bradley_Tennessee_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|50114.0|0|2236.0|0|4.271251193887297|0|52350.0|0
0|2021-10-18|50114.0|0|2236.0|0|4.271251193887297|0|52350.0|0
0|2021-10-19|50114.0|0|2236.0|0|4.271251193887297|0|52350.0|0
0|2021-10-20|50114.0|0|2236.0|0|4.271251193887297|0|52350.0|0
0|2021-10-21|50114.0|0|2236.0|0|4.271251193887297|0|52350.0|0
0|2021-10-22|50114.0|0|2236.0|0|4.271251193887297|0|52350.0|0
0|2021-10-23|50114.0|0|2236.0|0|4.271251193887297|0|52350.0|0
0|2021-10-24|50114.0|0|2236.0|0|4.271251193887297|0|52350.0|0
0|2021-10-25|50114.0|0|2236.0|0|4.271251193887297|0|52350.0|0
0|2021-10-26|50114.0|0|2236.0|0|4.271251193887297|0|52350.0|0
0|2021-10-27|50114.0|0|2236.0|0|4.271251193887297|0|52350.0|0
0|2021-10-28|50114.0|0|2236.0|0|4.271251193887297|0|52350.0|0
0|2021-10-29|50114.0|0|2236.0|0|4.271251193887297|0|52350.0|0
0|2021-10-30|50114.0|0|2236.0|0|4.271251193887297|0|52350.0|0
0|2021-10-31|50114.0|0|2236.0|0|4.271251193887297|0|52350.0|0
0|2021-11-01|50114.0|0|2236.0|0|4.271251193887297|0|52350.0|0
0|2021-11-02|50114.0|0|2236.0|0|4.271251193887297|0|52350.0|0
0|2021-11-03|50114.0|0|2236.0|0|4.271251193887297|0|52350.0|0
