|dates|Buncombe_NorthCarolina_UnitedStates.BLS_EmployedPopulation.data|Buncombe_NorthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Buncombe_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Buncombe_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Buncombe_NorthCarolina_UnitedStates.BLS_UnemploymentRate.data|Buncombe_NorthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Buncombe_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Buncombe_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-10-18|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-10-19|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-10-20|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-10-21|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-10-22|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-10-23|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-10-24|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-10-25|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-10-26|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-10-27|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-10-28|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-10-29|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-10-30|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-10-31|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-11-01|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-11-02|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-11-03|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-11-04|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-11-05|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-11-06|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-11-07|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-11-08|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-11-09|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-11-10|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-11-11|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-11-12|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-11-13|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-11-14|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-11-15|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-11-16|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-11-17|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-11-18|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-11-19|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-11-20|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-11-21|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-11-22|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-11-23|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-11-24|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-11-25|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-11-26|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-11-27|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-11-28|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-11-29|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-11-30|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-12-01|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-12-02|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-12-03|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
0|2021-12-04|128715.0|0|5452.0|0|4.063592388590339|0|134167.0|0
