|dates|Irion_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Irion_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Irion_Texas_UnitedStates.Male_Total_Population.data|Irion_Texas_UnitedStates.Male_Total_Population.missing|Irion_Texas_UnitedStates.Female_Total_Population.data|Irion_Texas_UnitedStates.Female_Total_Population.missing|Irion_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Irion_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-10-18|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-10-19|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-10-20|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-10-21|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-10-22|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-10-23|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-10-24|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-10-25|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-10-26|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-10-27|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-10-28|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-10-29|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-10-30|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-10-31|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-11-01|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-11-02|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-11-03|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-11-04|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-11-05|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-11-06|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-11-07|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-11-08|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-11-09|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-11-10|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-11-11|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-11-12|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-11-13|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-11-14|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-11-15|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-11-16|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-11-17|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-11-18|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-11-19|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-11-20|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-11-21|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-11-22|327.0|0|781.0|0|741.0|0|335.0|0
0|2021-11-23|327.0|0|781.0|0|741.0|0|335.0|0
