|dates|Columbia_NewYork_UnitedStates.JHU_ConfirmedCases.data|Columbia_NewYork_UnitedStates.JHU_ConfirmedCases.missing|Columbia_NewYork_UnitedStates.NYT_ConfirmedCases.data|Columbia_NewYork_UnitedStates.NYT_ConfirmedCases.missing|Columbia_NewYork_UnitedStates.JHU_ConfirmedDeaths.data|Columbia_NewYork_UnitedStates.JHU_ConfirmedDeaths.missing|Columbia_NewYork_UnitedStates.JHU_ConfirmedRecoveries.data|Columbia_NewYork_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-28|6752.0|0|6752.0|0|120.0|0|0.0|100
0|2021-12-29|6840.0|0|6840.0|0|120.0|0|0.0|100
0|2021-12-30|6898.0|0|6898.0|0|121.0|0|0.0|100
0|2021-12-31|6954.0|0|6954.0|0|121.0|0|0.0|100
0|2022-01-01|6954.0|0|7061.0|0|121.0|0|0.0|100
0|2022-01-02|6954.0|0|7114.0|0|121.0|0|0.0|100
0|2022-01-03|7152.0|0|7152.0|0|122.0|0|0.0|100
0|2022-01-04|7173.0|0|7173.0|0|122.0|0|0.0|100
0|2022-01-05|7316.0|0|7316.0|0|122.0|0|0.0|100
0|2022-01-06|7423.0|0|7423.0|0|123.0|0|0.0|100
0|2022-01-07|7538.0|0|7538.0|0|123.0|0|0.0|100
0|2022-01-08|7713.0|0|7713.0|0|123.0|0|0.0|100
0|2022-01-09|7856.0|0|7856.0|0|124.0|0|0.0|100
0|2022-01-10|7927.0|0|7927.0|0|125.0|0|0.0|100
0|2022-01-11|7953.0|0|7953.0|0|125.0|0|0.0|100
0|2022-01-12|8156.0|0|8156.0|0|125.0|0|0.0|100
0|2022-01-13|8156.0|0|8281.0|0|125.0|0|0.0|100
0|2022-01-14|8392.0|0|8392.0|0|127.0|0|0.0|100
0|2022-01-15|8464.0|0|8464.0|0|127.0|0|0.0|100
0|2022-01-16|8638.0|0|8638.0|0|128.0|0|0.0|100
0|2022-01-17|8681.0|0|0.0|100|128.0|0|0.0|100
