|dates|Lincoln_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Lincoln_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Lincoln_Kansas_UnitedStates.Male_Total_Population.data|Lincoln_Kansas_UnitedStates.Male_Total_Population.missing|Lincoln_Kansas_UnitedStates.Female_Total_Population.data|Lincoln_Kansas_UnitedStates.Female_Total_Population.missing|Lincoln_Kansas_UnitedStates.MaleAndFemale_Under18_Population.data|Lincoln_Kansas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-10-18|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-10-19|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-10-20|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-10-21|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-10-22|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-10-23|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-10-24|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-10-25|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-10-26|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-10-27|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-10-28|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-10-29|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-10-30|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-10-31|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-11-01|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-11-02|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-11-03|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-11-04|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-11-05|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-11-06|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-11-07|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-11-08|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-11-09|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-11-10|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-11-11|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-11-12|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-11-13|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-11-14|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-11-15|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-11-16|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-11-17|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-11-18|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-11-19|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-11-20|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-11-21|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-11-22|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-11-23|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-11-24|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-11-25|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-11-26|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-11-27|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-11-28|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-11-29|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-11-30|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-12-01|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-12-02|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-12-03|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-12-04|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-12-05|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-12-06|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-12-07|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-12-08|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-12-09|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-12-10|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-12-11|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-12-12|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-12-13|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-12-14|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-12-15|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-12-16|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-12-17|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-12-18|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-12-19|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-12-20|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-12-21|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-12-22|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-12-23|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-12-24|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-12-25|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-12-26|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-12-27|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-12-28|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-12-29|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-12-30|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2021-12-31|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2022-01-01|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2022-01-02|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2022-01-03|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2022-01-04|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2022-01-05|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2022-01-06|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2022-01-07|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2022-01-08|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2022-01-09|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2022-01-10|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2022-01-11|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2022-01-12|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2022-01-13|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2022-01-14|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2022-01-15|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2022-01-16|739.0|0|1500.0|0|1523.0|0|679.0|0
0|2022-01-17|739.0|0|1500.0|0|1523.0|0|679.0|0
