|dates|KetchikanGateway_Alaska_UnitedStates.JHU_ConfirmedCases.data|KetchikanGateway_Alaska_UnitedStates.JHU_ConfirmedCases.missing|KetchikanGateway_Alaska_UnitedStates.NYT_ConfirmedCases.data|KetchikanGateway_Alaska_UnitedStates.NYT_ConfirmedCases.missing|KetchikanGateway_Alaska_UnitedStates.JHU_ConfirmedDeaths.data|KetchikanGateway_Alaska_UnitedStates.JHU_ConfirmedDeaths.missing|KetchikanGateway_Alaska_UnitedStates.JHU_ConfirmedRecoveries.data|KetchikanGateway_Alaska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1604.0|0|1583.0|0|8.0|0|0.0|100
0|2021-10-18|1604.0|0|1583.0|0|8.0|0|0.0|100
0|2021-10-19|1625.0|0|1604.0|0|10.0|0|0.0|100
0|2021-10-20|1640.0|0|1619.0|0|10.0|0|0.0|100
0|2021-10-21|1660.0|0|1639.0|0|10.0|0|0.0|100
0|2021-10-22|1677.0|0|1656.0|0|10.0|0|0.0|100
0|2021-10-23|1677.0|0|1656.0|0|10.0|0|0.0|100
0|2021-10-24|1677.0|0|1656.0|0|10.0|0|0.0|100
0|2021-10-25|1711.0|0|1690.0|0|10.0|0|0.0|100
0|2021-10-26|1718.0|0|1697.0|0|10.0|0|0.0|100
0|2021-10-27|1721.0|0|1700.0|0|10.0|0|0.0|100
0|2021-10-28|1722.0|0|1701.0|0|10.0|0|0.0|100
0|2021-10-29|1734.0|0|1713.0|0|10.0|0|0.0|100
0|2021-10-30|1734.0|0|1713.0|0|10.0|0|0.0|100
0|2021-10-31|1734.0|0|1713.0|0|10.0|0|0.0|100
0|2021-11-01|1745.0|0|1724.0|0|10.0|0|0.0|100
0|2021-11-02|1747.0|0|1726.0|0|10.0|0|0.0|100
0|2021-11-03|1753.0|0|1732.0|0|10.0|0|0.0|100
0|2021-11-04|1760.0|0|1739.0|0|10.0|0|0.0|100
0|2021-11-05|1771.0|0|1750.0|0|10.0|0|0.0|100
0|2021-11-06|1771.0|0|1750.0|0|10.0|0|0.0|100
0|2021-11-07|1771.0|0|1750.0|0|10.0|0|0.0|100
0|2021-11-08|1797.0|0|1776.0|0|12.0|0|0.0|100
0|2021-11-09|1801.0|0|1780.0|0|12.0|0|0.0|100
0|2021-11-10|1801.0|0|1790.0|0|12.0|0|0.0|100
0|2021-11-11|1811.0|0|1790.0|0|12.0|0|0.0|100
0|2021-11-12|1837.0|0|1816.0|0|12.0|0|0.0|100
0|2021-11-13|1837.0|0|1816.0|0|12.0|0|0.0|100
0|2021-11-14|1837.0|0|1816.0|0|12.0|0|0.0|100
0|2021-11-15|1887.0|0|1866.0|0|12.0|0|0.0|100
0|2021-11-16|1896.0|0|1875.0|0|12.0|0|0.0|100
0|2021-11-17|1912.0|0|1891.0|0|12.0|0|0.0|100
0|2021-11-18|1917.0|0|1896.0|0|12.0|0|0.0|100
0|2021-11-19|1948.0|0|1926.0|0|13.0|0|0.0|100
0|2021-11-20|1948.0|0|1926.0|0|13.0|0|0.0|100
0|2021-11-21|1948.0|0|1926.0|0|13.0|0|0.0|100
0|2021-11-22|1979.0|0|1957.0|0|13.0|0|0.0|100
0|2021-11-23|1981.0|0|1959.0|0|13.0|0|0.0|100
0|2021-11-24|2002.0|0|1980.0|0|13.0|0|0.0|100
0|2021-11-25|2002.0|0|1980.0|0|13.0|0|0.0|100
0|2021-11-26|2027.0|0|2005.0|0|13.0|0|0.0|100
0|2021-11-27|2027.0|0|2005.0|0|13.0|0|0.0|100
0|2021-11-28|2027.0|0|2005.0|0|13.0|0|0.0|100
0|2021-11-29|2072.0|0|2050.0|0|13.0|0|0.0|100
0|2021-11-30|2072.0|0|2055.0|0|13.0|0|0.0|100
0|2021-12-01|2087.0|0|2065.0|0|13.0|0|0.0|100
0|2021-12-02|2117.0|0|2095.0|0|13.0|0|0.0|100
0|2021-12-03|2144.0|0|2122.0|0|13.0|0|0.0|100
0|2021-12-04|2144.0|0|2122.0|0|13.0|0|0.0|100
0|2021-12-05|2144.0|0|2122.0|0|13.0|0|0.0|100
0|2021-12-06|2177.0|0|2155.0|0|13.0|0|0.0|100
0|2021-12-07|2177.0|0|2155.0|0|13.0|0|0.0|100
0|2021-12-08|2206.0|0|2184.0|0|13.0|0|0.0|100
0|2021-12-09|2206.0|0|2184.0|0|13.0|0|0.0|100
0|2021-12-10|2221.0|0|2198.0|0|13.0|0|0.0|100
0|2021-12-11|2221.0|0|2198.0|0|13.0|0|0.0|100
0|2021-12-12|2221.0|0|2198.0|0|13.0|0|0.0|100
0|2021-12-13|2244.0|0|2220.0|0|14.0|0|0.0|100
0|2021-12-14|2244.0|0|2220.0|0|14.0|0|0.0|100
0|2021-12-15|2264.0|0|2240.0|0|14.0|0|0.0|100
0|2021-12-16|2264.0|0|2240.0|0|14.0|0|0.0|100
0|2021-12-17|2292.0|0|2268.0|0|14.0|0|0.0|100
0|2021-12-18|2292.0|0|2268.0|0|14.0|0|0.0|100
0|2021-12-19|2292.0|0|2268.0|0|14.0|0|0.0|100
0|2021-12-20|2298.0|0|2273.0|0|14.0|0|0.0|100
0|2021-12-21|2298.0|0|2273.0|0|14.0|0|0.0|100
0|2021-12-22|2317.0|0|2291.0|0|15.0|0|0.0|100
0|2021-12-23|2317.0|0|2291.0|0|15.0|0|0.0|100
