|dates|Prairie_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Prairie_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Prairie_Montana_UnitedStates.Male_Total_Population.data|Prairie_Montana_UnitedStates.Male_Total_Population.missing|Prairie_Montana_UnitedStates.Female_Total_Population.data|Prairie_Montana_UnitedStates.Female_Total_Population.missing|Prairie_Montana_UnitedStates.MaleAndFemale_Under18_Population.data|Prairie_Montana_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-10-18|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-10-19|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-10-20|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-10-21|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-10-22|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-10-23|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-10-24|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-10-25|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-10-26|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-10-27|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-10-28|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-10-29|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-10-30|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-10-31|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-11-01|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-11-02|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-11-03|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-11-04|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-11-05|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-11-06|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-11-07|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-11-08|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-11-09|346.0|0|553.0|0|534.0|0|188.0|0
0|2021-11-10|346.0|0|553.0|0|534.0|0|188.0|0
