|dates|Jackson_Oklahoma_UnitedStates.JHU_ConfirmedCases.data|Jackson_Oklahoma_UnitedStates.JHU_ConfirmedCases.missing|Jackson_Oklahoma_UnitedStates.NYT_ConfirmedCases.data|Jackson_Oklahoma_UnitedStates.NYT_ConfirmedCases.missing|Jackson_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.data|Jackson_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.missing|Jackson_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.data|Jackson_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3808.0|0|3808.0|0|67.0|0|0.0|100
0|2021-10-18|3808.0|0|3808.0|0|67.0|0|0.0|100
0|2021-10-19|3808.0|0|3808.0|0|67.0|0|0.0|100
0|2021-10-20|3884.0|0|3884.0|0|83.0|0|0.0|100
0|2021-10-21|3884.0|0|3884.0|0|83.0|0|0.0|100
0|2021-10-22|3884.0|0|3884.0|0|83.0|0|0.0|100
0|2021-10-23|3884.0|0|3884.0|0|83.0|0|0.0|100
0|2021-10-24|3884.0|0|3884.0|0|83.0|0|0.0|100
0|2021-10-25|3884.0|0|3884.0|0|83.0|0|0.0|100
0|2021-10-26|3884.0|0|3884.0|0|83.0|0|0.0|100
0|2021-10-27|3928.0|0|3928.0|0|86.0|0|0.0|100
0|2021-10-28|3928.0|0|3928.0|0|86.0|0|0.0|100
0|2021-10-29|3928.0|0|3928.0|0|86.0|0|0.0|100
0|2021-10-30|3928.0|0|3928.0|0|86.0|0|0.0|100
0|2021-10-31|3928.0|0|3928.0|0|86.0|0|0.0|100
0|2021-11-01|3928.0|0|3928.0|0|86.0|0|0.0|100
0|2021-11-02|3928.0|0|3928.0|0|86.0|0|0.0|100
0|2021-11-03|3949.0|0|3949.0|0|86.0|0|0.0|100
0|2021-11-04|3949.0|0|3949.0|0|86.0|0|0.0|100
0|2021-11-05|3949.0|0|3949.0|0|86.0|0|0.0|100
0|2021-11-06|3949.0|0|3949.0|0|86.0|0|0.0|100
0|2021-11-07|3949.0|0|3949.0|0|86.0|0|0.0|100
0|2021-11-08|3949.0|0|3949.0|0|86.0|0|0.0|100
0|2021-11-09|3949.0|0|3949.0|0|86.0|0|0.0|100
0|2021-11-10|3949.0|0|4000.0|0|86.0|0|0.0|100
0|2021-11-11|3949.0|0|4000.0|0|86.0|0|0.0|100
0|2021-11-12|4000.0|0|4000.0|0|86.0|0|0.0|100
0|2021-11-13|4000.0|0|4000.0|0|86.0|0|0.0|100
0|2021-11-14|4000.0|0|4000.0|0|86.0|0|0.0|100
0|2021-11-15|4000.0|0|4000.0|0|86.0|0|0.0|100
0|2021-11-16|4000.0|0|4000.0|0|86.0|0|0.0|100
0|2021-11-17|4086.0|0|4086.0|0|86.0|0|0.0|100
0|2021-11-18|4086.0|0|4086.0|0|86.0|0|0.0|100
0|2021-11-19|4086.0|0|4086.0|0|86.0|0|0.0|100
0|2021-11-20|4086.0|0|4086.0|0|86.0|0|0.0|100
0|2021-11-21|4086.0|0|4086.0|0|86.0|0|0.0|100
0|2021-11-22|4086.0|0|4086.0|0|86.0|0|0.0|100
0|2021-11-23|4086.0|0|4086.0|0|86.0|0|0.0|100
0|2021-11-24|4165.0|0|4165.0|0|86.0|0|0.0|100
0|2021-11-25|4165.0|0|4165.0|0|86.0|0|0.0|100
