|dates|Park_Wyoming_UnitedStates.JHU_ConfirmedCases.data|Park_Wyoming_UnitedStates.JHU_ConfirmedCases.missing|Park_Wyoming_UnitedStates.NYT_ConfirmedCases.data|Park_Wyoming_UnitedStates.NYT_ConfirmedCases.missing|Park_Wyoming_UnitedStates.JHU_ConfirmedDeaths.data|Park_Wyoming_UnitedStates.JHU_ConfirmedDeaths.missing|Park_Wyoming_UnitedStates.JHU_ConfirmedRecoveries.data|Park_Wyoming_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4798.0|0|4798.0|0|60.0|0|0.0|100
0|2021-10-18|4853.0|0|4853.0|0|60.0|0|0.0|100
0|2021-10-19|4866.0|0|4866.0|0|68.0|0|0.0|100
0|2021-10-20|4893.0|0|4893.0|0|68.0|0|0.0|100
0|2021-10-21|4909.0|0|4909.0|0|70.0|0|0.0|100
0|2021-10-22|4952.0|0|4952.0|0|70.0|0|0.0|100
0|2021-10-23|4952.0|0|4952.0|0|70.0|0|0.0|100
0|2021-10-24|4952.0|0|4952.0|0|70.0|0|0.0|100
0|2021-10-25|5004.0|0|5004.0|0|70.0|0|0.0|100
0|2021-10-26|5018.0|0|5018.0|0|70.0|0|0.0|100
0|2021-10-27|5066.0|0|5066.0|0|70.0|0|0.0|100
0|2021-10-28|5081.0|0|5081.0|0|70.0|0|0.0|100
0|2021-10-29|5100.0|0|5100.0|0|70.0|0|0.0|100
0|2021-10-30|5100.0|0|5100.0|0|70.0|0|0.0|100
0|2021-10-31|5100.0|0|5100.0|0|70.0|0|0.0|100
0|2021-11-01|5142.0|0|5142.0|0|70.0|0|0.0|100
0|2021-11-02|5142.0|0|5155.0|0|70.0|0|0.0|100
0|2021-11-03|5171.0|0|5171.0|0|79.0|0|0.0|100
0|2021-11-04|5210.0|0|5210.0|0|79.0|0|0.0|100
0|2021-11-05|5218.0|0|5218.0|0|79.0|0|0.0|100
0|2021-11-06|5218.0|0|5218.0|0|79.0|0|0.0|100
0|2021-11-07|5218.0|0|5218.0|0|79.0|0|0.0|100
0|2021-11-08|5236.0|0|5236.0|0|79.0|0|0.0|100
0|2021-11-09|5251.0|0|5251.0|0|88.0|0|0.0|100
0|2021-11-10|5273.0|0|5273.0|0|88.0|0|0.0|100
0|2021-11-11|5273.0|0|5273.0|0|88.0|0|0.0|100
0|2021-11-12|5302.0|0|5302.0|0|88.0|0|0.0|100
0|2021-11-13|5302.0|0|5302.0|0|88.0|0|0.0|100
0|2021-11-14|5302.0|0|5302.0|0|88.0|0|0.0|100
0|2021-11-15|5321.0|0|5321.0|0|88.0|0|0.0|100
0|2021-11-16|5333.0|0|5333.0|0|98.0|0|0.0|100
0|2021-11-17|5343.0|0|5343.0|0|98.0|0|0.0|100
0|2021-11-18|5357.0|0|5357.0|0|98.0|0|0.0|100
0|2021-11-19|5380.0|0|5380.0|0|98.0|0|0.0|100
0|2021-11-20|5380.0|0|5380.0|0|98.0|0|0.0|100
0|2021-11-21|5380.0|0|5380.0|0|98.0|0|0.0|100
0|2021-11-22|5397.0|0|5397.0|0|98.0|0|0.0|100
0|2021-11-23|5405.0|0|5405.0|0|98.0|0|0.0|100
0|2021-11-24|5445.0|0|5445.0|0|98.0|0|0.0|100
0|2021-11-25|5445.0|0|5445.0|0|98.0|0|0.0|100
0|2021-11-26|5445.0|0|5445.0|0|98.0|0|0.0|100
0|2021-11-27|5445.0|0|5445.0|0|98.0|0|0.0|100
0|2021-11-28|5445.0|0|5445.0|0|98.0|0|0.0|100
0|2021-11-29|5463.0|0|5463.0|0|97.0|0|0.0|100
0|2021-11-30|5471.0|0|5471.0|0|105.0|0|0.0|100
