|dates|Washington_Illinois_UnitedStates.JHU_ConfirmedCases.data|Washington_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Washington_Illinois_UnitedStates.NYT_ConfirmedCases.data|Washington_Illinois_UnitedStates.NYT_ConfirmedCases.missing|Washington_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Washington_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Washington_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Washington_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2114.0|0|2114.0|0|28.0|0|0.0|100
0|2021-10-18|2116.0|0|2116.0|0|28.0|0|0.0|100
0|2021-10-19|2119.0|0|2119.0|0|28.0|0|0.0|100
0|2021-10-20|2122.0|0|2122.0|0|28.0|0|0.0|100
0|2021-10-21|2125.0|0|2125.0|0|28.0|0|0.0|100
0|2021-10-22|2129.0|0|2129.0|0|28.0|0|0.0|100
0|2021-10-23|2129.0|0|2129.0|0|28.0|0|0.0|100
0|2021-10-24|2129.0|0|2129.0|0|28.0|0|0.0|100
0|2021-10-25|2134.0|0|2134.0|0|28.0|0|0.0|100
0|2021-10-26|2135.0|0|2135.0|0|28.0|0|0.0|100
0|2021-10-27|2137.0|0|2137.0|0|28.0|0|0.0|100
0|2021-10-28|2142.0|0|2142.0|0|29.0|0|0.0|100
0|2021-10-29|2140.0|0|2140.0|0|29.0|0|0.0|100
0|2021-10-30|2140.0|0|2140.0|0|29.0|0|0.0|100
0|2021-10-31|2140.0|0|2140.0|0|29.0|0|0.0|100
0|2021-11-01|2144.0|0|2144.0|0|29.0|0|0.0|100
0|2021-11-02|2146.0|0|2146.0|0|29.0|0|0.0|100
0|2021-11-03|2148.0|0|2148.0|0|29.0|0|0.0|100
0|2021-11-04|2152.0|0|2152.0|0|29.0|0|0.0|100
0|2021-11-05|2154.0|0|2154.0|0|29.0|0|0.0|100
0|2021-11-06|2154.0|0|2154.0|0|29.0|0|0.0|100
0|2021-11-07|2154.0|0|2154.0|0|29.0|0|0.0|100
0|2021-11-08|2156.0|0|2156.0|0|29.0|0|0.0|100
0|2021-11-09|2157.0|0|2157.0|0|29.0|0|0.0|100
0|2021-11-10|2157.0|0|2165.0|0|29.0|0|0.0|100
0|2021-11-11|2165.0|0|2165.0|0|29.0|0|0.0|100
0|2021-11-12|2171.0|0|2171.0|0|29.0|0|0.0|100
0|2021-11-13|2171.0|0|2171.0|0|29.0|0|0.0|100
0|2021-11-14|2171.0|0|2171.0|0|29.0|0|0.0|100
0|2021-11-15|2178.0|0|2178.0|0|30.0|0|0.0|100
0|2021-11-16|2181.0|0|2181.0|0|30.0|0|0.0|100
