|dates|Whitman_Washington_UnitedStates.JHU_ConfirmedCases.data|Whitman_Washington_UnitedStates.JHU_ConfirmedCases.missing|Whitman_Washington_UnitedStates.NYT_ConfirmedCases.data|Whitman_Washington_UnitedStates.NYT_ConfirmedCases.missing|Whitman_Washington_UnitedStates.JHU_ConfirmedDeaths.data|Whitman_Washington_UnitedStates.JHU_ConfirmedDeaths.missing|Whitman_Washington_UnitedStates.JHU_ConfirmedRecoveries.data|Whitman_Washington_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5614.0|0|5706.0|0|68.0|0|0.0|100
0|2021-10-18|5614.0|0|5747.0|0|68.0|0|0.0|100
0|2021-10-19|5659.0|0|5764.0|0|71.0|0|0.0|100
0|2021-10-20|5671.0|0|5775.0|0|71.0|0|0.0|100
0|2021-10-21|5697.0|0|5793.0|0|73.0|0|0.0|100
0|2021-10-22|5702.0|0|5793.0|0|74.0|0|0.0|100
0|2021-10-23|5702.0|0|5793.0|0|74.0|0|0.0|100
0|2021-10-24|5702.0|0|5793.0|0|74.0|0|0.0|100
0|2021-10-25|5731.0|0|5803.0|0|74.0|0|0.0|100
0|2021-10-26|5760.0|0|5854.0|0|75.0|0|0.0|100
0|2021-10-27|5766.0|0|5860.0|0|77.0|0|0.0|100
0|2021-10-28|5780.0|0|5880.0|0|79.0|0|0.0|100
0|2021-10-29|5784.0|0|5886.0|0|79.0|0|0.0|100
0|2021-10-30|5784.0|0|5886.0|0|79.0|0|0.0|100
0|2021-10-31|5784.0|0|5886.0|0|79.0|0|0.0|100
0|2021-11-01|5798.0|0|5890.0|0|79.0|0|0.0|100
0|2021-11-02|5816.0|0|5914.0|0|79.0|0|0.0|100
0|2021-11-03|5824.0|0|5929.0|0|79.0|0|0.0|100
0|2021-11-04|5843.0|0|5935.0|0|79.0|0|0.0|100
0|2021-11-05|5849.0|0|5940.0|0|79.0|0|0.0|100
0|2021-11-06|5849.0|0|5940.0|0|79.0|0|0.0|100
0|2021-11-07|5849.0|0|5940.0|0|79.0|0|0.0|100
