|dates|Burlington_NewJersey_UnitedStates.AveragePrecipitationTotal.data|Burlington_NewJersey_UnitedStates.AveragePrecipitationTotal.missing|Burlington_NewJersey_UnitedStates.AveragePrecipitation.data|Burlington_NewJersey_UnitedStates.AveragePrecipitation.missing|Burlington_NewJersey_UnitedStates.AverageWindDirection.data|Burlington_NewJersey_UnitedStates.AverageWindDirection.missing|Burlington_NewJersey_UnitedStates.AverageWindSpeed.data|Burlington_NewJersey_UnitedStates.AverageWindSpeed.missing
0|2021-10-17|0.01375|0|0.020624999999999998|0|275.8333333333333|0|8.0|0
0|2021-10-18|0.0|0|0.0|0|230.0|0|6.833333333333333|0
0|2021-10-19|0.0|0|0.0|0|202.91666666666666|0|6.333333333333333|0
0|2021-10-20|0.0|0|0.0|0|237.5|0|5.583333333333333|0
0|2021-10-21|0.0|0|0.0|0|60.416666666666664|0|2.5833333333333335|0
0|2021-10-22|0.0|0|0.0|0|130.20833333333334|0|4.0|0
0|2021-10-23|0.0|0|0.0004166666666666667|0|120.625|0|2.7916666666666665|0
0|2021-10-24|8.333333333333333e-05|0|0.0|0|36.666666666666664|0|1.5|0
0|2021-10-25|0.0|0|0.016947916666666667|0|52.604166666666664|0|4.153125|0
0|2021-10-26|0.105|0|0.05356349206349207|0|250.07142857142858|0|8.920634920634921|0
0|2021-10-27|0.0|0|0.009583333333333333|0|182.5|0|7.479166666666667|0
0|2021-10-28|0.0|0|0.0|0|33.68055555555556|0|2.1354166666666665|0
0|2021-10-29|0.0|0|0.017381944444444446|0|68.6111111111111|0|10.136111111111111|0
0|2021-10-30|0.02791666666666667|0|0.009833333333333333|0|78.36011904761905|0|4.4366071428571425|0
0|2021-10-31|0.011250000000000001|0|0.000625|0|237.39583333333334|0|6.927083333333333|0
0|2021-11-01|0.0004166666666666667|0|0.0|0|190.0|0|5.833333333333333|0
0|2021-11-02|0.0|0|0.0022222222222222222|0|117.77777777777779|0|2.8888888888888893|0
0|2021-11-03|0.0025|0|0.0|0|126.66666666666667|0|3.375|0
0|2021-11-04|0.0|0|0.0|0|46.25|0|1.5833333333333333|0
0|2021-11-05|0.0|0|0.0|0|49.583333333333336|0|2.6666666666666665|0
0|2021-11-06|0.0|0|0.0|0|15.416666666666666|0|2.2083333333333335|0
0|2021-11-07|0.0|0|0.0|0|48.75|0|2.375|0
0|2021-11-08|0.0|0|0.0|0|90.0|0|2.875|0
0|2021-11-09|0.0|0|0.0|0|97.91666666666667|0|2.9166666666666665|0
0|2021-11-10|0.0|0|0.0|0|127.5|0|3.7916666666666665|0
0|2021-11-11|0.0|0|0.0|0|53.333333333333336|0|3.4583333333333335|0
0|2021-11-12|0.0004166666666666667|0|0.007147817460317459|0|125.7986111111111|0|5.32390873015873|0
0|2021-11-13|0.011666666666666667|0|0.0022916666666666667|0|153.85416666666666|0|6.5|0
0|2021-11-14|0.002916666666666667|0|0.0004166666666666667|0|134.58333333333334|0|3.75|0
0|2021-11-15|0.0008333333333333334|0|0.0004166666666666667|0|212.08333333333334|0|8.941666666666666|0
0|2021-11-16|0.0|0|0.0|0|170.41666666666666|0|4.833333333333333|0
0|2021-11-17|0.0|0|0.0|0|60.833333333333336|0|3.5833333333333335|0
0|2021-11-18|0.0|0|0.0031250000000000006|0|146.875|0|6.75|0
