|dates|Drew_Arkansas_UnitedStates.JHU_ConfirmedCases.data|Drew_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|Drew_Arkansas_UnitedStates.NYT_ConfirmedCases.data|Drew_Arkansas_UnitedStates.NYT_ConfirmedCases.missing|Drew_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|Drew_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|Drew_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|Drew_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2860.0|0|2860.0|0|54.0|0|0.0|100
0|2021-10-18|2861.0|0|2861.0|0|54.0|0|0.0|100
0|2021-10-19|2863.0|0|2863.0|0|54.0|0|0.0|100
0|2021-10-20|2864.0|0|2864.0|0|54.0|0|0.0|100
0|2021-10-21|2868.0|0|2868.0|0|54.0|0|0.0|100
0|2021-10-22|2870.0|0|2870.0|0|54.0|0|0.0|100
0|2021-10-23|2870.0|0|2870.0|0|54.0|0|0.0|100
0|2021-10-24|2870.0|0|2870.0|0|54.0|0|0.0|100
0|2021-10-25|2870.0|0|2870.0|0|54.0|0|0.0|100
0|2021-10-26|2876.0|0|2876.0|0|54.0|0|0.0|100
0|2021-10-27|2880.0|0|2880.0|0|54.0|0|0.0|100
0|2021-10-28|2884.0|0|2884.0|0|54.0|0|0.0|100
0|2021-10-29|2886.0|0|2886.0|0|54.0|0|0.0|100
0|2021-10-30|2889.0|0|2889.0|0|54.0|0|0.0|100
0|2021-10-31|2891.0|0|2891.0|0|54.0|0|0.0|100
0|2021-11-01|2891.0|0|2891.0|0|54.0|0|0.0|100
0|2021-11-02|2896.0|0|2896.0|0|54.0|0|0.0|100
0|2021-11-03|2899.0|0|2899.0|0|54.0|0|0.0|100
0|2021-11-04|2900.0|0|2900.0|0|54.0|0|0.0|100
0|2021-11-05|2900.0|0|2900.0|0|54.0|0|0.0|100
0|2021-11-06|2905.0|0|2905.0|0|54.0|0|0.0|100
