|dates|McPherson_SouthDakota_UnitedStates.JHU_ConfirmedCases.data|McPherson_SouthDakota_UnitedStates.JHU_ConfirmedCases.missing|McPherson_SouthDakota_UnitedStates.NYT_ConfirmedCases.data|McPherson_SouthDakota_UnitedStates.NYT_ConfirmedCases.missing|McPherson_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.data|McPherson_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|McPherson_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|McPherson_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|312.0|0|312.0|0|7.0|0|0.0|100
0|2021-10-18|312.0|0|313.0|0|7.0|0|0.0|100
0|2021-10-19|312.0|0|313.0|0|7.0|0|0.0|100
0|2021-10-20|313.0|0|313.0|0|7.0|0|0.0|100
0|2021-10-21|313.0|0|313.0|0|7.0|0|0.0|100
0|2021-10-22|315.0|0|315.0|0|7.0|0|0.0|100
0|2021-10-23|315.0|0|315.0|0|7.0|0|0.0|100
0|2021-10-24|315.0|0|315.0|0|7.0|0|0.0|100
0|2021-10-25|315.0|0|315.0|0|7.0|0|0.0|100
0|2021-10-26|320.0|0|320.0|0|7.0|0|0.0|100
0|2021-10-27|321.0|0|321.0|0|7.0|0|0.0|100
0|2021-10-28|323.0|0|323.0|0|7.0|0|0.0|100
0|2021-10-29|324.0|0|324.0|0|7.0|0|0.0|100
0|2021-10-30|324.0|0|324.0|0|7.0|0|0.0|100
0|2021-10-31|324.0|0|324.0|0|7.0|0|0.0|100
0|2021-11-01|324.0|0|324.0|0|7.0|0|0.0|100
0|2021-11-02|325.0|0|325.0|0|7.0|0|0.0|100
0|2021-11-03|330.0|0|330.0|0|7.0|0|0.0|100
0|2021-11-04|331.0|0|331.0|0|7.0|0|0.0|100
0|2021-11-05|333.0|0|333.0|0|7.0|0|0.0|100
0|2021-11-06|333.0|0|333.0|0|7.0|0|0.0|100
0|2021-11-07|333.0|0|333.0|0|7.0|0|0.0|100
0|2021-11-08|336.0|0|336.0|0|7.0|0|0.0|100
0|2021-11-09|338.0|0|338.0|0|7.0|0|0.0|100
0|2021-11-10|339.0|0|339.0|0|7.0|0|0.0|100
0|2021-11-11|339.0|0|339.0|0|7.0|0|0.0|100
0|2021-11-12|343.0|0|343.0|0|7.0|0|0.0|100
0|2021-11-13|343.0|0|343.0|0|7.0|0|0.0|100
0|2021-11-14|343.0|0|343.0|0|7.0|0|0.0|100
0|2021-11-15|345.0|0|345.0|0|7.0|0|0.0|100
0|2021-11-16|345.0|0|345.0|0|7.0|0|0.0|100
0|2021-11-17|347.0|0|347.0|0|7.0|0|0.0|100
