|dates|Travis_Texas_UnitedStates.JHU_ConfirmedCases.data|Travis_Texas_UnitedStates.JHU_ConfirmedCases.missing|Travis_Texas_UnitedStates.NYT_ConfirmedCases.data|Travis_Texas_UnitedStates.NYT_ConfirmedCases.missing|Travis_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Travis_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Travis_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Travis_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|118150.0|0|118150.0|0|1391.0|0|0.0|100
0|2021-10-18|118391.0|0|118150.0|0|1394.0|0|0.0|100
0|2021-10-19|118564.0|0|118391.0|0|1397.0|0|0.0|100
0|2021-10-20|118671.0|0|118564.0|0|1404.0|0|0.0|100
0|2021-10-21|118822.0|0|118671.0|0|1409.0|0|0.0|100
0|2021-10-22|118951.0|0|118822.0|0|1411.0|0|0.0|100
0|2021-10-23|118951.0|0|118951.0|0|1413.0|0|0.0|100
0|2021-10-24|118951.0|0|118951.0|0|1413.0|0|0.0|100
0|2021-10-25|119220.0|0|118951.0|0|1415.0|0|0.0|100
0|2021-10-26|119391.0|0|119220.0|0|1419.0|0|0.0|100
0|2021-10-27|119524.0|0|119391.0|0|1426.0|0|0.0|100
0|2021-10-28|119609.0|0|119524.0|0|1429.0|0|0.0|100
0|2021-10-29|119762.0|0|119609.0|0|1431.0|0|0.0|100
0|2021-10-30|119762.0|0|119762.0|0|1431.0|0|0.0|100
0|2021-10-31|119762.0|0|119762.0|0|1433.0|0|0.0|100
0|2021-11-01|119847.0|0|119762.0|0|1434.0|0|0.0|100
0|2021-11-02|120106.0|0|119847.0|0|1436.0|0|0.0|100
0|2021-11-03|120179.0|0|120106.0|0|1438.0|0|0.0|100
0|2021-11-04|120299.0|0|120179.0|0|1439.0|0|0.0|100
0|2021-11-05|120366.0|0|120299.0|0|1442.0|0|0.0|100
0|2021-11-06|120366.0|0|120366.0|0|1445.0|0|0.0|100
0|2021-11-07|120366.0|0|120366.0|0|1445.0|0|0.0|100
0|2021-11-08|120481.0|0|120366.0|0|1446.0|0|0.0|100
0|2021-11-09|120737.0|0|120481.0|0|1447.0|0|0.0|100
0|2021-11-10|120844.0|0|120481.0|0|1447.0|0|0.0|100
0|2021-11-11|120844.0|0|120844.0|0|1452.0|0|0.0|100
0|2021-11-12|120940.0|0|120844.0|0|1456.0|0|0.0|100
0|2021-11-13|120940.0|0|120940.0|0|1458.0|0|0.0|100
0|2021-11-14|120940.0|0|120940.0|0|1460.0|0|0.0|100
0|2021-11-15|121156.0|0|120940.0|0|1461.0|0|0.0|100
0|2021-11-16|121361.0|0|121156.0|0|1461.0|0|0.0|100
0|2021-11-17|121508.0|0|121361.0|0|1462.0|0|0.0|100
0|2021-11-18|121617.0|0|121508.0|0|1462.0|0|0.0|100
0|2021-11-19|121709.0|0|121617.0|0|1463.0|0|0.0|100
0|2021-11-20|121709.0|0|121709.0|0|1463.0|0|0.0|100
0|2021-11-21|121709.0|0|121709.0|0|1463.0|0|0.0|100
0|2021-11-22|121812.0|0|121709.0|0|1464.0|0|0.0|100
0|2021-11-23|122029.0|0|121812.0|0|1464.0|0|0.0|100
0|2021-11-24|122176.0|0|122029.0|0|1465.0|0|0.0|100
0|2021-11-25|122176.0|0|122029.0|0|1465.0|0|0.0|100
0|2021-11-26|122176.0|0|122029.0|0|1465.0|0|0.0|100
0|2021-11-27|122176.0|0|122029.0|0|1465.0|0|0.0|100
0|2021-11-28|122176.0|0|122029.0|0|1465.0|0|0.0|100
0|2021-11-29|122277.0|0|122176.0|0|1465.0|0|0.0|100
0|2021-11-30|122630.0|0|122277.0|0|1467.0|0|0.0|100
0|2021-12-01|122809.0|0|122335.0|0|1470.0|0|0.0|100
0|2021-12-02|122933.0|0|122380.0|0|1470.0|0|0.0|100
0|2021-12-03|123040.0|0|122471.0|0|1474.0|0|0.0|100
0|2021-12-04|123040.0|0|122538.0|0|1475.0|0|0.0|100
0|2021-12-05|123040.0|0|122590.0|0|1475.0|0|0.0|100
0|2021-12-06|123240.0|0|122677.0|0|1476.0|0|0.0|100
0|2021-12-07|123514.0|0|122788.0|0|1476.0|0|0.0|100
0|2021-12-08|123701.0|0|122841.0|0|1481.0|0|0.0|100
0|2021-12-09|123854.0|0|122896.0|0|1484.0|0|0.0|100
0|2021-12-10|123993.0|0|123849.0|0|1485.0|0|0.0|100
