|dates|Cheyenne_Colorado_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Cheyenne_Colorado_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Cheyenne_Colorado_UnitedStates.Male_Total_Population.data|Cheyenne_Colorado_UnitedStates.Male_Total_Population.missing|Cheyenne_Colorado_UnitedStates.Female_Total_Population.data|Cheyenne_Colorado_UnitedStates.Female_Total_Population.missing|Cheyenne_Colorado_UnitedStates.MaleAndFemale_Under18_Population.data|Cheyenne_Colorado_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-10-18|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-10-19|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-10-20|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-10-21|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-10-22|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-10-23|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-10-24|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-10-25|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-10-26|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-10-27|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-10-28|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-10-29|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-10-30|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-10-31|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-11-01|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-11-02|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-11-03|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-11-04|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-11-05|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-11-06|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-11-07|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-11-08|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-11-09|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-11-10|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-11-11|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-11-12|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-11-13|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-11-14|385.0|0|954.0|0|922.0|0|477.0|0
0|2021-11-15|385.0|0|954.0|0|922.0|0|477.0|0
