|dates|Henderson_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Henderson_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Henderson_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Henderson_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Henderson_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Henderson_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Henderson_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Henderson_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5673.0|0|5673.0|0|99.0|0|0.0|100
0|2021-10-18|5686.0|0|5686.0|0|99.0|0|0.0|100
0|2021-10-19|5696.0|0|5696.0|0|99.0|0|0.0|100
0|2021-10-20|5708.0|0|5708.0|0|99.0|0|0.0|100
0|2021-10-21|5715.0|0|5715.0|0|99.0|0|0.0|100
0|2021-10-22|5719.0|0|5719.0|0|100.0|0|0.0|100
0|2021-10-23|5719.0|0|5719.0|0|100.0|0|0.0|100
0|2021-10-24|5719.0|0|5719.0|0|100.0|0|0.0|100
0|2021-10-25|5719.0|0|5719.0|0|100.0|0|0.0|100
0|2021-10-26|5736.0|0|5736.0|0|101.0|0|0.0|100
0|2021-10-27|5745.0|0|5745.0|0|101.0|0|0.0|100
0|2021-10-28|5748.0|0|5748.0|0|101.0|0|0.0|100
0|2021-10-29|5756.0|0|5756.0|0|102.0|0|0.0|100
0|2021-10-30|5756.0|0|5756.0|0|102.0|0|0.0|100
0|2021-10-31|5756.0|0|5756.0|0|102.0|0|0.0|100
0|2021-11-01|5756.0|0|5756.0|0|102.0|0|0.0|100
0|2021-11-02|5775.0|0|5775.0|0|102.0|0|0.0|100
0|2021-11-03|5776.0|0|5776.0|0|103.0|0|0.0|100
0|2021-11-04|5782.0|0|5782.0|0|103.0|0|0.0|100
0|2021-11-05|5786.0|0|5786.0|0|103.0|0|0.0|100
