|dates|BuenaVista_Iowa_UnitedStates.JHU_ConfirmedCases.data|BuenaVista_Iowa_UnitedStates.JHU_ConfirmedCases.missing|BuenaVista_Iowa_UnitedStates.NYT_ConfirmedCases.data|BuenaVista_Iowa_UnitedStates.NYT_ConfirmedCases.missing|BuenaVista_Iowa_UnitedStates.JHU_ConfirmedDeaths.data|BuenaVista_Iowa_UnitedStates.JHU_ConfirmedDeaths.missing|BuenaVista_Iowa_UnitedStates.JHU_ConfirmedRecoveries.data|BuenaVista_Iowa_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4897.0|0|4897.0|0|45.0|0|0.0|100
0|2021-10-18|4897.0|0|4897.0|0|45.0|0|0.0|100
0|2021-10-19|4897.0|0|4897.0|0|45.0|0|0.0|100
0|2021-10-20|4917.0|0|4919.0|0|46.0|0|0.0|100
0|2021-10-21|4917.0|0|4919.0|0|46.0|0|0.0|100
0|2021-10-22|4917.0|0|4919.0|0|46.0|0|0.0|100
0|2021-10-23|4917.0|0|4919.0|0|46.0|0|0.0|100
0|2021-10-24|4917.0|0|4919.0|0|46.0|0|0.0|100
0|2021-10-25|4917.0|0|4919.0|0|46.0|0|0.0|100
0|2021-10-26|4917.0|0|4919.0|0|46.0|0|0.0|100
0|2021-10-27|4938.0|0|4939.0|0|47.0|0|0.0|100
0|2021-10-28|4938.0|0|4939.0|0|47.0|0|0.0|100
0|2021-10-29|4938.0|0|4939.0|0|47.0|0|0.0|100
0|2021-10-30|4938.0|0|4939.0|0|47.0|0|0.0|100
0|2021-10-31|4938.0|0|4939.0|0|47.0|0|0.0|100
0|2021-11-01|4938.0|0|4939.0|0|47.0|0|0.0|100
0|2021-11-02|4955.0|0|4939.0|0|47.0|0|0.0|100
0|2021-11-03|4955.0|0|4955.0|0|47.0|0|0.0|100
0|2021-11-04|4955.0|0|4955.0|0|47.0|0|0.0|100
0|2021-11-05|4955.0|0|4955.0|0|47.0|0|0.0|100
0|2021-11-06|4955.0|0|4955.0|0|47.0|0|0.0|100
0|2021-11-07|4955.0|0|4955.0|0|47.0|0|0.0|100
0|2021-11-08|4955.0|0|4955.0|0|47.0|0|0.0|100
0|2021-11-09|4955.0|0|4955.0|0|47.0|0|0.0|100
0|2021-11-10|4955.0|0|4983.0|0|47.0|0|0.0|100
0|2021-11-11|4978.0|0|4983.0|0|48.0|0|0.0|100
0|2021-11-12|4978.0|0|4983.0|0|48.0|0|0.0|100
0|2021-11-13|4978.0|0|4983.0|0|48.0|0|0.0|100
0|2021-11-14|4978.0|0|4983.0|0|48.0|0|0.0|100
0|2021-11-15|4978.0|0|4983.0|0|48.0|0|0.0|100
0|2021-11-16|4978.0|0|4983.0|0|48.0|0|0.0|100
0|2021-11-17|4996.0|0|5001.0|0|48.0|0|0.0|100
0|2021-11-18|4996.0|0|5001.0|0|48.0|0|0.0|100
0|2021-11-19|4996.0|0|5001.0|0|48.0|0|0.0|100
0|2021-11-20|4996.0|0|5001.0|0|48.0|0|0.0|100
0|2021-11-21|4996.0|0|5001.0|0|48.0|0|0.0|100
0|2021-11-22|4996.0|0|5001.0|0|48.0|0|0.0|100
0|2021-11-23|4996.0|0|5001.0|0|48.0|0|0.0|100
0|2021-11-24|5021.0|0|5025.0|0|49.0|0|0.0|100
0|2021-11-25|5021.0|0|5025.0|0|49.0|0|0.0|100
0|2021-11-26|5021.0|0|5025.0|0|49.0|0|0.0|100
0|2021-11-27|5021.0|0|5025.0|0|49.0|0|0.0|100
0|2021-11-28|5021.0|0|5025.0|0|49.0|0|0.0|100
0|2021-11-29|5021.0|0|5025.0|0|49.0|0|0.0|100
0|2021-11-30|5021.0|0|5025.0|0|49.0|0|0.0|100
0|2021-12-01|5034.0|0|5037.0|0|49.0|0|0.0|100
0|2021-12-02|5034.0|0|5037.0|0|49.0|0|0.0|100
0|2021-12-03|5034.0|0|5037.0|0|49.0|0|0.0|100
0|2021-12-04|5034.0|0|5037.0|0|49.0|0|0.0|100
0|2021-12-05|5034.0|0|5037.0|0|49.0|0|0.0|100
0|2021-12-06|5034.0|0|5037.0|0|49.0|0|0.0|100
0|2021-12-07|5034.0|0|5037.0|0|49.0|0|0.0|100
