|dates|Henry_Indiana_UnitedStates.BLS_EmployedPopulation.data|Henry_Indiana_UnitedStates.BLS_EmployedPopulation.missing|Henry_Indiana_UnitedStates.BLS_UnemployedPopulation.data|Henry_Indiana_UnitedStates.BLS_UnemployedPopulation.missing|Henry_Indiana_UnitedStates.BLS_UnemploymentRate.data|Henry_Indiana_UnitedStates.BLS_UnemploymentRate.missing|Henry_Indiana_UnitedStates.BLS_LaborForcePopulation.data|Henry_Indiana_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|21470.0|0|899.0|0|4.018954803522733|0|22369.0|0
0|2021-10-18|21470.0|0|899.0|0|4.018954803522733|0|22369.0|0
0|2021-10-19|21470.0|0|899.0|0|4.018954803522733|0|22369.0|0
0|2021-10-20|21470.0|0|899.0|0|4.018954803522733|0|22369.0|0
0|2021-10-21|21470.0|0|899.0|0|4.018954803522733|0|22369.0|0
0|2021-10-22|21470.0|0|899.0|0|4.018954803522733|0|22369.0|0
0|2021-10-23|21470.0|0|899.0|0|4.018954803522733|0|22369.0|0
0|2021-10-24|21470.0|0|899.0|0|4.018954803522733|0|22369.0|0
0|2021-10-25|21470.0|0|899.0|0|4.018954803522733|0|22369.0|0
0|2021-10-26|21470.0|0|899.0|0|4.018954803522733|0|22369.0|0
0|2021-10-27|21470.0|0|899.0|0|4.018954803522733|0|22369.0|0
0|2021-10-28|21470.0|0|899.0|0|4.018954803522733|0|22369.0|0
0|2021-10-29|21470.0|0|899.0|0|4.018954803522733|0|22369.0|0
0|2021-10-30|21470.0|0|899.0|0|4.018954803522733|0|22369.0|0
0|2021-10-31|21470.0|0|899.0|0|4.018954803522733|0|22369.0|0
0|2021-11-01|21470.0|0|899.0|0|4.018954803522733|0|22369.0|0
0|2021-11-02|21470.0|0|899.0|0|4.018954803522733|0|22369.0|0
0|2021-11-03|21470.0|0|899.0|0|4.018954803522733|0|22369.0|0
0|2021-11-04|21470.0|0|899.0|0|4.018954803522733|0|22369.0|0
0|2021-11-05|21470.0|0|899.0|0|4.018954803522733|0|22369.0|0
0|2021-11-06|21470.0|0|899.0|0|4.018954803522733|0|22369.0|0
