|dates|Camden_NewJersey_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Camden_NewJersey_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Camden_NewJersey_UnitedStates.Male_Total_Population.data|Camden_NewJersey_UnitedStates.Male_Total_Population.missing|Camden_NewJersey_UnitedStates.Female_Total_Population.data|Camden_NewJersey_UnitedStates.Female_Total_Population.missing|Camden_NewJersey_UnitedStates.MaleAndFemale_Under18_Population.data|Camden_NewJersey_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|79408.0|0|244608.0|0|262470.0|0|115090.0|0
0|2021-10-18|79408.0|0|244608.0|0|262470.0|0|115090.0|0
0|2021-10-19|79408.0|0|244608.0|0|262470.0|0|115090.0|0
0|2021-10-20|79408.0|0|244608.0|0|262470.0|0|115090.0|0
0|2021-10-21|79408.0|0|244608.0|0|262470.0|0|115090.0|0
0|2021-10-22|79408.0|0|244608.0|0|262470.0|0|115090.0|0
0|2021-10-23|79408.0|0|244608.0|0|262470.0|0|115090.0|0
0|2021-10-24|79408.0|0|244608.0|0|262470.0|0|115090.0|0
0|2021-10-25|79408.0|0|244608.0|0|262470.0|0|115090.0|0
0|2021-10-26|79408.0|0|244608.0|0|262470.0|0|115090.0|0
0|2021-10-27|79408.0|0|244608.0|0|262470.0|0|115090.0|0
0|2021-10-28|79408.0|0|244608.0|0|262470.0|0|115090.0|0
0|2021-10-29|79408.0|0|244608.0|0|262470.0|0|115090.0|0
0|2021-10-30|79408.0|0|244608.0|0|262470.0|0|115090.0|0
0|2021-10-31|79408.0|0|244608.0|0|262470.0|0|115090.0|0
0|2021-11-01|79408.0|0|244608.0|0|262470.0|0|115090.0|0
0|2021-11-02|79408.0|0|244608.0|0|262470.0|0|115090.0|0
0|2021-11-03|79408.0|0|244608.0|0|262470.0|0|115090.0|0
0|2021-11-04|79408.0|0|244608.0|0|262470.0|0|115090.0|0
0|2021-11-05|79408.0|0|244608.0|0|262470.0|0|115090.0|0
0|2021-11-06|79408.0|0|244608.0|0|262470.0|0|115090.0|0
0|2021-11-07|79408.0|0|244608.0|0|262470.0|0|115090.0|0
0|2021-11-08|79408.0|0|244608.0|0|262470.0|0|115090.0|0
0|2021-11-09|79408.0|0|244608.0|0|262470.0|0|115090.0|0
0|2021-11-10|79408.0|0|244608.0|0|262470.0|0|115090.0|0
0|2021-11-11|79408.0|0|244608.0|0|262470.0|0|115090.0|0
0|2021-11-12|79408.0|0|244608.0|0|262470.0|0|115090.0|0
0|2021-11-13|79408.0|0|244608.0|0|262470.0|0|115090.0|0
0|2021-11-14|79408.0|0|244608.0|0|262470.0|0|115090.0|0
0|2021-11-15|79408.0|0|244608.0|0|262470.0|0|115090.0|0
0|2021-11-16|79408.0|0|244608.0|0|262470.0|0|115090.0|0
0|2021-11-17|79408.0|0|244608.0|0|262470.0|0|115090.0|0
0|2021-11-18|79408.0|0|244608.0|0|262470.0|0|115090.0|0
0|2021-11-19|79408.0|0|244608.0|0|262470.0|0|115090.0|0
