|dates|Polk_Florida_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Polk_Florida_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Polk_Florida_UnitedStates.Male_Total_Population.data|Polk_Florida_UnitedStates.Male_Total_Population.missing|Polk_Florida_UnitedStates.Female_Total_Population.data|Polk_Florida_UnitedStates.Female_Total_Population.missing|Polk_Florida_UnitedStates.MaleAndFemale_Under18_Population.data|Polk_Florida_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|143142.0|0|346929.0|0|361080.0|0|156487.0|0
0|2021-10-18|143142.0|0|346929.0|0|361080.0|0|156487.0|0
0|2021-10-19|143142.0|0|346929.0|0|361080.0|0|156487.0|0
0|2021-10-20|143142.0|0|346929.0|0|361080.0|0|156487.0|0
0|2021-10-21|143142.0|0|346929.0|0|361080.0|0|156487.0|0
0|2021-10-22|143142.0|0|346929.0|0|361080.0|0|156487.0|0
0|2021-10-23|143142.0|0|346929.0|0|361080.0|0|156487.0|0
0|2021-10-24|143142.0|0|346929.0|0|361080.0|0|156487.0|0
0|2021-10-25|143142.0|0|346929.0|0|361080.0|0|156487.0|0
0|2021-10-26|143142.0|0|346929.0|0|361080.0|0|156487.0|0
0|2021-10-27|143142.0|0|346929.0|0|361080.0|0|156487.0|0
0|2021-10-28|143142.0|0|346929.0|0|361080.0|0|156487.0|0
0|2021-10-29|143142.0|0|346929.0|0|361080.0|0|156487.0|0
0|2021-10-30|143142.0|0|346929.0|0|361080.0|0|156487.0|0
0|2021-10-31|143142.0|0|346929.0|0|361080.0|0|156487.0|0
0|2021-11-01|143142.0|0|346929.0|0|361080.0|0|156487.0|0
0|2021-11-02|143142.0|0|346929.0|0|361080.0|0|156487.0|0
0|2021-11-03|143142.0|0|346929.0|0|361080.0|0|156487.0|0
0|2021-11-04|143142.0|0|346929.0|0|361080.0|0|156487.0|0
0|2021-11-05|143142.0|0|346929.0|0|361080.0|0|156487.0|0
0|2021-11-06|143142.0|0|346929.0|0|361080.0|0|156487.0|0
0|2021-11-07|143142.0|0|346929.0|0|361080.0|0|156487.0|0
0|2021-11-08|143142.0|0|346929.0|0|361080.0|0|156487.0|0
0|2021-11-09|143142.0|0|346929.0|0|361080.0|0|156487.0|0
0|2021-11-10|143142.0|0|346929.0|0|361080.0|0|156487.0|0
0|2021-11-11|143142.0|0|346929.0|0|361080.0|0|156487.0|0
0|2021-11-12|143142.0|0|346929.0|0|361080.0|0|156487.0|0
0|2021-11-13|143142.0|0|346929.0|0|361080.0|0|156487.0|0
0|2021-11-14|143142.0|0|346929.0|0|361080.0|0|156487.0|0
0|2021-11-15|143142.0|0|346929.0|0|361080.0|0|156487.0|0
0|2021-11-16|143142.0|0|346929.0|0|361080.0|0|156487.0|0
0|2021-11-17|143142.0|0|346929.0|0|361080.0|0|156487.0|0
0|2021-11-18|143142.0|0|346929.0|0|361080.0|0|156487.0|0
0|2021-11-19|143142.0|0|346929.0|0|361080.0|0|156487.0|0
0|2021-11-20|143142.0|0|346929.0|0|361080.0|0|156487.0|0
0|2021-11-21|143142.0|0|346929.0|0|361080.0|0|156487.0|0
