|dates|Shoshone_Idaho_UnitedStates.JHU_ConfirmedCases.data|Shoshone_Idaho_UnitedStates.JHU_ConfirmedCases.missing|Shoshone_Idaho_UnitedStates.NYT_ConfirmedCases.data|Shoshone_Idaho_UnitedStates.NYT_ConfirmedCases.missing|Shoshone_Idaho_UnitedStates.JHU_ConfirmedDeaths.data|Shoshone_Idaho_UnitedStates.JHU_ConfirmedDeaths.missing|Shoshone_Idaho_UnitedStates.JHU_ConfirmedRecoveries.data|Shoshone_Idaho_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1859.0|0|1859.0|0|57.0|0|0.0|100
0|2021-10-18|1865.0|0|1865.0|0|59.0|0|0.0|100
0|2021-10-19|1887.0|0|1887.0|0|59.0|0|0.0|100
0|2021-10-20|1907.0|0|1907.0|0|59.0|0|0.0|100
0|2021-10-21|1932.0|0|1932.0|0|59.0|0|0.0|100
0|2021-10-22|1945.0|0|1945.0|0|59.0|0|0.0|100
0|2021-10-23|1952.0|0|1952.0|0|59.0|0|0.0|100
0|2021-10-24|1952.0|0|1952.0|0|59.0|0|0.0|100
0|2021-10-25|1958.0|0|1958.0|0|59.0|0|0.0|100
0|2021-10-26|1964.0|0|1964.0|0|59.0|0|0.0|100
0|2021-10-27|1973.0|0|1973.0|0|59.0|0|0.0|100
0|2021-10-28|1980.0|0|1980.0|0|59.0|0|0.0|100
0|2021-10-29|1985.0|0|1985.0|0|59.0|0|0.0|100
0|2021-10-30|1992.0|0|1992.0|0|59.0|0|0.0|100
0|2021-10-31|1992.0|0|1992.0|0|59.0|0|0.0|100
0|2021-11-01|2002.0|0|2002.0|0|60.0|0|0.0|100
0|2021-11-02|2007.0|0|2007.0|0|60.0|0|0.0|100
0|2021-11-03|2015.0|0|2015.0|0|61.0|0|0.0|100
0|2021-11-04|2020.0|0|2020.0|0|61.0|0|0.0|100
0|2021-11-05|2024.0|0|2024.0|0|61.0|0|0.0|100
0|2021-11-06|2024.0|0|2024.0|0|61.0|0|0.0|100
0|2021-11-07|2024.0|0|2024.0|0|61.0|0|0.0|100
0|2021-11-08|2028.0|0|2028.0|0|61.0|0|0.0|100
0|2021-11-09|2036.0|0|2036.0|0|61.0|0|0.0|100
0|2021-11-10|2036.0|0|2036.0|0|61.0|0|0.0|100
0|2021-11-11|2036.0|0|2036.0|0|61.0|0|0.0|100
0|2021-11-12|2037.0|0|2036.0|0|61.0|0|0.0|100
0|2021-11-13|2038.0|0|2037.0|0|61.0|0|0.0|100
0|2021-11-14|2038.0|0|2038.0|0|61.0|0|0.0|100
0|2021-11-15|2046.0|0|2046.0|0|61.0|0|0.0|100
0|2021-11-16|2051.0|0|2051.0|0|63.0|0|0.0|100
0|2021-11-17|2058.0|0|2058.0|0|63.0|0|0.0|100
0|2021-11-18|2064.0|0|2064.0|0|63.0|0|0.0|100
0|2021-11-19|2069.0|0|2064.0|0|63.0|0|0.0|100
0|2021-11-20|2071.0|0|2071.0|0|63.0|0|0.0|100
0|2021-11-21|2071.0|0|2071.0|0|63.0|0|0.0|100
0|2021-11-22|2078.0|0|2078.0|0|63.0|0|0.0|100
0|2021-11-23|2089.0|0|2089.0|0|63.0|0|0.0|100
0|2021-11-24|2096.0|0|2096.0|0|63.0|0|0.0|100
0|2021-11-25|2096.0|0|2096.0|0|63.0|0|0.0|100
0|2021-11-26|2107.0|0|2107.0|0|63.0|0|0.0|100
0|2021-11-27|2108.0|0|2108.0|0|63.0|0|0.0|100
0|2021-11-28|2108.0|0|2108.0|0|63.0|0|0.0|100
0|2021-11-29|2110.0|0|2110.0|0|63.0|0|0.0|100
0|2021-11-30|2123.0|0|2123.0|0|63.0|0|0.0|100
0|2021-12-01|2130.0|0|2130.0|0|64.0|0|0.0|100
0|2021-12-02|2130.0|0|2133.0|0|64.0|0|0.0|100
0|2021-12-03|2141.0|0|2133.0|0|65.0|0|0.0|100
0|2021-12-04|2146.0|0|2146.0|0|65.0|0|0.0|100
0|2021-12-05|2146.0|0|2146.0|0|65.0|0|0.0|100
0|2021-12-06|2147.0|0|2147.0|0|65.0|0|0.0|100
0|2021-12-07|2155.0|0|2155.0|0|66.0|0|0.0|100
0|2021-12-08|2181.0|0|2181.0|0|66.0|0|0.0|100
0|2021-12-09|2186.0|0|2186.0|0|66.0|0|0.0|100
0|2021-12-10|2189.0|0|2189.0|0|66.0|0|0.0|100
0|2021-12-11|2189.0|0|2189.0|0|66.0|0|0.0|100
0|2021-12-12|2189.0|0|2189.0|0|66.0|0|0.0|100
0|2021-12-13|2194.0|0|2194.0|0|66.0|0|0.0|100
0|2021-12-14|2194.0|0|2195.0|0|66.0|0|0.0|100
0|2021-12-15|2197.0|0|2197.0|0|66.0|0|0.0|100
0|2021-12-16|2198.0|0|2198.0|0|66.0|0|0.0|100
0|2021-12-17|2203.0|0|2203.0|0|66.0|0|0.0|100
0|2021-12-18|2203.0|0|2203.0|0|66.0|0|0.0|100
0|2021-12-19|2203.0|0|2203.0|0|66.0|0|0.0|100
0|2021-12-20|2204.0|0|2204.0|0|66.0|0|0.0|100
0|2021-12-21|2204.0|0|2204.0|0|66.0|0|0.0|100
0|2021-12-22|2205.0|0|2205.0|0|66.0|0|0.0|100
0|2021-12-23|2206.0|0|2206.0|0|66.0|0|0.0|100
0|2021-12-24|2206.0|0|2206.0|0|66.0|0|0.0|100
0|2021-12-25|2206.0|0|2206.0|0|66.0|0|0.0|100
0|2021-12-26|2206.0|0|2206.0|0|66.0|0|0.0|100
0|2021-12-27|2207.0|0|2207.0|0|66.0|0|0.0|100
0|2021-12-28|2208.0|0|2208.0|0|66.0|0|0.0|100
0|2021-12-29|2209.0|0|2209.0|0|67.0|0|0.0|100
0|2021-12-30|2212.0|0|2212.0|0|67.0|0|0.0|100
0|2021-12-31|2212.0|0|2212.0|0|67.0|0|0.0|100
0|2022-01-01|2212.0|0|2212.0|0|67.0|0|0.0|100
0|2022-01-02|2212.0|0|2212.0|0|67.0|0|0.0|100
0|2022-01-03|2213.0|0|2213.0|0|67.0|0|0.0|100
0|2022-01-04|2218.0|0|2218.0|0|67.0|0|0.0|100
0|2022-01-05|2227.0|0|2227.0|0|67.0|0|0.0|100
0|2022-01-06|2233.0|0|2233.0|0|68.0|0|0.0|100
0|2022-01-07|2241.0|0|2241.0|0|68.0|0|0.0|100
0|2022-01-08|2249.0|0|2249.0|0|68.0|0|0.0|100
0|2022-01-09|2249.0|0|2249.0|0|68.0|0|0.0|100
0|2022-01-10|2253.0|0|2253.0|0|68.0|0|0.0|100
0|2022-01-11|2254.0|0|2254.0|0|69.0|0|0.0|100
0|2022-01-12|2263.0|0|2263.0|0|69.0|0|0.0|100
0|2022-01-13|2263.0|0|2266.0|0|69.0|0|0.0|100
0|2022-01-14|2273.0|0|2273.0|0|70.0|0|0.0|100
0|2022-01-15|2276.0|0|2276.0|0|70.0|0|0.0|100
0|2022-01-16|2276.0|0|2276.0|0|70.0|0|0.0|100
0|2022-01-17|2276.0|0|0.0|100|70.0|0|0.0|100
