|dates|Solano_California_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Solano_California_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Solano_California_UnitedStates.Male_Total_Population.data|Solano_California_UnitedStates.Male_Total_Population.missing|Solano_California_UnitedStates.Female_Total_Population.data|Solano_California_UnitedStates.Female_Total_Population.missing|Solano_California_UnitedStates.MaleAndFemale_Under18_Population.data|Solano_California_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|70430.0|0|221997.0|0|224613.0|0|98740.0|0
0|2021-10-18|70430.0|0|221997.0|0|224613.0|0|98740.0|0
0|2021-10-19|70430.0|0|221997.0|0|224613.0|0|98740.0|0
0|2021-10-20|70430.0|0|221997.0|0|224613.0|0|98740.0|0
0|2021-10-21|70430.0|0|221997.0|0|224613.0|0|98740.0|0
0|2021-10-22|70430.0|0|221997.0|0|224613.0|0|98740.0|0
0|2021-10-23|70430.0|0|221997.0|0|224613.0|0|98740.0|0
0|2021-10-24|70430.0|0|221997.0|0|224613.0|0|98740.0|0
0|2021-10-25|70430.0|0|221997.0|0|224613.0|0|98740.0|0
0|2021-10-26|70430.0|0|221997.0|0|224613.0|0|98740.0|0
0|2021-10-27|70430.0|0|221997.0|0|224613.0|0|98740.0|0
0|2021-10-28|70430.0|0|221997.0|0|224613.0|0|98740.0|0
0|2021-10-29|70430.0|0|221997.0|0|224613.0|0|98740.0|0
0|2021-10-30|70430.0|0|221997.0|0|224613.0|0|98740.0|0
0|2021-10-31|70430.0|0|221997.0|0|224613.0|0|98740.0|0
0|2021-11-01|70430.0|0|221997.0|0|224613.0|0|98740.0|0
0|2021-11-02|70430.0|0|221997.0|0|224613.0|0|98740.0|0
0|2021-11-03|70430.0|0|221997.0|0|224613.0|0|98740.0|0
0|2021-11-04|70430.0|0|221997.0|0|224613.0|0|98740.0|0
0|2021-11-05|70430.0|0|221997.0|0|224613.0|0|98740.0|0
0|2021-11-06|70430.0|0|221997.0|0|224613.0|0|98740.0|0
0|2021-11-07|70430.0|0|221997.0|0|224613.0|0|98740.0|0
0|2021-11-08|70430.0|0|221997.0|0|224613.0|0|98740.0|0
0|2021-11-09|70430.0|0|221997.0|0|224613.0|0|98740.0|0
0|2021-11-10|70430.0|0|221997.0|0|224613.0|0|98740.0|0
0|2021-11-11|70430.0|0|221997.0|0|224613.0|0|98740.0|0
0|2021-11-12|70430.0|0|221997.0|0|224613.0|0|98740.0|0
0|2021-11-13|70430.0|0|221997.0|0|224613.0|0|98740.0|0
0|2021-11-14|70430.0|0|221997.0|0|224613.0|0|98740.0|0
0|2021-11-15|70430.0|0|221997.0|0|224613.0|0|98740.0|0
0|2021-11-16|70430.0|0|221997.0|0|224613.0|0|98740.0|0
0|2021-11-17|70430.0|0|221997.0|0|224613.0|0|98740.0|0
