|dates|Thomas_Georgia_UnitedStates.JHU_ConfirmedCases.data|Thomas_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Thomas_Georgia_UnitedStates.NYT_ConfirmedCases.data|Thomas_Georgia_UnitedStates.NYT_ConfirmedCases.missing|Thomas_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Thomas_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Thomas_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Thomas_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|7625.0|0|7716.0|0|173.0|0|0.0|100
0|2021-10-18|7630.0|0|7732.0|0|173.0|0|0.0|100
0|2021-10-19|7632.0|0|7734.0|0|174.0|0|0.0|100
0|2021-10-20|7638.0|0|7740.0|0|176.0|0|0.0|100
0|2021-10-21|7641.0|0|7743.0|0|176.0|0|0.0|100
0|2021-10-22|7662.0|0|7764.0|0|177.0|0|0.0|100
0|2021-10-23|7662.0|0|7764.0|0|177.0|0|0.0|100
0|2021-10-24|7662.0|0|7764.0|0|177.0|0|0.0|100
0|2021-10-25|7664.0|0|7787.0|0|178.0|0|0.0|100
0|2021-10-26|7664.0|0|7787.0|0|178.0|0|0.0|100
0|2021-10-27|7667.0|0|7790.0|0|179.0|0|0.0|100
0|2021-10-28|7672.0|0|7795.0|0|180.0|0|0.0|100
0|2021-10-29|7677.0|0|7800.0|0|180.0|0|0.0|100
0|2021-10-30|7677.0|0|7800.0|0|180.0|0|0.0|100
0|2021-10-31|7677.0|0|7800.0|0|180.0|0|0.0|100
0|2021-11-01|7680.0|0|7807.0|0|181.0|0|0.0|100
0|2021-11-02|7685.0|0|7812.0|0|181.0|0|0.0|100
0|2021-11-03|7687.0|0|7814.0|0|181.0|0|0.0|100
0|2021-11-04|7691.0|0|7818.0|0|181.0|0|0.0|100
0|2021-11-05|7695.0|0|7822.0|0|181.0|0|0.0|100
0|2021-11-06|7695.0|0|7822.0|0|181.0|0|0.0|100
0|2021-11-07|7695.0|0|7822.0|0|181.0|0|0.0|100
