|dates|LaGrange_Indiana_UnitedStates.JHU_ConfirmedCases.data|LaGrange_Indiana_UnitedStates.JHU_ConfirmedCases.missing|LaGrange_Indiana_UnitedStates.NYT_ConfirmedCases.data|LaGrange_Indiana_UnitedStates.NYT_ConfirmedCases.missing|LaGrange_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|LaGrange_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|LaGrange_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|LaGrange_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3520.0|0|3525.0|0|78.0|0|0.0|100
0|2021-10-18|3539.0|0|3544.0|0|78.0|0|0.0|100
0|2021-10-19|3549.0|0|3554.0|0|78.0|0|0.0|100
0|2021-10-20|3560.0|0|3565.0|0|78.0|0|0.0|100
0|2021-10-21|3576.0|0|3581.0|0|78.0|0|0.0|100
0|2021-10-22|3590.0|0|3595.0|0|78.0|0|0.0|100
0|2021-10-23|3590.0|0|3595.0|0|78.0|0|0.0|100
0|2021-10-24|3590.0|0|3595.0|0|78.0|0|0.0|100
0|2021-10-25|3617.0|0|3622.0|0|78.0|0|0.0|100
0|2021-10-26|3627.0|0|3632.0|0|79.0|0|0.0|100
0|2021-10-27|3645.0|0|3650.0|0|79.0|0|0.0|100
0|2021-10-28|3659.0|0|3664.0|0|79.0|0|0.0|100
0|2021-10-29|3666.0|0|3671.0|0|79.0|0|0.0|100
0|2021-10-30|3666.0|0|3671.0|0|79.0|0|0.0|100
0|2021-10-31|3666.0|0|3671.0|0|79.0|0|0.0|100
0|2021-11-01|3710.0|0|3715.0|0|80.0|0|0.0|100
0|2021-11-02|3718.0|0|3723.0|0|84.0|0|0.0|100
0|2021-11-03|3735.0|0|3740.0|0|85.0|0|0.0|100
0|2021-11-04|3756.0|0|3761.0|0|86.0|0|0.0|100
0|2021-11-05|3767.0|0|3772.0|0|86.0|0|0.0|100
0|2021-11-06|3767.0|0|3772.0|0|86.0|0|0.0|100
0|2021-11-07|3767.0|0|3772.0|0|86.0|0|0.0|100
0|2021-11-08|3804.0|0|3809.0|0|87.0|0|0.0|100
0|2021-11-09|3825.0|0|3830.0|0|87.0|0|0.0|100
0|2021-11-10|3825.0|0|3846.0|0|87.0|0|0.0|100
0|2021-11-11|3878.0|0|3883.0|0|88.0|0|0.0|100
0|2021-11-12|3894.0|0|3899.0|0|88.0|0|0.0|100
0|2021-11-13|3894.0|0|3899.0|0|88.0|0|0.0|100
0|2021-11-14|3894.0|0|3899.0|0|88.0|0|0.0|100
0|2021-11-15|3930.0|0|3935.0|0|88.0|0|0.0|100
0|2021-11-16|3950.0|0|3955.0|0|88.0|0|0.0|100
0|2021-11-17|3992.0|0|3997.0|0|89.0|0|0.0|100
0|2021-11-18|4018.0|0|4023.0|0|89.0|0|0.0|100
0|2021-11-19|4049.0|0|4054.0|0|89.0|0|0.0|100
0|2021-11-20|4049.0|0|4054.0|0|89.0|0|0.0|100
0|2021-11-21|4049.0|0|4054.0|0|89.0|0|0.0|100
0|2021-11-22|4096.0|0|4101.0|0|89.0|0|0.0|100
0|2021-11-23|4110.0|0|4116.0|0|90.0|0|0.0|100
0|2021-11-24|4138.0|0|4144.0|0|90.0|0|0.0|100
0|2021-11-25|4138.0|0|4144.0|0|90.0|0|0.0|100
0|2021-11-26|4138.0|0|4144.0|0|90.0|0|0.0|100
0|2021-11-27|4138.0|0|4144.0|0|90.0|0|0.0|100
0|2021-11-28|4138.0|0|4144.0|0|90.0|0|0.0|100
0|2021-11-29|4192.0|0|4198.0|0|90.0|0|0.0|100
0|2021-11-30|4212.0|0|4218.0|0|90.0|0|0.0|100
0|2021-12-01|4231.0|0|4237.0|0|90.0|0|0.0|100
0|2021-12-02|4231.0|0|4265.0|0|90.0|0|0.0|100
0|2021-12-03|4274.0|0|4280.0|0|91.0|0|0.0|100
0|2021-12-04|4274.0|0|4280.0|0|91.0|0|0.0|100
0|2021-12-05|4274.0|0|4280.0|0|91.0|0|0.0|100
